dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Beef,global_mean,lime_mrseql,rocket,0.25833333333333336
Beef,global_mean,mrseql,rocket,0.3316666666666667
Beef,global_mean,GS,rocket,0.2316666666666667
Beef,global_mean,IG,rocket,0.2516666666666667
Beef,global_mean,random2020,rocket,0.2316666666666667
Beef,local_mean,lime_mrseql,rocket,0.335
Beef,local_mean,mrseql,rocket,0.36833333333333335
Beef,local_mean,GS,rocket,0.30166666666666664
Beef,local_mean,IG,rocket,0.325
Beef,local_mean,random2020,rocket,0.23500000000000001
Beef,global_mean,lime_mrseql,resnet,0.24
Beef,global_mean,mrseql,resnet,0.2533333333333333
Beef,global_mean,GS,resnet,0.23
Beef,global_mean,IG,resnet,0.23333333333333334
Beef,global_mean,random2020,resnet,0.26333333333333336
Beef,local_mean,lime_mrseql,resnet,0.36333333333333334
Beef,local_mean,mrseql,resnet,0.3833333333333333
Beef,local_mean,GS,resnet,0.32333333333333336
Beef,local_mean,IG,resnet,0.3566666666666667
Beef,local_mean,random2020,resnet,0.4133333333333334
Beef,global_mean,lime_mrseql,knn,0.3733333333333333
Beef,global_mean,mrseql,knn,0.4633333333333334
Beef,global_mean,GS,knn,0.31333333333333335
Beef,global_mean,IG,knn,0.39666666666666667
Beef,global_mean,random2020,knn,0.59
Beef,local_mean,lime_mrseql,knn,0.3533333333333334
Beef,local_mean,mrseql,knn,0.36000000000000004
Beef,local_mean,GS,knn,0.3766666666666667
Beef,local_mean,IG,knn,0.39333333333333337
Beef,local_mean,random2020,knn,0.44333333333333336
Beef,global_mean,lime_mrseql,MrSEQLClassifier,0.23333333333333334
Beef,global_mean,mrseql,MrSEQLClassifier,0.23333333333333334
Beef,global_mean,GS,MrSEQLClassifier,0.24666666666666667
Beef,global_mean,IG,MrSEQLClassifier,0.2866666666666667
Beef,global_mean,random2020,MrSEQLClassifier,0.3600000000000001
Beef,local_mean,lime_mrseql,MrSEQLClassifier,0.4166666666666667
Beef,local_mean,mrseql,MrSEQLClassifier,0.36666666666666664
Beef,local_mean,GS,MrSEQLClassifier,0.44333333333333336
Beef,local_mean,IG,MrSEQLClassifier,0.46
Beef,local_mean,random2020,MrSEQLClassifier,0.42666666666666664
