dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
CBF,zero,lime_mrseql,rocket,0.5045555555555556
CBF,zero,mrseql,rocket,0.5572222222222223
CBF,zero,cam,rocket,0.5354444444444445
CBF,zero,GS,rocket,0.3598888888888888
CBF,zero,IG,rocket,0.34544444444444444
CBF,zero,random2020,rocket,0.6669999999999999
CBF,global_mean,lime_mrseql,rocket,0.5045555555555556
CBF,global_mean,mrseql,rocket,0.5572222222222223
CBF,global_mean,cam,rocket,0.5354444444444445
CBF,global_mean,GS,rocket,0.3598888888888888
CBF,global_mean,IG,rocket,0.34544444444444444
CBF,global_mean,random2020,rocket,0.6669999999999999
CBF,local_mean,lime_mrseql,rocket,0.5081111111111112
CBF,local_mean,mrseql,rocket,0.5233333333333333
CBF,local_mean,cam,rocket,0.5284444444444445
CBF,local_mean,GS,rocket,0.5297777777777778
CBF,local_mean,IG,rocket,0.5215555555555556
CBF,local_mean,random2020,rocket,0.780888888888889
CBF,zero,lime_mrseql,resnet,0.5670555555555556
CBF,zero,mrseql,resnet,0.6188333333333333
CBF,zero,cam,resnet,0.46116666666666667
CBF,zero,GS,resnet,0.4046111111111111
CBF,zero,IG,resnet,0.3899444444444444
CBF,zero,random2020,resnet,0.6512777777777778
CBF,global_mean,lime_mrseql,resnet,0.5670555555555556
CBF,global_mean,mrseql,resnet,0.6188333333333333
CBF,global_mean,cam,resnet,0.46116666666666667
CBF,global_mean,GS,resnet,0.4046111111111111
CBF,global_mean,IG,resnet,0.3899444444444444
CBF,global_mean,random2020,resnet,0.6512777777777778
CBF,local_mean,lime_mrseql,resnet,0.6043888888888889
CBF,local_mean,mrseql,resnet,0.6497222222222222
CBF,local_mean,cam,resnet,0.46716666666666673
CBF,local_mean,GS,resnet,0.37705555555555553
CBF,local_mean,IG,resnet,0.36750000000000005
CBF,local_mean,random2020,resnet,0.6114999999999999
CBF,zero,lime_mrseql,knn,0.5192777777777777
CBF,zero,mrseql,knn,0.5809444444444445
CBF,zero,cam,knn,0.5873888888888888
CBF,zero,GS,knn,0.4623888888888889
CBF,zero,IG,knn,0.42849999999999994
CBF,zero,random2020,knn,0.7987222222222221
CBF,global_mean,lime_mrseql,knn,0.5192777777777777
CBF,global_mean,mrseql,knn,0.5809444444444445
CBF,global_mean,cam,knn,0.5873888888888888
CBF,global_mean,GS,knn,0.4623888888888889
CBF,global_mean,IG,knn,0.42849999999999994
CBF,global_mean,random2020,knn,0.7987222222222221
CBF,local_mean,lime_mrseql,knn,0.4943888888888889
CBF,local_mean,mrseql,knn,0.5009444444444445
CBF,local_mean,cam,knn,0.4728333333333333
CBF,local_mean,GS,knn,0.5108333333333334
CBF,local_mean,IG,knn,0.5045000000000001
CBF,local_mean,random2020,knn,0.5693888888888888
CBF,zero,lime_mrseql,MrSEQLClassifier,0.4518333333333333
CBF,zero,mrseql,MrSEQLClassifier,0.5069444444444444
CBF,zero,cam,MrSEQLClassifier,0.5233888888888889
CBF,zero,GS,MrSEQLClassifier,0.4920555555555556
CBF,zero,IG,MrSEQLClassifier,0.48238888888888887
CBF,zero,random2020,MrSEQLClassifier,0.7575000000000001
CBF,global_mean,lime_mrseql,MrSEQLClassifier,0.45038888888888895
CBF,global_mean,mrseql,MrSEQLClassifier,0.5066111111111111
CBF,global_mean,cam,MrSEQLClassifier,0.5229444444444444
CBF,global_mean,GS,MrSEQLClassifier,0.4920555555555556
CBF,global_mean,IG,MrSEQLClassifier,0.4821666666666667
CBF,global_mean,random2020,MrSEQLClassifier,0.7576111111111111
CBF,local_mean,lime_mrseql,MrSEQLClassifier,0.5722777777777779
CBF,local_mean,mrseql,MrSEQLClassifier,0.5618333333333334
CBF,local_mean,cam,MrSEQLClassifier,0.5450555555555555
CBF,local_mean,GS,MrSEQLClassifier,0.6899444444444444
CBF,local_mean,IG,MrSEQLClassifier,0.7117222222222224
CBF,local_mean,random2020,MrSEQLClassifier,0.7658333333333334
