dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
CMJ,zero,lime_mrseql,rocket,0.5877094972067038
CMJ,zero,mrseql,rocket,0.5502793296089385
CMJ,zero,cam,rocket,0.6072625698324021
CMJ,zero,GS,rocket,0.5983240223463687
CMJ,zero,IG,rocket,0.5592178770949721
CMJ,zero,random2020,rocket,0.6949720670391061
CMJ,global_mean,lime_mrseql,rocket,0.47374301675977654
CMJ,global_mean,mrseql,rocket,0.5910614525139665
CMJ,global_mean,cam,rocket,0.6268156424581006
CMJ,global_mean,GS,rocket,0.7039106145251396
CMJ,global_mean,IG,rocket,0.7150837988826815
CMJ,global_mean,random2020,rocket,0.6312849162011173
CMJ,local_mean,lime_mrseql,rocket,0.4508379888268156
CMJ,local_mean,mrseql,rocket,0.4821229050279329
CMJ,local_mean,cam,rocket,0.6815642458100559
CMJ,local_mean,GS,rocket,0.6910614525139666
CMJ,local_mean,IG,rocket,0.7039106145251397
CMJ,local_mean,random2020,rocket,0.6569832402234638
CMJ,zero,lime_mrseql,resnet,0.5162011173184358
CMJ,zero,mrseql,resnet,0.4491620111731844
CMJ,zero,cam,resnet,0.4245810055865922
CMJ,zero,GS,resnet,0.3899441340782123
CMJ,zero,IG,resnet,0.4027932960893855
CMJ,zero,random2020,resnet,0.46424581005586596
CMJ,global_mean,lime_mrseql,resnet,0.48575418994413405
CMJ,global_mean,mrseql,resnet,0.47849162011173185
CMJ,global_mean,cam,resnet,0.5594972067039106
CMJ,global_mean,GS,resnet,0.5164804469273743
CMJ,global_mean,IG,resnet,0.5326815642458101
CMJ,global_mean,random2020,resnet,0.4857541899441341
CMJ,local_mean,lime_mrseql,resnet,0.5393854748603353
CMJ,local_mean,mrseql,resnet,0.5427374301675978
CMJ,local_mean,cam,resnet,0.6041899441340783
CMJ,local_mean,GS,resnet,0.6030726256983242
CMJ,local_mean,IG,resnet,0.6304469273743019
CMJ,local_mean,random2020,resnet,0.5159217877094973
CMJ,zero,lime_mrseql,knn,0.4891061452513966
CMJ,zero,mrseql,knn,0.4701117318435755
CMJ,zero,cam,knn,0.5041899441340782
CMJ,zero,GS,knn,0.4751396648044693
CMJ,zero,IG,knn,0.43826815642458095
CMJ,zero,random2020,knn,0.5924581005586591
CMJ,global_mean,lime_mrseql,knn,0.5410614525139664
CMJ,global_mean,mrseql,knn,0.6142458100558659
CMJ,global_mean,cam,knn,0.6840782122905029
CMJ,global_mean,GS,knn,0.6790502793296088
CMJ,global_mean,IG,knn,0.6270949720670391
CMJ,global_mean,random2020,knn,0.7449720670391062
CMJ,local_mean,lime_mrseql,knn,0.5564245810055866
CMJ,local_mean,mrseql,knn,0.553072625698324
CMJ,local_mean,cam,knn,0.6391061452513966
CMJ,local_mean,GS,knn,0.6642458100558659
CMJ,local_mean,IG,knn,0.6642458100558659
CMJ,local_mean,random2020,knn,0.7022346368715083
CMJ,zero,lime_mrseql,MrSEQLClassifier,0.627094972067039
CMJ,zero,mrseql,MrSEQLClassifier,0.5935754189944134
CMJ,zero,cam,MrSEQLClassifier,0.6527932960893854
CMJ,zero,GS,MrSEQLClassifier,0.5578212290502794
CMJ,zero,IG,MrSEQLClassifier,0.520391061452514
CMJ,zero,random2020,MrSEQLClassifier,0.6108938547486034
CMJ,global_mean,lime_mrseql,MrSEQLClassifier,0.30027932960893855
CMJ,global_mean,mrseql,MrSEQLClassifier,0.3589385474860335
CMJ,global_mean,cam,MrSEQLClassifier,0.4818435754189945
CMJ,global_mean,GS,MrSEQLClassifier,0.5086592178770949
CMJ,global_mean,IG,MrSEQLClassifier,0.4891061452513967
CMJ,global_mean,random2020,MrSEQLClassifier,0.7237430167597766
CMJ,local_mean,lime_mrseql,MrSEQLClassifier,0.4019553072625698
CMJ,local_mean,mrseql,MrSEQLClassifier,0.4416201117318436
CMJ,local_mean,cam,MrSEQLClassifier,0.5773743016759777
CMJ,local_mean,GS,MrSEQLClassifier,0.5863128491620112
CMJ,local_mean,IG,MrSEQLClassifier,0.5857541899441341
CMJ,local_mean,random2020,MrSEQLClassifier,0.7712290502793295
