dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Car,global_mean,lime_mrseql,rocket,0.25166666666666665
Car,global_mean,mrseql,rocket,0.25166666666666665
Car,global_mean,GS,rocket,0.25166666666666665
Car,global_mean,IG,rocket,0.25166666666666665
Car,global_mean,random2020,rocket,0.25166666666666665
Car,local_mean,lime_mrseql,rocket,0.265
Car,local_mean,mrseql,rocket,0.2566666666666667
Car,local_mean,GS,rocket,0.25166666666666665
Car,local_mean,IG,rocket,0.25166666666666665
Car,local_mean,random2020,rocket,0.25166666666666665
Car,global_mean,lime_mrseql,resnet,0.18166666666666664
Car,global_mean,mrseql,resnet,0.2566666666666667
Car,global_mean,GS,resnet,0.2483333333333333
Car,global_mean,IG,resnet,0.23166666666666666
Car,global_mean,random2020,resnet,0.30999999999999994
Car,local_mean,lime_mrseql,resnet,0.21333333333333335
Car,local_mean,mrseql,resnet,0.335
Car,local_mean,GS,resnet,0.295
Car,local_mean,IG,resnet,0.3
Car,local_mean,random2020,resnet,0.39
Car,global_mean,lime_mrseql,knn,0.4083333333333333
Car,global_mean,mrseql,knn,0.42166666666666663
Car,global_mean,GS,knn,0.3633333333333333
Car,global_mean,IG,knn,0.3816666666666667
Car,global_mean,random2020,knn,0.64
Car,local_mean,lime_mrseql,knn,0.38749999999999996
Car,local_mean,mrseql,knn,0.4025
Car,local_mean,GS,knn,0.49583333333333335
Car,local_mean,IG,knn,0.5141666666666667
Car,local_mean,random2020,knn,0.5658333333333333
Car,global_mean,lime_mrseql,MrSEQLClassifier,0.32833333333333337
Car,global_mean,mrseql,MrSEQLClassifier,0.3716666666666667
Car,global_mean,GS,MrSEQLClassifier,0.42500000000000004
Car,global_mean,IG,MrSEQLClassifier,0.42000000000000004
Car,global_mean,random2020,MrSEQLClassifier,0.49500000000000005
Car,local_mean,lime_mrseql,MrSEQLClassifier,0.3766666666666667
Car,local_mean,mrseql,MrSEQLClassifier,0.3566666666666667
Car,local_mean,GS,MrSEQLClassifier,0.5150000000000001
Car,local_mean,IG,MrSEQLClassifier,0.49
Car,local_mean,random2020,MrSEQLClassifier,0.5466666666666666
