dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
CinCECGTorso,global_mean,lime_mrseql,rocket,0.38666666666666666
CinCECGTorso,global_mean,mrseql,rocket,0.41760869565217396
CinCECGTorso,global_mean,GS,rocket,0.276304347826087
CinCECGTorso,global_mean,IG,rocket,0.30384057971014494
CinCECGTorso,global_mean,random2020,rocket,0.30681159420289855
CinCECGTorso,local_mean,lime_mrseql,rocket,0.39764492753623193
CinCECGTorso,local_mean,mrseql,rocket,0.41170289855072467
CinCECGTorso,local_mean,GS,rocket,0.2823550724637681
CinCECGTorso,local_mean,IG,rocket,0.30402173913043484
CinCECGTorso,local_mean,random2020,rocket,0.30670289855072463
CinCECGTorso,global_mean,lime_mrseql,resnet,0.2619927536231884
CinCECGTorso,global_mean,mrseql,resnet,0.27155797101449275
CinCECGTorso,global_mean,GS,resnet,0.258731884057971
CinCECGTorso,global_mean,IG,resnet,0.257427536231884
CinCECGTorso,global_mean,random2020,resnet,0.27945652173913044
CinCECGTorso,local_mean,lime_mrseql,resnet,0.2618478260869565
CinCECGTorso,local_mean,mrseql,resnet,0.2716304347826087
CinCECGTorso,local_mean,GS,resnet,0.258731884057971
CinCECGTorso,local_mean,IG,resnet,0.257427536231884
CinCECGTorso,local_mean,random2020,resnet,0.2791666666666667
CinCECGTorso,global_mean,lime_mrseql,knn,0.46775362318840585
CinCECGTorso,global_mean,mrseql,knn,0.6602173913043479
CinCECGTorso,global_mean,GS,knn,0.3902898550724637
CinCECGTorso,global_mean,IG,knn,0.37775362318840583
CinCECGTorso,global_mean,random2020,knn,0.866304347826087
CinCECGTorso,local_mean,lime_mrseql,knn,0.47170289855072467
CinCECGTorso,local_mean,mrseql,knn,0.6505434782608696
CinCECGTorso,local_mean,GS,knn,0.4444565217391305
CinCECGTorso,local_mean,IG,knn,0.4330797101449275
CinCECGTorso,local_mean,random2020,knn,0.8577173913043479
CinCECGTorso,global_mean,lime_mrseql,MrSEQLClassifier,0.3984057971014492
CinCECGTorso,global_mean,mrseql,MrSEQLClassifier,0.41862318840579715
CinCECGTorso,global_mean,GS,MrSEQLClassifier,0.49485507246376814
CinCECGTorso,global_mean,IG,MrSEQLClassifier,0.4968840579710145
CinCECGTorso,global_mean,random2020,MrSEQLClassifier,0.6163768115942029
CinCECGTorso,local_mean,lime_mrseql,MrSEQLClassifier,0.39818840579710146
CinCECGTorso,local_mean,mrseql,MrSEQLClassifier,0.4455797101449275
CinCECGTorso,local_mean,GS,MrSEQLClassifier,0.47695652173913045
CinCECGTorso,local_mean,IG,MrSEQLClassifier,0.48905797101449267
CinCECGTorso,local_mean,random2020,MrSEQLClassifier,0.5981884057971015
