dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Coffee,zero,lime_mrseql,rocket,0.4910714285714286
Coffee,zero,mrseql,rocket,0.48035714285714287
Coffee,zero,cam,rocket,0.49464285714285716
Coffee,zero,GS,rocket,0.5410714285714285
Coffee,zero,IG,rocket,0.49464285714285716
Coffee,zero,random2020,rocket,0.49464285714285716
Coffee,global_mean,lime_mrseql,rocket,0.4910714285714286
Coffee,global_mean,mrseql,rocket,0.48035714285714287
Coffee,global_mean,cam,rocket,0.49464285714285716
Coffee,global_mean,GS,rocket,0.5410714285714285
Coffee,global_mean,IG,rocket,0.49464285714285716
Coffee,global_mean,random2020,rocket,0.49464285714285716
Coffee,local_mean,lime_mrseql,rocket,0.7946428571428572
Coffee,local_mean,mrseql,rocket,0.7232142857142858
Coffee,local_mean,cam,rocket,0.780357142857143
Coffee,local_mean,GS,rocket,0.8517857142857144
Coffee,local_mean,IG,rocket,0.8696428571428572
Coffee,local_mean,random2020,rocket,0.9410714285714286
Coffee,zero,lime_mrseql,resnet,0.7392857142857143
Coffee,zero,mrseql,resnet,0.567857142857143
Coffee,zero,cam,resnet,0.592857142857143
Coffee,zero,GS,resnet,0.6035714285714286
Coffee,zero,IG,resnet,0.6142857142857143
Coffee,zero,random2020,resnet,0.6142857142857143
Coffee,global_mean,lime_mrseql,resnet,0.7392857142857143
Coffee,global_mean,mrseql,resnet,0.567857142857143
Coffee,global_mean,cam,resnet,0.592857142857143
Coffee,global_mean,GS,resnet,0.6035714285714286
Coffee,global_mean,IG,resnet,0.6142857142857143
Coffee,global_mean,random2020,resnet,0.6142857142857143
Coffee,local_mean,lime_mrseql,resnet,0.7142857142857144
Coffee,local_mean,mrseql,resnet,0.6892857142857144
Coffee,local_mean,cam,resnet,0.6000000000000001
Coffee,local_mean,GS,resnet,0.5857142857142856
Coffee,local_mean,IG,resnet,0.5107142857142857
Coffee,local_mean,random2020,resnet,0.8821428571428571
Coffee,zero,lime_mrseql,knn,0.5767857142857142
Coffee,zero,mrseql,knn,0.5339285714285714
Coffee,zero,cam,knn,0.4625
Coffee,zero,GS,knn,0.4910714285714286
Coffee,zero,IG,knn,0.5303571428571427
Coffee,zero,random2020,knn,0.7660714285714286
Coffee,global_mean,lime_mrseql,knn,0.5767857142857142
Coffee,global_mean,mrseql,knn,0.5339285714285714
Coffee,global_mean,cam,knn,0.4625
Coffee,global_mean,GS,knn,0.4910714285714286
Coffee,global_mean,IG,knn,0.5303571428571427
Coffee,global_mean,random2020,knn,0.7660714285714286
Coffee,local_mean,lime_mrseql,knn,0.8375000000000001
Coffee,local_mean,mrseql,knn,0.7696428571428573
Coffee,local_mean,cam,knn,0.7946428571428571
Coffee,local_mean,GS,knn,0.8803571428571428
Coffee,local_mean,IG,knn,0.8267857142857145
Coffee,local_mean,random2020,knn,0.9410714285714287
Coffee,zero,lime_mrseql,MrSEQLClassifier,0.4910714285714286
Coffee,zero,mrseql,MrSEQLClassifier,0.48750000000000004
Coffee,zero,cam,MrSEQLClassifier,0.4910714285714286
Coffee,zero,GS,MrSEQLClassifier,0.5767857142857142
Coffee,zero,IG,MrSEQLClassifier,0.5517857142857142
Coffee,zero,random2020,MrSEQLClassifier,0.5482142857142857
Coffee,global_mean,lime_mrseql,MrSEQLClassifier,0.4910714285714286
Coffee,global_mean,mrseql,MrSEQLClassifier,0.48750000000000004
Coffee,global_mean,cam,MrSEQLClassifier,0.4910714285714286
Coffee,global_mean,GS,MrSEQLClassifier,0.5767857142857142
Coffee,global_mean,IG,MrSEQLClassifier,0.5517857142857142
Coffee,global_mean,random2020,MrSEQLClassifier,0.5482142857142857
Coffee,local_mean,lime_mrseql,MrSEQLClassifier,0.6839285714285714
Coffee,local_mean,mrseql,MrSEQLClassifier,0.6982142857142857
Coffee,local_mean,cam,MrSEQLClassifier,0.7267857142857144
Coffee,local_mean,GS,MrSEQLClassifier,0.8410714285714287
Coffee,local_mean,IG,MrSEQLClassifier,0.8589285714285715
Coffee,local_mean,random2020,MrSEQLClassifier,0.9089285714285715
