dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
CricketX,global_mean,lime_mrseql,rocket,0.28500000000000003
CricketX,global_mean,mrseql,rocket,0.26346153846153847
CricketX,global_mean,GS,rocket,0.21833333333333335
CricketX,global_mean,IG,rocket,0.22525641025641027
CricketX,global_mean,random2020,rocket,0.37141025641025643
CricketX,local_mean,lime_mrseql,rocket,0.3107692307692308
CricketX,local_mean,mrseql,rocket,0.28076923076923077
CricketX,local_mean,GS,rocket,0.22230769230769232
CricketX,local_mean,IG,rocket,0.22743589743589745
CricketX,local_mean,random2020,rocket,0.37307692307692314
CricketX,global_mean,lime_mrseql,resnet,0.1901282051282051
CricketX,global_mean,mrseql,resnet,0.18679487179487184
CricketX,global_mean,GS,resnet,0.13192307692307695
CricketX,global_mean,IG,resnet,0.1321794871794872
CricketX,global_mean,random2020,resnet,0.18782051282051285
CricketX,local_mean,lime_mrseql,resnet,0.19243589743589742
CricketX,local_mean,mrseql,resnet,0.1885897435897436
CricketX,local_mean,GS,resnet,0.135
CricketX,local_mean,IG,resnet,0.13217948717948722
CricketX,local_mean,random2020,resnet,0.1914102564102564
CricketX,global_mean,lime_mrseql,knn,0.2578205128205128
CricketX,global_mean,mrseql,knn,0.275
CricketX,global_mean,GS,knn,0.3021794871794872
CricketX,global_mean,IG,knn,0.3116666666666667
CricketX,global_mean,random2020,knn,0.4983333333333334
CricketX,local_mean,lime_mrseql,knn,0.261025641025641
CricketX,local_mean,mrseql,knn,0.2753846153846154
CricketX,local_mean,GS,knn,0.28794871794871796
CricketX,local_mean,IG,knn,0.30358974358974355
CricketX,local_mean,random2020,knn,0.49923076923076926
CricketX,global_mean,lime_mrseql,MrSEQLClassifier,0.24641025641025638
CricketX,global_mean,mrseql,MrSEQLClassifier,0.20948717948717951
CricketX,global_mean,GS,MrSEQLClassifier,0.21333333333333335
CricketX,global_mean,IG,MrSEQLClassifier,0.2317948717948718
CricketX,global_mean,random2020,MrSEQLClassifier,0.38794871794871794
CricketX,local_mean,lime_mrseql,MrSEQLClassifier,0.22641025641025642
CricketX,local_mean,mrseql,MrSEQLClassifier,0.20102564102564102
CricketX,local_mean,GS,MrSEQLClassifier,0.20461538461538462
CricketX,local_mean,IG,MrSEQLClassifier,0.228974358974359
CricketX,local_mean,random2020,MrSEQLClassifier,0.386923076923077
