dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
ECG200,global_gaussian,lime_mrseql,rocket,0.6559999999999999
ECG200,global_gaussian,mrseql,rocket,0.669
ECG200,global_gaussian,cam,rocket,0.6769999999999999
ECG200,global_gaussian,GS,rocket,0.6659999999999999
ECG200,global_gaussian,IG,rocket,0.6639999999999999
ECG200,global_gaussian,lime_rocket,rocket,0.6599999999999999
ECG200,global_gaussian,random2020,rocket,0.667
ECG200,local_gaussian,lime_mrseql,rocket,0.662
ECG200,local_gaussian,mrseql,rocket,0.6859999999999999
ECG200,local_gaussian,cam,rocket,0.7180000000000001
ECG200,local_gaussian,GS,rocket,0.6950000000000001
ECG200,local_gaussian,IG,rocket,0.692
ECG200,local_gaussian,lime_rocket,rocket,0.6759999999999999
ECG200,local_gaussian,random2020,rocket,0.6869999999999999
ECG200,original_gaussian,lime_mrseql,rocket,0.9075
ECG200,original_gaussian,mrseql,rocket,0.9075
ECG200,original_gaussian,cam,rocket,0.9065000000000001
ECG200,original_gaussian,GS,rocket,0.9065
ECG200,original_gaussian,IG,rocket,0.9045000000000001
ECG200,original_gaussian,lime_rocket,rocket,0.8975
ECG200,original_gaussian,random2020,rocket,0.8955000000000001
ECG200,global_gaussian,lime_mrseql,resnet,0.6525
ECG200,global_gaussian,mrseql,resnet,0.7215
ECG200,global_gaussian,cam,resnet,0.6725000000000001
ECG200,global_gaussian,GS,resnet,0.6435
ECG200,global_gaussian,IG,resnet,0.6425
ECG200,global_gaussian,lime_rocket,resnet,0.6455
ECG200,global_gaussian,random2020,resnet,0.6765
ECG200,local_gaussian,lime_mrseql,resnet,0.6579999999999999
ECG200,local_gaussian,mrseql,resnet,0.7160000000000001
ECG200,local_gaussian,cam,resnet,0.6
ECG200,local_gaussian,GS,resnet,0.6339999999999999
ECG200,local_gaussian,IG,resnet,0.6219999999999999
ECG200,local_gaussian,lime_rocket,resnet,0.619
ECG200,local_gaussian,random2020,resnet,0.6880000000000001
ECG200,original_gaussian,lime_mrseql,resnet,0.8405
ECG200,original_gaussian,mrseql,resnet,0.8375
ECG200,original_gaussian,cam,resnet,0.8494999999999999
ECG200,original_gaussian,GS,resnet,0.8464999999999999
ECG200,original_gaussian,IG,resnet,0.8484999999999999
ECG200,original_gaussian,lime_rocket,resnet,0.8454999999999999
ECG200,original_gaussian,random2020,resnet,0.8415
ECG200,global_gaussian,lime_mrseql,knn,0.6385000000000001
ECG200,global_gaussian,mrseql,knn,0.6515000000000001
ECG200,global_gaussian,cam,knn,0.7485
ECG200,global_gaussian,GS,knn,0.7184999999999999
ECG200,global_gaussian,IG,knn,0.6935
ECG200,global_gaussian,lime_rocket,knn,0.6165
ECG200,global_gaussian,random2020,knn,0.7344999999999999
ECG200,local_gaussian,lime_mrseql,knn,0.674
ECG200,local_gaussian,mrseql,knn,0.7180000000000002
ECG200,local_gaussian,cam,knn,0.7420000000000002
ECG200,local_gaussian,GS,knn,0.736
ECG200,local_gaussian,IG,knn,0.747
ECG200,local_gaussian,lime_rocket,knn,0.6960000000000001
ECG200,local_gaussian,random2020,knn,0.75
ECG200,original_gaussian,lime_mrseql,knn,0.887
ECG200,original_gaussian,mrseql,knn,0.8920000000000001
ECG200,original_gaussian,cam,knn,0.897
ECG200,original_gaussian,GS,knn,0.892
ECG200,original_gaussian,IG,knn,0.894
ECG200,original_gaussian,lime_rocket,knn,0.892
ECG200,original_gaussian,random2020,knn,0.8979999999999999
ECG200,global_gaussian,lime_mrseql,MrSEQLClassifier,0.6555
ECG200,global_gaussian,mrseql,MrSEQLClassifier,0.6575
ECG200,global_gaussian,cam,MrSEQLClassifier,0.6715
ECG200,global_gaussian,GS,MrSEQLClassifier,0.6725
ECG200,global_gaussian,IG,MrSEQLClassifier,0.6675
ECG200,global_gaussian,lime_rocket,MrSEQLClassifier,0.6644999999999999
ECG200,global_gaussian,random2020,MrSEQLClassifier,0.6655
ECG200,local_gaussian,lime_mrseql,MrSEQLClassifier,0.653
ECG200,local_gaussian,mrseql,MrSEQLClassifier,0.6399999999999999
ECG200,local_gaussian,cam,MrSEQLClassifier,0.6549999999999999
ECG200,local_gaussian,GS,MrSEQLClassifier,0.7040000000000001
ECG200,local_gaussian,IG,MrSEQLClassifier,0.686
ECG200,local_gaussian,lime_rocket,MrSEQLClassifier,0.6669999999999999
ECG200,local_gaussian,random2020,MrSEQLClassifier,0.6559999999999999
ECG200,original_gaussian,lime_mrseql,MrSEQLClassifier,0.8009999999999999
ECG200,original_gaussian,mrseql,MrSEQLClassifier,0.7870000000000001
ECG200,original_gaussian,cam,MrSEQLClassifier,0.7879999999999999
ECG200,original_gaussian,GS,MrSEQLClassifier,0.8049999999999999
ECG200,original_gaussian,IG,MrSEQLClassifier,0.7850000000000001
ECG200,original_gaussian,lime_rocket,MrSEQLClassifier,0.7909999999999999
ECG200,original_gaussian,random2020,MrSEQLClassifier,0.78
