dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
ECGFiveDays,global_mean,lime_mrseql,rocket,0.5709639953542394
ECGFiveDays,global_mean,mrseql,rocket,0.5965156794425086
ECGFiveDays,global_mean,GS,rocket,0.5547038327526133
ECGFiveDays,global_mean,IG,rocket,0.567711962833914
ECGFiveDays,global_mean,random2020,rocket,0.7909407665505227
ECGFiveDays,local_mean,lime_mrseql,rocket,0.5639953542392567
ECGFiveDays,local_mean,mrseql,rocket,0.6293844367015099
ECGFiveDays,local_mean,GS,rocket,0.6075493612078977
ECGFiveDays,local_mean,IG,rocket,0.6465737514518003
ECGFiveDays,local_mean,random2020,rocket,0.8155632984901278
ECGFiveDays,global_mean,lime_mrseql,resnet,0.6187572590011614
ECGFiveDays,global_mean,mrseql,resnet,0.6401277584204413
ECGFiveDays,global_mean,GS,resnet,0.5619628339140534
ECGFiveDays,global_mean,IG,resnet,0.5610336817653891
ECGFiveDays,global_mean,random2020,resnet,0.6772938443670151
ECGFiveDays,local_mean,lime_mrseql,resnet,0.6318815331010453
ECGFiveDays,local_mean,mrseql,resnet,0.6360627177700349
ECGFiveDays,local_mean,GS,resnet,0.5386178861788617
ECGFiveDays,local_mean,IG,resnet,0.5376887340301975
ECGFiveDays,local_mean,random2020,resnet,0.6815911730545877
ECGFiveDays,global_mean,lime_mrseql,knn,0.5987224157955866
ECGFiveDays,global_mean,mrseql,knn,0.5751451800232288
ECGFiveDays,global_mean,GS,knn,0.5430894308943089
ECGFiveDays,global_mean,IG,knn,0.5219512195121951
ECGFiveDays,global_mean,random2020,knn,0.6995354239256679
ECGFiveDays,local_mean,lime_mrseql,knn,0.6016260162601627
ECGFiveDays,local_mean,mrseql,knn,0.6233449477351917
ECGFiveDays,local_mean,GS,knn,0.5599303135888501
ECGFiveDays,local_mean,IG,knn,0.5527293844367015
ECGFiveDays,local_mean,random2020,knn,0.635075493612079
ECGFiveDays,global_mean,lime_mrseql,MrSEQLClassifier,0.5275261324041811
ECGFiveDays,global_mean,mrseql,MrSEQLClassifier,0.5387921022067363
ECGFiveDays,global_mean,GS,MrSEQLClassifier,0.5282229965156795
ECGFiveDays,global_mean,IG,MrSEQLClassifier,0.5283391405342625
ECGFiveDays,global_mean,random2020,MrSEQLClassifier,0.6527293844367015
ECGFiveDays,local_mean,lime_mrseql,MrSEQLClassifier,0.5530778164924506
ECGFiveDays,local_mean,mrseql,MrSEQLClassifier,0.5600464576074332
ECGFiveDays,local_mean,GS,MrSEQLClassifier,0.5950058072009292
ECGFiveDays,local_mean,IG,MrSEQLClassifier,0.613472706155633
ECGFiveDays,local_mean,random2020,MrSEQLClassifier,0.7146341463414635
