dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
GunPointAgeSpan,global_mean,lime_mrseql,rocket,0.5606012658227849
GunPointAgeSpan,global_mean,mrseql,rocket,0.5738924050632912
GunPointAgeSpan,global_mean,GS,rocket,0.5992088607594936
GunPointAgeSpan,global_mean,IG,rocket,0.5856012658227847
GunPointAgeSpan,global_mean,random2020,rocket,0.531487341772152
GunPointAgeSpan,local_mean,lime_mrseql,rocket,0.5906645569620252
GunPointAgeSpan,local_mean,mrseql,rocket,0.5232594936708861
GunPointAgeSpan,local_mean,GS,rocket,0.6074367088607596
GunPointAgeSpan,local_mean,IG,rocket,0.61123417721519
GunPointAgeSpan,local_mean,random2020,rocket,0.5593354430379748
GunPointAgeSpan,global_mean,lime_mrseql,resnet,0.5408227848101266
GunPointAgeSpan,global_mean,mrseql,resnet,0.5218354430379747
GunPointAgeSpan,global_mean,GS,resnet,0.5344936708860759
GunPointAgeSpan,global_mean,IG,resnet,0.5066455696202532
GunPointAgeSpan,global_mean,random2020,resnet,0.518987341772152
GunPointAgeSpan,local_mean,lime_mrseql,resnet,0.5522151898734178
GunPointAgeSpan,local_mean,mrseql,resnet,0.5512658227848102
GunPointAgeSpan,local_mean,GS,resnet,0.5487341772151899
GunPointAgeSpan,local_mean,IG,resnet,0.5180379746835443
GunPointAgeSpan,local_mean,random2020,resnet,0.5566455696202532
GunPointAgeSpan,global_mean,lime_mrseql,knn,0.5933544303797469
GunPointAgeSpan,global_mean,mrseql,knn,0.7107594936708861
GunPointAgeSpan,global_mean,GS,knn,0.6151898734177215
GunPointAgeSpan,global_mean,IG,knn,0.6693037974683544
GunPointAgeSpan,global_mean,random2020,knn,0.6588607594936708
GunPointAgeSpan,local_mean,lime_mrseql,knn,0.6028481012658227
GunPointAgeSpan,local_mean,mrseql,knn,0.6797468354430379
GunPointAgeSpan,local_mean,GS,knn,0.6474683544303798
GunPointAgeSpan,local_mean,IG,knn,0.7072784810126582
GunPointAgeSpan,local_mean,random2020,knn,0.6892405063291139
GunPointAgeSpan,global_mean,lime_mrseql,MrSEQLClassifier,0.5264240506329114
GunPointAgeSpan,global_mean,mrseql,MrSEQLClassifier,0.5666139240506329
GunPointAgeSpan,global_mean,GS,MrSEQLClassifier,0.5973101265822786
GunPointAgeSpan,global_mean,IG,MrSEQLClassifier,0.5754746835443039
GunPointAgeSpan,global_mean,random2020,MrSEQLClassifier,0.5283227848101266
GunPointAgeSpan,local_mean,lime_mrseql,MrSEQLClassifier,0.5450949367088608
GunPointAgeSpan,local_mean,mrseql,MrSEQLClassifier,0.6131329113924051
GunPointAgeSpan,local_mean,GS,MrSEQLClassifier,0.6131329113924051
GunPointAgeSpan,local_mean,IG,MrSEQLClassifier,0.6147151898734178
GunPointAgeSpan,local_mean,random2020,MrSEQLClassifier,0.5454113924050633
