dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,0.5283227848101266
GunPointMaleVersusFemale,global_mean,mrseql,rocket,0.5261075949367089
GunPointMaleVersusFemale,global_mean,GS,rocket,0.5938291139240506
GunPointMaleVersusFemale,global_mean,IG,rocket,0.6625000000000001
GunPointMaleVersusFemale,global_mean,random2020,rocket,0.5479430379746836
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,0.6049050632911392
GunPointMaleVersusFemale,local_mean,mrseql,rocket,0.6431962025316456
GunPointMaleVersusFemale,local_mean,GS,rocket,0.6681962025316456
GunPointMaleVersusFemale,local_mean,IG,rocket,0.7242088607594936
GunPointMaleVersusFemale,local_mean,random2020,rocket,0.5662974683544303
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,0.6471518987341773
GunPointMaleVersusFemale,global_mean,mrseql,resnet,0.6825949367088608
GunPointMaleVersusFemale,global_mean,GS,resnet,0.7620253164556963
GunPointMaleVersusFemale,global_mean,IG,resnet,0.8259493670886076
GunPointMaleVersusFemale,global_mean,random2020,resnet,0.7215189873417722
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,0.6772151898734178
GunPointMaleVersusFemale,local_mean,mrseql,resnet,0.7370253164556964
GunPointMaleVersusFemale,local_mean,GS,resnet,0.7563291139240507
GunPointMaleVersusFemale,local_mean,IG,resnet,0.8022151898734177
GunPointMaleVersusFemale,local_mean,random2020,resnet,0.8018987341772152
GunPointMaleVersusFemale,global_mean,lime_mrseql,knn,0.6006329113924052
GunPointMaleVersusFemale,global_mean,mrseql,knn,0.634493670886076
GunPointMaleVersusFemale,global_mean,GS,knn,0.6822784810126583
GunPointMaleVersusFemale,global_mean,IG,knn,0.7231012658227849
GunPointMaleVersusFemale,global_mean,random2020,knn,0.698101265822785
GunPointMaleVersusFemale,local_mean,lime_mrseql,knn,0.6180379746835444
GunPointMaleVersusFemale,local_mean,mrseql,knn,0.6512658227848103
GunPointMaleVersusFemale,local_mean,GS,knn,0.6623417721518988
GunPointMaleVersusFemale,local_mean,IG,knn,0.6908227848101267
GunPointMaleVersusFemale,local_mean,random2020,knn,0.6939873417721519
GunPointMaleVersusFemale,global_mean,lime_mrseql,MrSEQLClassifier,0.5151898734177215
GunPointMaleVersusFemale,global_mean,mrseql,MrSEQLClassifier,0.5142405063291139
GunPointMaleVersusFemale,global_mean,GS,MrSEQLClassifier,0.5477848101265824
GunPointMaleVersusFemale,global_mean,IG,MrSEQLClassifier,0.5579113924050634
GunPointMaleVersusFemale,global_mean,random2020,MrSEQLClassifier,0.5015822784810127
GunPointMaleVersusFemale,local_mean,lime_mrseql,MrSEQLClassifier,0.5360759493670886
GunPointMaleVersusFemale,local_mean,mrseql,MrSEQLClassifier,0.5215189873417722
GunPointMaleVersusFemale,local_mean,GS,MrSEQLClassifier,0.5623417721518988
GunPointMaleVersusFemale,local_mean,IG,MrSEQLClassifier,0.5724683544303798
GunPointMaleVersusFemale,local_mean,random2020,MrSEQLClassifier,0.5015822784810127
