dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
GunPointOldVersusYoung,global_mean,lime_mrseql,rocket,0.5780952380952381
GunPointOldVersusYoung,global_mean,mrseql,rocket,0.6273015873015874
GunPointOldVersusYoung,global_mean,GS,rocket,0.5453968253968254
GunPointOldVersusYoung,global_mean,IG,rocket,0.5120634920634921
GunPointOldVersusYoung,global_mean,random2020,rocket,0.5257142857142857
GunPointOldVersusYoung,local_mean,lime_mrseql,rocket,0.5209523809523811
GunPointOldVersusYoung,local_mean,mrseql,rocket,0.5707936507936507
GunPointOldVersusYoung,local_mean,GS,rocket,0.5695238095238095
GunPointOldVersusYoung,local_mean,IG,rocket,0.5577777777777779
GunPointOldVersusYoung,local_mean,random2020,rocket,0.5441269841269841
GunPointOldVersusYoung,global_mean,lime_mrseql,resnet,0.7215873015873017
GunPointOldVersusYoung,global_mean,mrseql,resnet,0.7206349206349207
GunPointOldVersusYoung,global_mean,GS,resnet,0.6926984126984128
GunPointOldVersusYoung,global_mean,IG,resnet,0.6965079365079366
GunPointOldVersusYoung,global_mean,random2020,resnet,0.6292063492063493
GunPointOldVersusYoung,local_mean,lime_mrseql,resnet,0.6634920634920636
GunPointOldVersusYoung,local_mean,mrseql,resnet,0.6415873015873017
GunPointOldVersusYoung,local_mean,GS,resnet,0.6485714285714287
GunPointOldVersusYoung,local_mean,IG,resnet,0.6450793650793653
GunPointOldVersusYoung,local_mean,random2020,resnet,0.621904761904762
GunPointOldVersusYoung,global_mean,lime_mrseql,knn,0.8973015873015873
GunPointOldVersusYoung,global_mean,mrseql,knn,0.8677777777777778
GunPointOldVersusYoung,global_mean,GS,knn,0.8036507936507937
GunPointOldVersusYoung,global_mean,IG,knn,0.8058730158730159
GunPointOldVersusYoung,global_mean,random2020,knn,0.9458730158730159
GunPointOldVersusYoung,local_mean,lime_mrseql,knn,0.74984126984127
GunPointOldVersusYoung,local_mean,mrseql,knn,0.7015873015873016
GunPointOldVersusYoung,local_mean,GS,knn,0.7403174603174604
GunPointOldVersusYoung,local_mean,IG,knn,0.7473015873015875
GunPointOldVersusYoung,local_mean,random2020,knn,0.8400000000000001
GunPointOldVersusYoung,global_mean,lime_mrseql,MrSEQLClassifier,0.5457142857142857
GunPointOldVersusYoung,global_mean,mrseql,MrSEQLClassifier,0.5463492063492064
GunPointOldVersusYoung,global_mean,GS,MrSEQLClassifier,0.5980952380952382
GunPointOldVersusYoung,global_mean,IG,MrSEQLClassifier,0.6060317460317461
GunPointOldVersusYoung,global_mean,random2020,MrSEQLClassifier,0.5463492063492064
GunPointOldVersusYoung,local_mean,lime_mrseql,MrSEQLClassifier,0.540952380952381
GunPointOldVersusYoung,local_mean,mrseql,MrSEQLClassifier,0.5460317460317461
GunPointOldVersusYoung,local_mean,GS,MrSEQLClassifier,0.5765079365079366
GunPointOldVersusYoung,local_mean,IG,MrSEQLClassifier,0.588888888888889
GunPointOldVersusYoung,local_mean,random2020,MrSEQLClassifier,0.5463492063492064
