dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
GunPoint,global_mean,lime_mrseql,rocket,0.5333333333333333
GunPoint,global_mean,mrseql,rocket,0.5466666666666666
GunPoint,global_mean,cam,rocket,0.5213333333333334
GunPoint,global_mean,GS,rocket,0.5286666666666667
GunPoint,global_mean,IG,rocket,0.5233333333333334
GunPoint,global_mean,random2020,rocket,0.5193333333333334
GunPoint,local_mean,lime_mrseql,rocket,0.72
GunPoint,local_mean,mrseql,rocket,0.7
GunPoint,local_mean,cam,rocket,0.778
GunPoint,local_mean,GS,rocket,0.7866666666666667
GunPoint,local_mean,IG,rocket,0.748
GunPoint,local_mean,random2020,rocket,0.7046666666666667
GunPoint,global_mean,lime_mrseql,resnet,0.5363333333333333
GunPoint,global_mean,mrseql,resnet,0.5396666666666666
GunPoint,global_mean,cam,resnet,0.5356666666666666
GunPoint,global_mean,GS,resnet,0.5423333333333333
GunPoint,global_mean,IG,resnet,0.533
GunPoint,global_mean,random2020,resnet,0.6283333333333333
GunPoint,local_mean,lime_mrseql,resnet,0.5896666666666667
GunPoint,local_mean,mrseql,resnet,0.5823333333333334
GunPoint,local_mean,cam,resnet,0.5943333333333334
GunPoint,local_mean,GS,resnet,0.5916666666666667
GunPoint,local_mean,IG,resnet,0.5456666666666666
GunPoint,local_mean,random2020,resnet,0.6363333333333334
GunPoint,global_mean,lime_mrseql,knn,0.631
GunPoint,global_mean,mrseql,knn,0.6130000000000001
GunPoint,global_mean,cam,knn,0.609
GunPoint,global_mean,GS,knn,0.6156666666666668
GunPoint,global_mean,IG,knn,0.6296666666666666
GunPoint,global_mean,random2020,knn,0.7916666666666667
GunPoint,local_mean,lime_mrseql,knn,0.6283333333333334
GunPoint,local_mean,mrseql,knn,0.629
GunPoint,local_mean,cam,knn,0.625
GunPoint,local_mean,GS,knn,0.6456666666666666
GunPoint,local_mean,IG,knn,0.5963333333333334
GunPoint,local_mean,random2020,knn,0.6823333333333332
GunPoint,global_mean,lime_mrseql,MrSEQLClassifier,0.5483333333333333
GunPoint,global_mean,mrseql,MrSEQLClassifier,0.5603333333333333
GunPoint,global_mean,cam,MrSEQLClassifier,0.551
GunPoint,global_mean,GS,MrSEQLClassifier,0.5710000000000001
GunPoint,global_mean,IG,MrSEQLClassifier,0.5623333333333334
GunPoint,global_mean,random2020,MrSEQLClassifier,0.5336666666666667
GunPoint,local_mean,lime_mrseql,MrSEQLClassifier,0.6743333333333332
GunPoint,local_mean,mrseql,MrSEQLClassifier,0.6669999999999999
GunPoint,local_mean,cam,MrSEQLClassifier,0.705
GunPoint,local_mean,GS,MrSEQLClassifier,0.7096666666666667
GunPoint,local_mean,IG,MrSEQLClassifier,0.6863333333333334
GunPoint,local_mean,random2020,MrSEQLClassifier,0.7096666666666667
