dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Ham,global_mean,lime_mrseql,rocket,0.6161904761904763
Ham,global_mean,mrseql,rocket,0.6066666666666666
Ham,global_mean,GS,rocket,0.5619047619047619
Ham,global_mean,IG,rocket,0.540952380952381
Ham,global_mean,random2020,rocket,0.5571428571428572
Ham,local_mean,lime_mrseql,rocket,0.6633333333333332
Ham,local_mean,mrseql,rocket,0.6423809523809524
Ham,local_mean,GS,rocket,0.6623809523809524
Ham,local_mean,IG,rocket,0.6995238095238094
Ham,local_mean,random2020,rocket,0.6357142857142857
Ham,global_mean,lime_mrseql,resnet,0.5638095238095238
Ham,global_mean,mrseql,resnet,0.54
Ham,global_mean,GS,resnet,0.5819047619047618
Ham,global_mean,IG,resnet,0.5923809523809523
Ham,global_mean,random2020,resnet,0.5295238095238095
Ham,local_mean,lime_mrseql,resnet,0.5714285714285714
Ham,local_mean,mrseql,resnet,0.5523809523809523
Ham,local_mean,GS,resnet,0.5285714285714285
Ham,local_mean,IG,resnet,0.4952380952380952
Ham,local_mean,random2020,resnet,0.5628571428571428
Ham,global_mean,lime_mrseql,knn,0.6085714285714287
Ham,global_mean,mrseql,knn,0.6057142857142858
Ham,global_mean,GS,knn,0.5352380952380952
Ham,global_mean,IG,knn,0.5428571428571428
Ham,global_mean,random2020,knn,0.5599999999999999
Ham,local_mean,lime_mrseql,knn,0.5252380952380953
Ham,local_mean,mrseql,knn,0.5319047619047619
Ham,local_mean,GS,knn,0.5852380952380952
Ham,local_mean,IG,knn,0.5680952380952381
Ham,local_mean,random2020,knn,0.5671428571428572
Ham,global_mean,lime_mrseql,MrSEQLClassifier,0.5233333333333333
Ham,global_mean,mrseql,MrSEQLClassifier,0.5328571428571429
Ham,global_mean,GS,MrSEQLClassifier,0.5319047619047619
Ham,global_mean,IG,MrSEQLClassifier,0.5319047619047619
Ham,global_mean,random2020,MrSEQLClassifier,0.5461904761904762
Ham,local_mean,lime_mrseql,MrSEQLClassifier,0.5895238095238096
Ham,local_mean,mrseql,MrSEQLClassifier,0.5695238095238095
Ham,local_mean,GS,MrSEQLClassifier,0.6047619047619048
Ham,local_mean,IG,MrSEQLClassifier,0.6504761904761905
Ham,local_mean,random2020,MrSEQLClassifier,0.6580952380952381
