dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Haptics,global_mean,lime_mrseql,rocket,0.25032467532467534
Haptics,global_mean,mrseql,rocket,0.22792207792207791
Haptics,global_mean,GS,rocket,0.2051948051948052
Haptics,global_mean,IG,rocket,0.21623376623376622
Haptics,global_mean,random2020,rocket,0.20746753246753247
Haptics,local_mean,lime_mrseql,rocket,0.3672077922077922
Haptics,local_mean,mrseql,rocket,0.35681818181818187
Haptics,local_mean,GS,rocket,0.3685064935064935
Haptics,local_mean,IG,rocket,0.37142857142857144
Haptics,local_mean,random2020,rocket,0.32142857142857145
Haptics,global_mean,lime_mrseql,resnet,0.2946428571428572
Haptics,global_mean,mrseql,resnet,0.2793831168831169
Haptics,global_mean,GS,resnet,0.2206168831168831
Haptics,global_mean,IG,resnet,0.21347402597402598
Haptics,global_mean,random2020,resnet,0.23847402597402598
Haptics,local_mean,lime_mrseql,resnet,0.3131493506493507
Haptics,local_mean,mrseql,resnet,0.3053571428571429
Haptics,local_mean,GS,resnet,0.23295454545454544
Haptics,local_mean,IG,resnet,0.23392857142857143
Haptics,local_mean,random2020,resnet,0.3043831168831169
Haptics,global_mean,lime_mrseql,knn,0.26477272727272727
Haptics,global_mean,mrseql,knn,0.27905844155844156
Haptics,global_mean,GS,knn,0.26574675324675323
Haptics,global_mean,IG,knn,0.27126623376623377
Haptics,global_mean,random2020,knn,0.3420454545454546
Haptics,local_mean,lime_mrseql,knn,0.30616883116883115
Haptics,local_mean,mrseql,knn,0.32012987012987015
Haptics,local_mean,GS,knn,0.30746753246753245
Haptics,local_mean,IG,knn,0.32532467532467535
Haptics,local_mean,random2020,knn,0.31136363636363634
Haptics,global_mean,lime_mrseql,MrSEQLClassifier,0.2452922077922078
Haptics,global_mean,mrseql,MrSEQLClassifier,0.24431818181818182
Haptics,global_mean,GS,MrSEQLClassifier,0.2560064935064935
Haptics,global_mean,IG,MrSEQLClassifier,0.24431818181818182
Haptics,global_mean,random2020,MrSEQLClassifier,0.264448051948052
Haptics,local_mean,lime_mrseql,MrSEQLClassifier,0.2939935064935065
Haptics,local_mean,mrseql,MrSEQLClassifier,0.3066558441558441
Haptics,local_mean,GS,MrSEQLClassifier,0.34269480519480516
Haptics,local_mean,IG,MrSEQLClassifier,0.3355519480519481
Haptics,local_mean,random2020,MrSEQLClassifier,0.33165584415584415
