dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
ItalyPowerDemand,global_mean,lime_mrseql,rocket,0.7148202137998058
ItalyPowerDemand,global_mean,mrseql,rocket,0.6827502429543246
ItalyPowerDemand,global_mean,GS,rocket,0.519290573372206
ItalyPowerDemand,global_mean,IG,rocket,0.5093780369290573
ItalyPowerDemand,global_mean,random2020,rocket,0.7357142857142858
ItalyPowerDemand,local_mean,lime_mrseql,rocket,0.8145772594752186
ItalyPowerDemand,local_mean,mrseql,rocket,0.8740524781341108
ItalyPowerDemand,local_mean,GS,rocket,0.8205053449951409
ItalyPowerDemand,local_mean,IG,rocket,0.8388726919339164
ItalyPowerDemand,local_mean,random2020,rocket,0.8688046647230322
ItalyPowerDemand,global_mean,lime_mrseql,resnet,0.6725947521865889
ItalyPowerDemand,global_mean,mrseql,resnet,0.6263362487852284
ItalyPowerDemand,global_mean,GS,resnet,0.5282798833819242
ItalyPowerDemand,global_mean,IG,resnet,0.5241010689990282
ItalyPowerDemand,global_mean,random2020,resnet,0.6192419825072886
ItalyPowerDemand,local_mean,lime_mrseql,resnet,0.7626822157434403
ItalyPowerDemand,local_mean,mrseql,resnet,0.7189504373177843
ItalyPowerDemand,local_mean,GS,resnet,0.5467444120505345
ItalyPowerDemand,local_mean,IG,resnet,0.5331389698736637
ItalyPowerDemand,local_mean,random2020,resnet,0.8068999028182702
ItalyPowerDemand,global_mean,lime_mrseql,knn,0.7496112730806608
ItalyPowerDemand,global_mean,mrseql,knn,0.7365889212827988
ItalyPowerDemand,global_mean,GS,knn,0.5334791059280856
ItalyPowerDemand,global_mean,IG,knn,0.5561224489795918
ItalyPowerDemand,global_mean,random2020,knn,0.7871234207968902
ItalyPowerDemand,local_mean,lime_mrseql,knn,0.7997570456754131
ItalyPowerDemand,local_mean,mrseql,knn,0.7919825072886297
ItalyPowerDemand,local_mean,GS,knn,0.7851797862001944
ItalyPowerDemand,local_mean,IG,knn,0.8078231292517007
ItalyPowerDemand,local_mean,random2020,knn,0.8327016520894072
ItalyPowerDemand,global_mean,lime_mrseql,MrSEQLClassifier,0.568561710398445
ItalyPowerDemand,global_mean,mrseql,MrSEQLClassifier,0.5917881438289603
ItalyPowerDemand,global_mean,GS,MrSEQLClassifier,0.5407677356656949
ItalyPowerDemand,global_mean,IG,MrSEQLClassifier,0.534645286686103
ItalyPowerDemand,global_mean,random2020,MrSEQLClassifier,0.570019436345967
ItalyPowerDemand,local_mean,lime_mrseql,MrSEQLClassifier,0.7344509232264335
ItalyPowerDemand,local_mean,mrseql,MrSEQLClassifier,0.6996598639455781
ItalyPowerDemand,local_mean,GS,MrSEQLClassifier,0.6628279883381925
ItalyPowerDemand,local_mean,IG,MrSEQLClassifier,0.6673955296404276
ItalyPowerDemand,local_mean,random2020,MrSEQLClassifier,0.7466958211856171
