dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Meat,global_mean,lime_mrseql,rocket,0.3175
Meat,global_mean,mrseql,rocket,0.3791666666666667
Meat,global_mean,GS,rocket,0.40249999999999997
Meat,global_mean,IG,rocket,0.45249999999999996
Meat,global_mean,random2020,rocket,0.37083333333333335
Meat,local_mean,lime_mrseql,rocket,0.5708333333333333
Meat,local_mean,mrseql,rocket,0.5941666666666667
Meat,local_mean,GS,rocket,0.8041666666666667
Meat,local_mean,IG,rocket,0.8608333333333333
Meat,local_mean,random2020,rocket,0.6558333333333334
Meat,global_mean,lime_mrseql,resnet,0.5716666666666668
Meat,global_mean,mrseql,resnet,0.695
Meat,global_mean,GS,resnet,0.35000000000000003
Meat,global_mean,IG,resnet,0.37666666666666665
Meat,global_mean,random2020,resnet,0.35
Meat,local_mean,lime_mrseql,resnet,0.5333333333333333
Meat,local_mean,mrseql,resnet,0.5383333333333333
Meat,local_mean,GS,resnet,0.42
Meat,local_mean,IG,resnet,0.415
Meat,local_mean,random2020,resnet,0.485
Meat,global_mean,lime_mrseql,knn,0.3883333333333333
Meat,global_mean,mrseql,knn,0.465
Meat,global_mean,GS,knn,0.495
Meat,global_mean,IG,knn,0.4866666666666667
Meat,global_mean,random2020,knn,0.4083333333333334
Meat,local_mean,lime_mrseql,knn,0.5083333333333333
Meat,local_mean,mrseql,knn,0.5516666666666666
Meat,local_mean,GS,knn,0.7750000000000001
Meat,local_mean,IG,knn,0.8083333333333333
Meat,local_mean,random2020,knn,0.6316666666666667
Meat,global_mean,lime_mrseql,MrSEQLClassifier,0.3908333333333333
Meat,global_mean,mrseql,MrSEQLClassifier,0.4225
Meat,global_mean,GS,MrSEQLClassifier,0.5158333333333334
Meat,global_mean,IG,MrSEQLClassifier,0.47750000000000004
Meat,global_mean,random2020,MrSEQLClassifier,0.39416666666666667
Meat,local_mean,lime_mrseql,MrSEQLClassifier,0.37249999999999994
Meat,local_mean,mrseql,MrSEQLClassifier,0.39249999999999996
Meat,local_mean,GS,MrSEQLClassifier,0.6575000000000002
Meat,local_mean,IG,MrSEQLClassifier,0.6525000000000001
Meat,local_mean,random2020,MrSEQLClassifier,0.6175
