dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
MoteStrain,global_mean,lime_mrseql,rocket,0.598761980830671
MoteStrain,global_mean,mrseql,rocket,0.7254392971246006
MoteStrain,global_mean,GS,rocket,0.6046725239616614
MoteStrain,global_mean,IG,rocket,0.5930910543130992
MoteStrain,global_mean,random2020,rocket,0.600279552715655
MoteStrain,local_mean,lime_mrseql,rocket,0.7335063897763577
MoteStrain,local_mean,mrseql,rocket,0.8220846645367412
MoteStrain,local_mean,GS,rocket,0.6957268370607029
MoteStrain,local_mean,IG,rocket,0.6849440894568691
MoteStrain,local_mean,random2020,rocket,0.6926118210862621
MoteStrain,global_mean,lime_mrseql,resnet,0.6367012779552716
MoteStrain,global_mean,mrseql,resnet,0.7294329073482428
MoteStrain,global_mean,GS,resnet,0.5389376996805112
MoteStrain,global_mean,IG,resnet,0.5172124600638978
MoteStrain,global_mean,random2020,resnet,0.675758785942492
MoteStrain,local_mean,lime_mrseql,resnet,0.6450079872204473
MoteStrain,local_mean,mrseql,resnet,0.7474840255591055
MoteStrain,local_mean,GS,resnet,0.5832667731629393
MoteStrain,local_mean,IG,resnet,0.5426916932907349
MoteStrain,local_mean,random2020,resnet,0.7454073482428115
MoteStrain,global_mean,lime_mrseql,knn,0.7286341853035143
MoteStrain,global_mean,mrseql,knn,0.8012380191693292
MoteStrain,global_mean,GS,knn,0.6550718849840256
MoteStrain,global_mean,IG,knn,0.670167731629393
MoteStrain,global_mean,random2020,knn,0.8133785942492012
MoteStrain,local_mean,lime_mrseql,knn,0.7818290734824281
MoteStrain,local_mean,mrseql,knn,0.8240814696485624
MoteStrain,local_mean,GS,knn,0.7651357827476037
MoteStrain,local_mean,IG,knn,0.7557907348242812
MoteStrain,local_mean,random2020,knn,0.795167731629393
MoteStrain,global_mean,lime_mrseql,MrSEQLClassifier,0.5487220447284346
MoteStrain,global_mean,mrseql,MrSEQLClassifier,0.5876198083067093
MoteStrain,global_mean,GS,MrSEQLClassifier,0.6308306709265176
MoteStrain,global_mean,IG,MrSEQLClassifier,0.6339456869009585
MoteStrain,global_mean,random2020,MrSEQLClassifier,0.5853035143769968
MoteStrain,local_mean,lime_mrseql,MrSEQLClassifier,0.6821884984025559
MoteStrain,local_mean,mrseql,MrSEQLClassifier,0.6880191693290736
MoteStrain,local_mean,GS,MrSEQLClassifier,0.7363418530351438
MoteStrain,local_mean,IG,MrSEQLClassifier,0.7424920127795527
MoteStrain,local_mean,random2020,MrSEQLClassifier,0.748961661341853
