dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,0.7085
Moving_RareTime_CAR,global_mean,mrseql,rocket,0.7934999999999999
Moving_RareTime_CAR,global_mean,GS,rocket,0.4835
Moving_RareTime_CAR,global_mean,IG,rocket,0.4985
Moving_RareTime_CAR,global_mean,random2020,rocket,0.9055
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,0.7195
Moving_RareTime_CAR,local_mean,mrseql,rocket,0.7774999999999999
Moving_RareTime_CAR,local_mean,GS,rocket,0.4725
Moving_RareTime_CAR,local_mean,IG,rocket,0.4925
Moving_RareTime_CAR,local_mean,random2020,rocket,0.9114999999999999
Moving_RareTime_CAR,global_mean,lime_mrseql,resnet,0.6994999999999999
Moving_RareTime_CAR,global_mean,mrseql,resnet,0.7354999999999999
Moving_RareTime_CAR,global_mean,GS,resnet,0.4675
Moving_RareTime_CAR,global_mean,IG,resnet,0.4645
Moving_RareTime_CAR,global_mean,random2020,resnet,0.8965000000000001
Moving_RareTime_CAR,local_mean,lime_mrseql,resnet,0.6845000000000001
Moving_RareTime_CAR,local_mean,mrseql,resnet,0.7345
Moving_RareTime_CAR,local_mean,GS,resnet,0.5445
Moving_RareTime_CAR,local_mean,IG,resnet,0.5455
Moving_RareTime_CAR,local_mean,random2020,resnet,0.9105
Moving_RareTime_CAR,global_mean,lime_mrseql,knn,0.6415
Moving_RareTime_CAR,global_mean,mrseql,knn,0.7714999999999999
Moving_RareTime_CAR,global_mean,GS,knn,0.4775
Moving_RareTime_CAR,global_mean,IG,knn,0.4675
Moving_RareTime_CAR,global_mean,random2020,knn,0.8414999999999999
Moving_RareTime_CAR,local_mean,lime_mrseql,knn,0.6415
Moving_RareTime_CAR,local_mean,mrseql,knn,0.7815
Moving_RareTime_CAR,local_mean,GS,knn,0.47350000000000003
Moving_RareTime_CAR,local_mean,IG,knn,0.47250000000000003
Moving_RareTime_CAR,local_mean,random2020,knn,0.8414999999999999
Moving_RareTime_CAR,global_mean,lime_mrseql,MrSEQLClassifier,0.5734999999999999
Moving_RareTime_CAR,global_mean,mrseql,MrSEQLClassifier,0.6154999999999999
Moving_RareTime_CAR,global_mean,GS,MrSEQLClassifier,0.5854999999999999
Moving_RareTime_CAR,global_mean,IG,MrSEQLClassifier,0.5854999999999999
Moving_RareTime_CAR,global_mean,random2020,MrSEQLClassifier,0.7625
Moving_RareTime_CAR,local_mean,lime_mrseql,MrSEQLClassifier,0.5745
Moving_RareTime_CAR,local_mean,mrseql,MrSEQLClassifier,0.6695
Moving_RareTime_CAR,local_mean,GS,MrSEQLClassifier,0.5285
Moving_RareTime_CAR,local_mean,IG,MrSEQLClassifier,0.5395000000000001
Moving_RareTime_CAR,local_mean,random2020,MrSEQLClassifier,0.7535000000000001
