dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Moving_RareTime_Harmonic,global_mean,lime_mrseql,rocket,0.651
Moving_RareTime_Harmonic,global_mean,mrseql,rocket,0.66
Moving_RareTime_Harmonic,global_mean,GS,rocket,0.49799999999999994
Moving_RareTime_Harmonic,global_mean,IG,rocket,0.5319999999999999
Moving_RareTime_Harmonic,global_mean,random2020,rocket,0.713
Moving_RareTime_Harmonic,local_mean,lime_mrseql,rocket,0.6559999999999999
Moving_RareTime_Harmonic,local_mean,mrseql,rocket,0.6759999999999999
Moving_RareTime_Harmonic,local_mean,GS,rocket,0.4729999999999999
Moving_RareTime_Harmonic,local_mean,IG,rocket,0.532
Moving_RareTime_Harmonic,local_mean,random2020,rocket,0.7110000000000001
Moving_RareTime_Harmonic,global_mean,lime_mrseql,resnet,0.625
Moving_RareTime_Harmonic,global_mean,mrseql,resnet,0.7560000000000002
Moving_RareTime_Harmonic,global_mean,GS,resnet,0.489
Moving_RareTime_Harmonic,global_mean,IG,resnet,0.498
Moving_RareTime_Harmonic,global_mean,random2020,resnet,0.704
Moving_RareTime_Harmonic,local_mean,lime_mrseql,resnet,0.631
Moving_RareTime_Harmonic,local_mean,mrseql,resnet,0.7590000000000001
Moving_RareTime_Harmonic,local_mean,GS,resnet,0.491
Moving_RareTime_Harmonic,local_mean,IG,resnet,0.49999999999999994
Moving_RareTime_Harmonic,local_mean,random2020,resnet,0.7130000000000001
Moving_RareTime_Harmonic,global_mean,lime_mrseql,knn,0.6125
Moving_RareTime_Harmonic,global_mean,mrseql,knn,0.6165
Moving_RareTime_Harmonic,global_mean,GS,knn,0.4985
Moving_RareTime_Harmonic,global_mean,IG,knn,0.49050000000000005
Moving_RareTime_Harmonic,global_mean,random2020,knn,0.6214999999999999
Moving_RareTime_Harmonic,local_mean,lime_mrseql,knn,0.6114999999999999
Moving_RareTime_Harmonic,local_mean,mrseql,knn,0.6054999999999999
Moving_RareTime_Harmonic,local_mean,GS,knn,0.5055000000000001
Moving_RareTime_Harmonic,local_mean,IG,knn,0.4995
Moving_RareTime_Harmonic,local_mean,random2020,knn,0.6164999999999999
Moving_RareTime_Harmonic,global_mean,lime_mrseql,MrSEQLClassifier,0.5125
Moving_RareTime_Harmonic,global_mean,mrseql,MrSEQLClassifier,0.5315
Moving_RareTime_Harmonic,global_mean,GS,MrSEQLClassifier,0.5025
Moving_RareTime_Harmonic,global_mean,IG,MrSEQLClassifier,0.5035000000000001
Moving_RareTime_Harmonic,global_mean,random2020,MrSEQLClassifier,0.5585
Moving_RareTime_Harmonic,local_mean,lime_mrseql,MrSEQLClassifier,0.5325
Moving_RareTime_Harmonic,local_mean,mrseql,MrSEQLClassifier,0.5335000000000001
Moving_RareTime_Harmonic,local_mean,GS,MrSEQLClassifier,0.5045
Moving_RareTime_Harmonic,local_mean,IG,MrSEQLClassifier,0.5425
Moving_RareTime_Harmonic,local_mean,random2020,MrSEQLClassifier,0.5445
