dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Moving_RareTime_PseudoPeriodic,global_mean,lime_mrseql,rocket,0.579
Moving_RareTime_PseudoPeriodic,global_mean,mrseql,rocket,0.61
Moving_RareTime_PseudoPeriodic,global_mean,GS,rocket,0.529
Moving_RareTime_PseudoPeriodic,global_mean,IG,rocket,0.515
Moving_RareTime_PseudoPeriodic,global_mean,random2020,rocket,0.5509999999999999
Moving_RareTime_PseudoPeriodic,local_mean,lime_mrseql,rocket,0.613
Moving_RareTime_PseudoPeriodic,local_mean,mrseql,rocket,0.609
Moving_RareTime_PseudoPeriodic,local_mean,GS,rocket,0.532
Moving_RareTime_PseudoPeriodic,local_mean,IG,rocket,0.509
Moving_RareTime_PseudoPeriodic,local_mean,random2020,rocket,0.5899999999999999
Moving_RareTime_PseudoPeriodic,global_mean,lime_mrseql,resnet,0.7765
Moving_RareTime_PseudoPeriodic,global_mean,mrseql,resnet,0.7905
Moving_RareTime_PseudoPeriodic,global_mean,GS,resnet,0.48450000000000004
Moving_RareTime_PseudoPeriodic,global_mean,IG,resnet,0.4895
Moving_RareTime_PseudoPeriodic,global_mean,random2020,resnet,0.7635
Moving_RareTime_PseudoPeriodic,local_mean,lime_mrseql,resnet,0.7755000000000001
Moving_RareTime_PseudoPeriodic,local_mean,mrseql,resnet,0.7905
Moving_RareTime_PseudoPeriodic,local_mean,GS,resnet,0.5065
Moving_RareTime_PseudoPeriodic,local_mean,IG,resnet,0.49549999999999994
Moving_RareTime_PseudoPeriodic,local_mean,random2020,resnet,0.7645000000000001
Moving_RareTime_PseudoPeriodic,global_mean,lime_mrseql,knn,0.6245
Moving_RareTime_PseudoPeriodic,global_mean,mrseql,knn,0.5785
Moving_RareTime_PseudoPeriodic,global_mean,GS,knn,0.5075
Moving_RareTime_PseudoPeriodic,global_mean,IG,knn,0.4985
Moving_RareTime_PseudoPeriodic,global_mean,random2020,knn,0.6194999999999999
Moving_RareTime_PseudoPeriodic,local_mean,lime_mrseql,knn,0.6264999999999998
Moving_RareTime_PseudoPeriodic,local_mean,mrseql,knn,0.5935000000000001
Moving_RareTime_PseudoPeriodic,local_mean,GS,knn,0.5005
Moving_RareTime_PseudoPeriodic,local_mean,IG,knn,0.5285
Moving_RareTime_PseudoPeriodic,local_mean,random2020,knn,0.6054999999999999
Moving_RareTime_PseudoPeriodic,global_mean,lime_mrseql,MrSEQLClassifier,0.4695
Moving_RareTime_PseudoPeriodic,global_mean,mrseql,MrSEQLClassifier,0.46549999999999997
Moving_RareTime_PseudoPeriodic,global_mean,GS,MrSEQLClassifier,0.4905
Moving_RareTime_PseudoPeriodic,global_mean,IG,MrSEQLClassifier,0.4815
Moving_RareTime_PseudoPeriodic,global_mean,random2020,MrSEQLClassifier,0.4765
Moving_RareTime_PseudoPeriodic,local_mean,lime_mrseql,MrSEQLClassifier,0.4695
Moving_RareTime_PseudoPeriodic,local_mean,mrseql,MrSEQLClassifier,0.44849999999999995
Moving_RareTime_PseudoPeriodic,local_mean,GS,MrSEQLClassifier,0.5085
Moving_RareTime_PseudoPeriodic,local_mean,IG,MrSEQLClassifier,0.4905
Moving_RareTime_PseudoPeriodic,local_mean,random2020,MrSEQLClassifier,0.5035
