dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Plane,global_mean,lime_mrseql,rocket,0.3438095238095238
Plane,global_mean,mrseql,rocket,0.41333333333333333
Plane,global_mean,GS,rocket,0.2933333333333334
Plane,global_mean,IG,rocket,0.2704761904761905
Plane,global_mean,random2020,rocket,0.3285714285714286
Plane,local_mean,lime_mrseql,rocket,0.5104761904761905
Plane,local_mean,mrseql,rocket,0.543809523809524
Plane,local_mean,GS,rocket,0.5742857142857142
Plane,local_mean,IG,rocket,0.6047619047619048
Plane,local_mean,random2020,rocket,0.5542857142857144
Plane,global_mean,lime_mrseql,resnet,0.27904761904761904
Plane,global_mean,mrseql,resnet,0.3247619047619048
Plane,global_mean,GS,resnet,0.2257142857142857
Plane,global_mean,IG,resnet,0.23142857142857143
Plane,global_mean,random2020,resnet,0.37428571428571433
Plane,local_mean,lime_mrseql,resnet,0.3561904761904762
Plane,local_mean,mrseql,resnet,0.37047619047619057
Plane,local_mean,GS,resnet,0.43809523809523815
Plane,local_mean,IG,resnet,0.440952380952381
Plane,local_mean,random2020,resnet,0.5257142857142857
Plane,global_mean,lime_mrseql,knn,0.45666666666666667
Plane,global_mean,mrseql,knn,0.5309523809523811
Plane,global_mean,GS,knn,0.5966666666666668
Plane,global_mean,IG,knn,0.5852380952380953
Plane,global_mean,random2020,knn,0.8833333333333333
Plane,local_mean,lime_mrseql,knn,0.4709523809523809
Plane,local_mean,mrseql,knn,0.48904761904761906
Plane,local_mean,GS,knn,0.55
Plane,local_mean,IG,knn,0.5623809523809524
Plane,local_mean,random2020,knn,0.6661904761904762
Plane,global_mean,lime_mrseql,MrSEQLClassifier,0.4038095238095238
Plane,global_mean,mrseql,MrSEQLClassifier,0.4485714285714287
Plane,global_mean,GS,MrSEQLClassifier,0.380952380952381
Plane,global_mean,IG,MrSEQLClassifier,0.4038095238095239
Plane,global_mean,random2020,MrSEQLClassifier,0.6523809523809525
Plane,local_mean,lime_mrseql,MrSEQLClassifier,0.4933333333333334
Plane,local_mean,mrseql,MrSEQLClassifier,0.4876190476190477
Plane,local_mean,GS,MrSEQLClassifier,0.5857142857142857
Plane,local_mean,IG,MrSEQLClassifier,0.5952380952380952
Plane,local_mean,random2020,MrSEQLClassifier,0.6799999999999999
