dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
PostionalFeature_Harmonic,global_mean,lime_mrseql,rocket,0.814
PostionalFeature_Harmonic,global_mean,mrseql,rocket,0.8240000000000001
PostionalFeature_Harmonic,global_mean,GS,rocket,0.642
PostionalFeature_Harmonic,global_mean,IG,rocket,0.6360000000000001
PostionalFeature_Harmonic,global_mean,random2020,rocket,0.9440000000000001
PostionalFeature_Harmonic,local_mean,lime_mrseql,rocket,0.865
PostionalFeature_Harmonic,local_mean,mrseql,rocket,0.7460000000000001
PostionalFeature_Harmonic,local_mean,GS,rocket,0.694
PostionalFeature_Harmonic,local_mean,IG,rocket,0.687
PostionalFeature_Harmonic,local_mean,random2020,rocket,0.947
PostionalFeature_Harmonic,global_mean,lime_mrseql,resnet,0.7435
PostionalFeature_Harmonic,global_mean,mrseql,resnet,0.7585
PostionalFeature_Harmonic,global_mean,GS,resnet,0.5205
PostionalFeature_Harmonic,global_mean,IG,resnet,0.5125
PostionalFeature_Harmonic,global_mean,random2020,resnet,0.9195
PostionalFeature_Harmonic,local_mean,lime_mrseql,resnet,0.7575
PostionalFeature_Harmonic,local_mean,mrseql,resnet,0.7625
PostionalFeature_Harmonic,local_mean,GS,resnet,0.5305
PostionalFeature_Harmonic,local_mean,IG,resnet,0.5225
PostionalFeature_Harmonic,local_mean,random2020,resnet,0.9295
PostionalFeature_Harmonic,global_mean,lime_mrseql,knn,0.8250000000000002
PostionalFeature_Harmonic,global_mean,mrseql,knn,0.782
PostionalFeature_Harmonic,global_mean,GS,knn,0.5880000000000001
PostionalFeature_Harmonic,global_mean,IG,knn,0.617
PostionalFeature_Harmonic,global_mean,random2020,knn,0.94
PostionalFeature_Harmonic,local_mean,lime_mrseql,knn,0.8650000000000001
PostionalFeature_Harmonic,local_mean,mrseql,knn,0.698
PostionalFeature_Harmonic,local_mean,GS,knn,0.679
PostionalFeature_Harmonic,local_mean,IG,knn,0.681
PostionalFeature_Harmonic,local_mean,random2020,knn,0.938
PostionalFeature_Harmonic,global_mean,lime_mrseql,MrSEQLClassifier,0.4775
PostionalFeature_Harmonic,global_mean,mrseql,MrSEQLClassifier,0.5585
PostionalFeature_Harmonic,global_mean,GS,MrSEQLClassifier,0.4465
PostionalFeature_Harmonic,global_mean,IG,MrSEQLClassifier,0.44049999999999995
PostionalFeature_Harmonic,global_mean,random2020,MrSEQLClassifier,0.5925000000000001
PostionalFeature_Harmonic,local_mean,lime_mrseql,MrSEQLClassifier,0.5445
PostionalFeature_Harmonic,local_mean,mrseql,MrSEQLClassifier,0.5875000000000001
PostionalFeature_Harmonic,local_mean,GS,MrSEQLClassifier,0.5175000000000001
PostionalFeature_Harmonic,local_mean,IG,MrSEQLClassifier,0.4905
PostionalFeature_Harmonic,local_mean,random2020,MrSEQLClassifier,0.6345000000000001
