dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,0.8094999999999999
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,0.8855000000000001
PostionalFeature_PseudoPeriodic,global_mean,GS,rocket,0.6245
PostionalFeature_PseudoPeriodic,global_mean,IG,rocket,0.6194999999999999
PostionalFeature_PseudoPeriodic,global_mean,random2020,rocket,0.9285
PostionalFeature_PseudoPeriodic,local_mean,lime_mrseql,rocket,0.8245
PostionalFeature_PseudoPeriodic,local_mean,mrseql,rocket,0.8375000000000001
PostionalFeature_PseudoPeriodic,local_mean,GS,rocket,0.6275
PostionalFeature_PseudoPeriodic,local_mean,IG,rocket,0.6244999999999999
PostionalFeature_PseudoPeriodic,local_mean,random2020,rocket,0.9255
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,resnet,0.7675000000000001
PostionalFeature_PseudoPeriodic,global_mean,mrseql,resnet,0.7305
PostionalFeature_PseudoPeriodic,global_mean,GS,resnet,0.5425
PostionalFeature_PseudoPeriodic,global_mean,IG,resnet,0.5415
PostionalFeature_PseudoPeriodic,global_mean,random2020,resnet,0.8915
PostionalFeature_PseudoPeriodic,local_mean,lime_mrseql,resnet,0.7695
PostionalFeature_PseudoPeriodic,local_mean,mrseql,resnet,0.7194999999999999
PostionalFeature_PseudoPeriodic,local_mean,GS,resnet,0.5435
PostionalFeature_PseudoPeriodic,local_mean,IG,resnet,0.5375
PostionalFeature_PseudoPeriodic,local_mean,random2020,resnet,0.9015000000000001
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,knn,0.8154999999999999
PostionalFeature_PseudoPeriodic,global_mean,mrseql,knn,0.8135
PostionalFeature_PseudoPeriodic,global_mean,GS,knn,0.6085
PostionalFeature_PseudoPeriodic,global_mean,IG,knn,0.6014999999999999
PostionalFeature_PseudoPeriodic,global_mean,random2020,knn,0.9325
PostionalFeature_PseudoPeriodic,local_mean,lime_mrseql,knn,0.8295000000000001
PostionalFeature_PseudoPeriodic,local_mean,mrseql,knn,0.8205
PostionalFeature_PseudoPeriodic,local_mean,GS,knn,0.6285000000000001
PostionalFeature_PseudoPeriodic,local_mean,IG,knn,0.6264999999999998
PostionalFeature_PseudoPeriodic,local_mean,random2020,knn,0.9345
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,MrSEQLClassifier,0.5185
PostionalFeature_PseudoPeriodic,global_mean,mrseql,MrSEQLClassifier,0.5554999999999999
PostionalFeature_PseudoPeriodic,global_mean,GS,MrSEQLClassifier,0.5305
PostionalFeature_PseudoPeriodic,global_mean,IG,MrSEQLClassifier,0.5305
PostionalFeature_PseudoPeriodic,global_mean,random2020,MrSEQLClassifier,0.5785
PostionalFeature_PseudoPeriodic,local_mean,lime_mrseql,MrSEQLClassifier,0.5205
PostionalFeature_PseudoPeriodic,local_mean,mrseql,MrSEQLClassifier,0.5505000000000001
PostionalFeature_PseudoPeriodic,local_mean,GS,MrSEQLClassifier,0.5265
PostionalFeature_PseudoPeriodic,local_mean,IG,MrSEQLClassifier,0.5365
PostionalFeature_PseudoPeriodic,local_mean,random2020,MrSEQLClassifier,0.6075
