dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
PowerCons,global_mean,lime_mrseql,rocket,0.5783333333333334
PowerCons,global_mean,mrseql,rocket,0.6644444444444444
PowerCons,global_mean,GS,rocket,0.6416666666666666
PowerCons,global_mean,IG,rocket,0.6327777777777778
PowerCons,global_mean,random2020,rocket,0.6916666666666667
PowerCons,local_mean,lime_mrseql,rocket,0.6483333333333333
PowerCons,local_mean,mrseql,rocket,0.7038888888888889
PowerCons,local_mean,GS,rocket,0.68
PowerCons,local_mean,IG,rocket,0.6900000000000001
PowerCons,local_mean,random2020,rocket,0.7122222222222222
PowerCons,global_mean,lime_mrseql,resnet,0.7188888888888889
PowerCons,global_mean,mrseql,resnet,0.7705555555555557
PowerCons,global_mean,GS,resnet,0.565
PowerCons,global_mean,IG,resnet,0.5644444444444445
PowerCons,global_mean,random2020,resnet,0.7250000000000001
PowerCons,local_mean,lime_mrseql,resnet,0.7583333333333335
PowerCons,local_mean,mrseql,resnet,0.8077777777777779
PowerCons,local_mean,GS,resnet,0.5844444444444445
PowerCons,local_mean,IG,resnet,0.5855555555555556
PowerCons,local_mean,random2020,resnet,0.7949999999999999
PowerCons,global_mean,lime_mrseql,knn,0.7722222222222224
PowerCons,global_mean,mrseql,knn,0.8455555555555555
PowerCons,global_mean,GS,knn,0.5822222222222222
PowerCons,global_mean,IG,knn,0.5766666666666667
PowerCons,global_mean,random2020,knn,0.81
PowerCons,local_mean,lime_mrseql,knn,0.8144444444444444
PowerCons,local_mean,mrseql,knn,0.8438888888888888
PowerCons,local_mean,GS,knn,0.7538888888888889
PowerCons,local_mean,IG,knn,0.7611111111111111
PowerCons,local_mean,random2020,knn,0.9061111111111111
PowerCons,global_mean,lime_mrseql,MrSEQLClassifier,0.528888888888889
PowerCons,global_mean,mrseql,MrSEQLClassifier,0.5383333333333333
PowerCons,global_mean,GS,MrSEQLClassifier,0.5927777777777778
PowerCons,global_mean,IG,MrSEQLClassifier,0.595
PowerCons,global_mean,random2020,MrSEQLClassifier,0.5305555555555556
PowerCons,local_mean,lime_mrseql,MrSEQLClassifier,0.5383333333333333
PowerCons,local_mean,mrseql,MrSEQLClassifier,0.5616666666666668
PowerCons,local_mean,GS,MrSEQLClassifier,0.6222222222222222
PowerCons,local_mean,IG,MrSEQLClassifier,0.6266666666666667
PowerCons,local_mean,random2020,MrSEQLClassifier,0.5438888888888889
