dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
RareTime_CAR,global_mean,lime_mrseql,rocket,0.5285
RareTime_CAR,global_mean,mrseql,rocket,0.8065
RareTime_CAR,global_mean,GS,rocket,0.5205
RareTime_CAR,global_mean,IG,rocket,0.5345
RareTime_CAR,global_mean,random2020,rocket,0.9285
RareTime_CAR,local_mean,lime_mrseql,rocket,0.6514999999999999
RareTime_CAR,local_mean,mrseql,rocket,0.7924999999999999
RareTime_CAR,local_mean,GS,rocket,0.6104999999999999
RareTime_CAR,local_mean,IG,rocket,0.6094999999999999
RareTime_CAR,local_mean,random2020,rocket,0.9344999999999999
RareTime_CAR,global_mean,lime_mrseql,resnet,0.49749999999999994
RareTime_CAR,global_mean,mrseql,resnet,0.7875000000000001
RareTime_CAR,global_mean,GS,resnet,0.4584999999999999
RareTime_CAR,global_mean,IG,resnet,0.4584999999999999
RareTime_CAR,global_mean,random2020,resnet,0.6875000000000001
RareTime_CAR,local_mean,lime_mrseql,resnet,0.5085
RareTime_CAR,local_mean,mrseql,resnet,0.7905000000000002
RareTime_CAR,local_mean,GS,resnet,0.4584999999999999
RareTime_CAR,local_mean,IG,resnet,0.4584999999999999
RareTime_CAR,local_mean,random2020,resnet,0.7145000000000001
RareTime_CAR,global_mean,lime_mrseql,knn,0.6034999999999999
RareTime_CAR,global_mean,mrseql,knn,0.8374999999999999
RareTime_CAR,global_mean,GS,knn,0.5565
RareTime_CAR,global_mean,IG,knn,0.5925
RareTime_CAR,global_mean,random2020,knn,0.9294999999999999
RareTime_CAR,local_mean,lime_mrseql,knn,0.6554999999999999
RareTime_CAR,local_mean,mrseql,knn,0.7935
RareTime_CAR,local_mean,GS,knn,0.6124999999999998
RareTime_CAR,local_mean,IG,knn,0.6114999999999998
RareTime_CAR,local_mean,random2020,knn,0.9415000000000001
RareTime_CAR,global_mean,lime_mrseql,MrSEQLClassifier,0.5345000000000001
RareTime_CAR,global_mean,mrseql,MrSEQLClassifier,0.7155
RareTime_CAR,global_mean,GS,MrSEQLClassifier,0.47150000000000003
RareTime_CAR,global_mean,IG,MrSEQLClassifier,0.4835
RareTime_CAR,global_mean,random2020,MrSEQLClassifier,0.8664999999999998
RareTime_CAR,local_mean,lime_mrseql,MrSEQLClassifier,0.5935
RareTime_CAR,local_mean,mrseql,MrSEQLClassifier,0.7765
RareTime_CAR,local_mean,GS,MrSEQLClassifier,0.5914999999999999
RareTime_CAR,local_mean,IG,MrSEQLClassifier,0.5894999999999999
RareTime_CAR,local_mean,random2020,MrSEQLClassifier,0.9135
