dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
RareTime_NARMA,global_mean,lime_mrseql,rocket,0.5495000000000001
RareTime_NARMA,global_mean,mrseql,rocket,0.7865
RareTime_NARMA,global_mean,GS,rocket,0.5945
RareTime_NARMA,global_mean,IG,rocket,0.6025
RareTime_NARMA,global_mean,random2020,rocket,0.9244999999999999
RareTime_NARMA,local_mean,lime_mrseql,rocket,0.6554999999999999
RareTime_NARMA,local_mean,mrseql,rocket,0.8534999999999999
RareTime_NARMA,local_mean,GS,rocket,0.6375
RareTime_NARMA,local_mean,IG,rocket,0.6315
RareTime_NARMA,local_mean,random2020,rocket,0.9275
RareTime_NARMA,global_mean,lime_mrseql,resnet,0.6045
RareTime_NARMA,global_mean,mrseql,resnet,0.7725
RareTime_NARMA,global_mean,GS,resnet,0.4724999999999999
RareTime_NARMA,global_mean,IG,resnet,0.4465
RareTime_NARMA,global_mean,random2020,resnet,0.8975
RareTime_NARMA,local_mean,lime_mrseql,resnet,0.6575
RareTime_NARMA,local_mean,mrseql,resnet,0.8544999999999999
RareTime_NARMA,local_mean,GS,resnet,0.5215000000000001
RareTime_NARMA,local_mean,IG,resnet,0.47150000000000003
RareTime_NARMA,local_mean,random2020,resnet,0.9265
RareTime_NARMA,global_mean,lime_mrseql,knn,0.6375
RareTime_NARMA,global_mean,mrseql,knn,0.8615
RareTime_NARMA,global_mean,GS,knn,0.6084999999999999
RareTime_NARMA,global_mean,IG,knn,0.6165
RareTime_NARMA,global_mean,random2020,knn,0.9415000000000001
RareTime_NARMA,local_mean,lime_mrseql,knn,0.6614999999999999
RareTime_NARMA,local_mean,mrseql,knn,0.8514999999999999
RareTime_NARMA,local_mean,GS,knn,0.6264999999999998
RareTime_NARMA,local_mean,IG,knn,0.6224999999999998
RareTime_NARMA,local_mean,random2020,knn,0.9045
RareTime_NARMA,global_mean,lime_mrseql,MrSEQLClassifier,0.6194999999999999
RareTime_NARMA,global_mean,mrseql,MrSEQLClassifier,0.7745
RareTime_NARMA,global_mean,GS,MrSEQLClassifier,0.5754999999999999
RareTime_NARMA,global_mean,IG,MrSEQLClassifier,0.5754999999999999
RareTime_NARMA,global_mean,random2020,MrSEQLClassifier,0.8544999999999999
RareTime_NARMA,local_mean,lime_mrseql,MrSEQLClassifier,0.6445
RareTime_NARMA,local_mean,mrseql,MrSEQLClassifier,0.8284999999999999
RareTime_NARMA,local_mean,GS,MrSEQLClassifier,0.5944999999999999
RareTime_NARMA,local_mean,IG,MrSEQLClassifier,0.5904999999999999
RareTime_NARMA,local_mean,random2020,MrSEQLClassifier,0.8355
