dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
SmallMiddle_CAR,global_mean,lime_mrseql,rocket,0.8294999999999999
SmallMiddle_CAR,global_mean,mrseql,rocket,0.7975000000000001
SmallMiddle_CAR,global_mean,GS,rocket,0.6625
SmallMiddle_CAR,global_mean,IG,rocket,0.6875
SmallMiddle_CAR,global_mean,random2020,rocket,0.9624999999999999
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,0.8374999999999999
SmallMiddle_CAR,local_mean,mrseql,rocket,0.6975
SmallMiddle_CAR,local_mean,GS,rocket,0.6724999999999999
SmallMiddle_CAR,local_mean,IG,rocket,0.6724999999999999
SmallMiddle_CAR,local_mean,random2020,rocket,0.9534999999999999
SmallMiddle_CAR,global_mean,lime_mrseql,resnet,0.5515
SmallMiddle_CAR,global_mean,mrseql,resnet,0.7955000000000001
SmallMiddle_CAR,global_mean,GS,resnet,0.5115000000000001
SmallMiddle_CAR,global_mean,IG,resnet,0.5115000000000001
SmallMiddle_CAR,global_mean,random2020,resnet,0.7555000000000001
SmallMiddle_CAR,local_mean,lime_mrseql,resnet,0.5735000000000001
SmallMiddle_CAR,local_mean,mrseql,resnet,0.7935000000000001
SmallMiddle_CAR,local_mean,GS,resnet,0.5175
SmallMiddle_CAR,local_mean,IG,resnet,0.5195
SmallMiddle_CAR,local_mean,random2020,resnet,0.7615000000000001
SmallMiddle_CAR,global_mean,lime_mrseql,knn,0.8644999999999999
SmallMiddle_CAR,global_mean,mrseql,knn,0.7395
SmallMiddle_CAR,global_mean,GS,knn,0.6895
SmallMiddle_CAR,global_mean,IG,knn,0.6935
SmallMiddle_CAR,global_mean,random2020,knn,0.9735
SmallMiddle_CAR,local_mean,lime_mrseql,knn,0.8685
SmallMiddle_CAR,local_mean,mrseql,knn,0.6864999999999999
SmallMiddle_CAR,local_mean,GS,knn,0.6724999999999999
SmallMiddle_CAR,local_mean,IG,knn,0.6735
SmallMiddle_CAR,local_mean,random2020,knn,0.9625
SmallMiddle_CAR,global_mean,lime_mrseql,MrSEQLClassifier,0.5345
SmallMiddle_CAR,global_mean,mrseql,MrSEQLClassifier,0.7375
SmallMiddle_CAR,global_mean,GS,MrSEQLClassifier,0.5325
SmallMiddle_CAR,global_mean,IG,MrSEQLClassifier,0.5385
SmallMiddle_CAR,global_mean,random2020,MrSEQLClassifier,0.7585000000000001
SmallMiddle_CAR,local_mean,lime_mrseql,MrSEQLClassifier,0.5855
SmallMiddle_CAR,local_mean,mrseql,MrSEQLClassifier,0.7745
SmallMiddle_CAR,local_mean,GS,MrSEQLClassifier,0.6225
SmallMiddle_CAR,local_mean,IG,MrSEQLClassifier,0.6144999999999998
SmallMiddle_CAR,local_mean,random2020,MrSEQLClassifier,0.8405
