dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
SonyAIBORobotSurface1,global_mean,lime_mrseql,rocket,0.711730449251248
SonyAIBORobotSurface1,global_mean,mrseql,rocket,0.8195507487520799
SonyAIBORobotSurface1,global_mean,GS,rocket,0.6065723793677205
SonyAIBORobotSurface1,global_mean,IG,rocket,0.6155574043261232
SonyAIBORobotSurface1,global_mean,random2020,rocket,0.6338602329450918
SonyAIBORobotSurface1,local_mean,lime_mrseql,rocket,0.71522462562396
SonyAIBORobotSurface1,local_mean,mrseql,rocket,0.6702995008319467
SonyAIBORobotSurface1,local_mean,GS,rocket,0.7067387687188019
SonyAIBORobotSurface1,local_mean,IG,rocket,0.7158901830282862
SonyAIBORobotSurface1,local_mean,random2020,rocket,0.8025790349417637
SonyAIBORobotSurface1,global_mean,lime_mrseql,resnet,0.6700499168053244
SonyAIBORobotSurface1,global_mean,mrseql,resnet,0.6883527454242929
SonyAIBORobotSurface1,global_mean,GS,resnet,0.5307820299500832
SonyAIBORobotSurface1,global_mean,IG,resnet,0.5247920133111481
SonyAIBORobotSurface1,global_mean,random2020,resnet,0.743594009983361
SonyAIBORobotSurface1,local_mean,lime_mrseql,resnet,0.634442595673877
SonyAIBORobotSurface1,local_mean,mrseql,resnet,0.5863560732113144
SonyAIBORobotSurface1,local_mean,GS,resnet,0.6342762063227954
SonyAIBORobotSurface1,local_mean,IG,resnet,0.6346089850249584
SonyAIBORobotSurface1,local_mean,random2020,resnet,0.7234608985024958
SonyAIBORobotSurface1,global_mean,lime_mrseql,knn,0.6227953410981697
SonyAIBORobotSurface1,global_mean,mrseql,knn,0.681198003327787
SonyAIBORobotSurface1,global_mean,GS,knn,0.5597337770382697
SonyAIBORobotSurface1,global_mean,IG,knn,0.5564059900166389
SonyAIBORobotSurface1,global_mean,random2020,knn,0.6678868552412646
SonyAIBORobotSurface1,local_mean,lime_mrseql,knn,0.5257903494176372
SonyAIBORobotSurface1,local_mean,mrseql,knn,0.4928452579034942
SonyAIBORobotSurface1,local_mean,GS,knn,0.5084858569051581
SonyAIBORobotSurface1,local_mean,IG,knn,0.5096505823627288
SonyAIBORobotSurface1,local_mean,random2020,knn,0.5346089850249585
SonyAIBORobotSurface1,global_mean,lime_mrseql,MrSEQLClassifier,0.45515806988352747
SonyAIBORobotSurface1,global_mean,mrseql,MrSEQLClassifier,0.48527454242928453
SonyAIBORobotSurface1,global_mean,GS,MrSEQLClassifier,0.5080698835274543
SonyAIBORobotSurface1,global_mean,IG,MrSEQLClassifier,0.5084026622296173
SonyAIBORobotSurface1,global_mean,random2020,MrSEQLClassifier,0.5809484193011647
SonyAIBORobotSurface1,local_mean,lime_mrseql,MrSEQLClassifier,0.4869384359400999
SonyAIBORobotSurface1,local_mean,mrseql,MrSEQLClassifier,0.4601497504159734
SonyAIBORobotSurface1,local_mean,GS,MrSEQLClassifier,0.5519966722129783
SonyAIBORobotSurface1,local_mean,IG,MrSEQLClassifier,0.5538269550748752
SonyAIBORobotSurface1,local_mean,random2020,MrSEQLClassifier,0.560981697171381
