dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Strawberry,global_mean,lime_mrseql,rocket,0.641216216216216
Strawberry,global_mean,mrseql,rocket,0.6631081081081082
Strawberry,global_mean,GS,rocket,0.6455405405405406
Strawberry,global_mean,IG,rocket,0.6460810810810812
Strawberry,global_mean,random2020,rocket,0.6328378378378379
Strawberry,local_mean,lime_mrseql,rocket,0.7422972972972973
Strawberry,local_mean,mrseql,rocket,0.7647297297297297
Strawberry,local_mean,GS,rocket,0.8147297297297299
Strawberry,local_mean,IG,rocket,0.8128378378378379
Strawberry,local_mean,random2020,rocket,0.7577027027027028
Strawberry,global_mean,lime_mrseql,resnet,0.5528378378378378
Strawberry,global_mean,mrseql,resnet,0.6587837837837838
Strawberry,global_mean,GS,resnet,0.5166216216216217
Strawberry,global_mean,IG,resnet,0.5282432432432432
Strawberry,global_mean,random2020,resnet,0.6582432432432432
Strawberry,local_mean,lime_mrseql,resnet,0.657972972972973
Strawberry,local_mean,mrseql,resnet,0.6912162162162163
Strawberry,local_mean,GS,resnet,0.6744594594594594
Strawberry,local_mean,IG,resnet,0.6604054054054054
Strawberry,local_mean,random2020,resnet,0.7731081081081081
Strawberry,global_mean,lime_mrseql,knn,0.6421621621621623
Strawberry,global_mean,mrseql,knn,0.7370270270270272
Strawberry,global_mean,GS,knn,0.6454054054054054
Strawberry,global_mean,IG,knn,0.6356756756756757
Strawberry,global_mean,random2020,knn,0.7002702702702703
Strawberry,local_mean,lime_mrseql,knn,0.72
Strawberry,local_mean,mrseql,knn,0.7548648648648649
Strawberry,local_mean,GS,knn,0.7016216216216218
Strawberry,local_mean,IG,knn,0.7121621621621622
Strawberry,local_mean,random2020,knn,0.7386486486486487
Strawberry,global_mean,lime_mrseql,MrSEQLClassifier,0.6591891891891892
Strawberry,global_mean,mrseql,MrSEQLClassifier,0.6627027027027027
Strawberry,global_mean,GS,MrSEQLClassifier,0.6637837837837839
Strawberry,global_mean,IG,MrSEQLClassifier,0.662972972972973
Strawberry,global_mean,random2020,MrSEQLClassifier,0.66
Strawberry,local_mean,lime_mrseql,MrSEQLClassifier,0.7183783783783784
Strawberry,local_mean,mrseql,MrSEQLClassifier,0.7021621621621621
Strawberry,local_mean,GS,MrSEQLClassifier,0.8294594594594595
Strawberry,local_mean,IG,MrSEQLClassifier,0.8381081081081081
Strawberry,local_mean,random2020,MrSEQLClassifier,0.8332432432432433
