dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Trace,global_mean,lime_mrseql,rocket,0.3125
Trace,global_mean,mrseql,rocket,0.3324999999999999
Trace,global_mean,GS,rocket,0.3285
Trace,global_mean,IG,rocket,0.3195
Trace,global_mean,random2020,rocket,0.31150000000000005
Trace,local_mean,lime_mrseql,rocket,0.32500000000000007
Trace,local_mean,mrseql,rocket,0.372
Trace,local_mean,GS,rocket,0.31700000000000006
Trace,local_mean,IG,rocket,0.31600000000000006
Trace,local_mean,random2020,rocket,0.31699999999999995
Trace,global_mean,lime_mrseql,resnet,0.31700000000000006
Trace,global_mean,mrseql,resnet,0.22
Trace,global_mean,GS,resnet,0.224
Trace,global_mean,IG,resnet,0.219
Trace,global_mean,random2020,resnet,0.49900000000000005
Trace,local_mean,lime_mrseql,resnet,0.34500000000000003
Trace,local_mean,mrseql,resnet,0.219
Trace,local_mean,GS,resnet,0.231
Trace,local_mean,IG,resnet,0.228
Trace,local_mean,random2020,resnet,0.4600000000000001
Trace,global_mean,lime_mrseql,knn,0.40549999999999997
Trace,global_mean,mrseql,knn,0.4725
Trace,global_mean,GS,knn,0.5285
Trace,global_mean,IG,knn,0.6255
Trace,global_mean,random2020,knn,0.7155
Trace,local_mean,lime_mrseql,knn,0.40950000000000003
Trace,local_mean,mrseql,knn,0.4645
Trace,local_mean,GS,knn,0.4615000000000001
Trace,local_mean,IG,knn,0.47750000000000004
Trace,local_mean,random2020,knn,0.6265000000000001
Trace,global_mean,lime_mrseql,MrSEQLClassifier,0.30650000000000005
Trace,global_mean,mrseql,MrSEQLClassifier,0.4405
Trace,global_mean,GS,MrSEQLClassifier,0.4145000000000001
Trace,global_mean,IG,MrSEQLClassifier,0.40449999999999997
Trace,global_mean,random2020,MrSEQLClassifier,0.4605000000000001
Trace,local_mean,lime_mrseql,MrSEQLClassifier,0.30450000000000005
Trace,local_mean,mrseql,MrSEQLClassifier,0.4285
Trace,local_mean,GS,MrSEQLClassifier,0.38050000000000006
Trace,local_mean,IG,MrSEQLClassifier,0.37950000000000006
Trace,local_mean,random2020,MrSEQLClassifier,0.6125
