dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
TwoLeadECG,global_mean,lime_mrseql,rocket,0.5300263388937665
TwoLeadECG,global_mean,mrseql,rocket,0.5264266900790167
TwoLeadECG,global_mean,GS,rocket,0.5274802458296751
TwoLeadECG,global_mean,IG,rocket,0.5349429323968394
TwoLeadECG,global_mean,random2020,rocket,0.5633011413520632
TwoLeadECG,local_mean,lime_mrseql,rocket,0.7397278314310799
TwoLeadECG,local_mean,mrseql,rocket,0.7272607550482879
TwoLeadECG,local_mean,GS,rocket,0.6754609306409132
TwoLeadECG,local_mean,IG,rocket,0.6748463564530289
TwoLeadECG,local_mean,random2020,rocket,0.8230465320456541
TwoLeadECG,global_mean,lime_mrseql,resnet,0.5507462686567164
TwoLeadECG,global_mean,mrseql,resnet,0.6093064091308165
TwoLeadECG,global_mean,GS,resnet,0.5584723441615452
TwoLeadECG,global_mean,IG,resnet,0.5519754170324846
TwoLeadECG,global_mean,random2020,resnet,0.5692712906057946
TwoLeadECG,local_mean,lime_mrseql,resnet,0.5158911325724319
TwoLeadECG,local_mean,mrseql,resnet,0.5883230904302019
TwoLeadECG,local_mean,GS,resnet,0.5742756804214223
TwoLeadECG,local_mean,IG,resnet,0.581387181738367
TwoLeadECG,local_mean,random2020,resnet,0.7163301141352063
TwoLeadECG,global_mean,lime_mrseql,knn,0.663784021071115
TwoLeadECG,global_mean,mrseql,knn,0.6163740122914838
TwoLeadECG,global_mean,GS,knn,0.575548726953468
TwoLeadECG,global_mean,IG,knn,0.6027655838454785
TwoLeadECG,global_mean,random2020,knn,0.6350746268656716
TwoLeadECG,local_mean,lime_mrseql,knn,0.5990342405618964
TwoLeadECG,local_mean,mrseql,knn,0.6006145741878841
TwoLeadECG,local_mean,GS,knn,0.5808604038630378
TwoLeadECG,local_mean,IG,knn,0.5887620719929763
TwoLeadECG,local_mean,random2020,knn,0.6016681299385426
TwoLeadECG,global_mean,lime_mrseql,MrSEQLClassifier,0.5255926251097454
TwoLeadECG,global_mean,mrseql,MrSEQLClassifier,0.525153643546971
TwoLeadECG,global_mean,GS,MrSEQLClassifier,0.5250658472344162
TwoLeadECG,global_mean,IG,MrSEQLClassifier,0.5250658472344162
TwoLeadECG,global_mean,random2020,MrSEQLClassifier,0.5599209833187005
TwoLeadECG,local_mean,lime_mrseql,MrSEQLClassifier,0.5571115013169448
TwoLeadECG,local_mean,mrseql,MrSEQLClassifier,0.5604477611940298
TwoLeadECG,local_mean,GS,MrSEQLClassifier,0.6896839332748026
TwoLeadECG,local_mean,IG,MrSEQLClassifier,0.700395083406497
TwoLeadECG,local_mean,random2020,MrSEQLClassifier,0.7229587357330992
