dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
TwoPatterns,global_mean,lime_mrseql,rocket,0.3990625
TwoPatterns,global_mean,mrseql,rocket,0.4906625
TwoPatterns,global_mean,GS,rocket,0.4763875000000001
TwoPatterns,global_mean,IG,rocket,0.4926125
TwoPatterns,global_mean,random2020,rocket,0.7397625
TwoPatterns,local_mean,lime_mrseql,rocket,0.40198750000000005
TwoPatterns,local_mean,mrseql,rocket,0.49751249999999997
TwoPatterns,local_mean,GS,rocket,0.4803375000000001
TwoPatterns,local_mean,IG,rocket,0.49561250000000007
TwoPatterns,local_mean,random2020,rocket,0.7465375000000001
TwoPatterns,global_mean,lime_mrseql,resnet,0.33120000000000005
TwoPatterns,global_mean,mrseql,resnet,0.32202500000000006
TwoPatterns,global_mean,GS,resnet,0.2601
TwoPatterns,global_mean,IG,resnet,0.24040000000000003
TwoPatterns,global_mean,random2020,resnet,0.7584750000000001
TwoPatterns,local_mean,lime_mrseql,resnet,0.33170000000000005
TwoPatterns,local_mean,mrseql,resnet,0.321825
TwoPatterns,local_mean,GS,resnet,0.2604
TwoPatterns,local_mean,IG,resnet,0.240175
TwoPatterns,local_mean,random2020,resnet,0.7589750000000001
TwoPatterns,global_mean,lime_mrseql,knn,0.390875
TwoPatterns,global_mean,mrseql,knn,0.441075
TwoPatterns,global_mean,GS,knn,0.431975
TwoPatterns,global_mean,IG,knn,0.43320000000000003
TwoPatterns,global_mean,random2020,knn,0.775025
TwoPatterns,local_mean,lime_mrseql,knn,0.39269999999999994
TwoPatterns,local_mean,mrseql,knn,0.4411
TwoPatterns,local_mean,GS,knn,0.433625
TwoPatterns,local_mean,IG,knn,0.43445000000000006
TwoPatterns,local_mean,random2020,knn,0.776125
TwoPatterns,global_mean,lime_mrseql,MrSEQLClassifier,0.331825
TwoPatterns,global_mean,mrseql,MrSEQLClassifier,0.3479749999999999
TwoPatterns,global_mean,GS,MrSEQLClassifier,0.32010000000000005
TwoPatterns,global_mean,IG,MrSEQLClassifier,0.31585
TwoPatterns,global_mean,random2020,MrSEQLClassifier,0.6783
TwoPatterns,local_mean,lime_mrseql,MrSEQLClassifier,0.316075
TwoPatterns,local_mean,mrseql,MrSEQLClassifier,0.35330000000000006
TwoPatterns,local_mean,GS,MrSEQLClassifier,0.310425
TwoPatterns,local_mean,IG,MrSEQLClassifier,0.3045
TwoPatterns,local_mean,random2020,MrSEQLClassifier,0.6773750000000001
