dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,0.29526800670016756
UWaveGestureLibraryZ,global_mean,mrseql,rocket,0.2995951982132886
UWaveGestureLibraryZ,global_mean,GS,rocket,0.21316303740926856
UWaveGestureLibraryZ,global_mean,IG,rocket,0.20903126744835288
UWaveGestureLibraryZ,global_mean,random2020,rocket,0.18971245114461197
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,0.35431323283082083
UWaveGestureLibraryZ,local_mean,mrseql,rocket,0.3347152428810721
UWaveGestureLibraryZ,local_mean,GS,rocket,0.2115996649916248
UWaveGestureLibraryZ,local_mean,IG,rocket,0.20707705192629813
UWaveGestureLibraryZ,local_mean,random2020,rocket,0.18929369067560023
UWaveGestureLibraryZ,global_mean,lime_mrseql,resnet,0.17159408151870467
UWaveGestureLibraryZ,global_mean,mrseql,resnet,0.1975572305974316
UWaveGestureLibraryZ,global_mean,GS,resnet,0.19004745951982133
UWaveGestureLibraryZ,global_mean,IG,resnet,0.1863065326633166
UWaveGestureLibraryZ,global_mean,random2020,resnet,0.25802624232272475
UWaveGestureLibraryZ,local_mean,lime_mrseql,resnet,0.22163595756560583
UWaveGestureLibraryZ,local_mean,mrseql,resnet,0.25086543830262426
UWaveGestureLibraryZ,local_mean,GS,resnet,0.20125628140703516
UWaveGestureLibraryZ,local_mean,IG,resnet,0.19810161920714686
UWaveGestureLibraryZ,local_mean,random2020,resnet,0.26568955890563933
UWaveGestureLibraryZ,global_mean,lime_mrseql,knn,0.3675879396984924
UWaveGestureLibraryZ,global_mean,mrseql,knn,0.4600502512562814
UWaveGestureLibraryZ,global_mean,GS,knn,0.479787828029034
UWaveGestureLibraryZ,global_mean,IG,knn,0.4898380792853155
UWaveGestureLibraryZ,global_mean,random2020,knn,0.6056951423785595
UWaveGestureLibraryZ,local_mean,lime_mrseql,knn,0.38456169737576773
UWaveGestureLibraryZ,local_mean,mrseql,knn,0.4483807928531547
UWaveGestureLibraryZ,local_mean,GS,knn,0.44218313791178115
UWaveGestureLibraryZ,local_mean,IG,knn,0.4498883305415968
UWaveGestureLibraryZ,local_mean,random2020,knn,0.5532384142936907
UWaveGestureLibraryZ,global_mean,lime_mrseql,MrSEQLClassifier,0.20442490228922391
UWaveGestureLibraryZ,global_mean,mrseql,MrSEQLClassifier,0.2365857063093244
UWaveGestureLibraryZ,global_mean,GS,MrSEQLClassifier,0.2658431044109436
UWaveGestureLibraryZ,global_mean,IG,MrSEQLClassifier,0.2694723618090452
UWaveGestureLibraryZ,global_mean,random2020,MrSEQLClassifier,0.3812255723059744
UWaveGestureLibraryZ,local_mean,lime_mrseql,MrSEQLClassifier,0.251856504745952
UWaveGestureLibraryZ,local_mean,mrseql,MrSEQLClassifier,0.2955750977107761
UWaveGestureLibraryZ,local_mean,GS,MrSEQLClassifier,0.28943327749860415
UWaveGestureLibraryZ,local_mean,IG,MrSEQLClassifier,0.2912479061976549
UWaveGestureLibraryZ,local_mean,random2020,MrSEQLClassifier,0.4136376326074819
