dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Wafer,global_mean,lime_mrseql,rocket,0.7626784555483453
Wafer,global_mean,mrseql,rocket,0.8242131732641143
Wafer,global_mean,GS,rocket,0.8285447761194031
Wafer,global_mean,IG,rocket,0.8585253082414017
Wafer,global_mean,random2020,rocket,0.8612021414665801
Wafer,local_mean,lime_mrseql,rocket,0.9154364049318624
Wafer,local_mean,mrseql,rocket,0.9068380921479557
Wafer,local_mean,GS,rocket,0.917074951330305
Wafer,local_mean,IG,rocket,0.9084117456197274
Wafer,local_mean,random2020,rocket,0.9056700194678781
Wafer,global_mean,lime_mrseql,resnet,0.8378974691758599
Wafer,global_mean,mrseql,resnet,0.8308079169370539
Wafer,global_mean,GS,resnet,0.8280986372485399
Wafer,global_mean,IG,resnet,0.8520927968851396
Wafer,global_mean,random2020,resnet,0.8520765736534718
Wafer,local_mean,lime_mrseql,resnet,0.8921155094094744
Wafer,local_mean,mrseql,resnet,0.8921155094094744
Wafer,local_mean,GS,resnet,0.8921155094094744
Wafer,local_mean,IG,resnet,0.8921155094094744
Wafer,local_mean,random2020,resnet,0.8921155094094744
Wafer,global_mean,lime_mrseql,knn,0.9082008436080468
Wafer,global_mean,mrseql,knn,0.951419532770928
Wafer,global_mean,GS,knn,0.9531391953277092
Wafer,global_mean,IG,knn,0.9550373134328359
Wafer,global_mean,random2020,knn,0.9817894224529528
Wafer,local_mean,lime_mrseql,knn,0.9343364698247891
Wafer,local_mean,mrseql,knn,0.948969824789098
Wafer,local_mean,GS,knn,0.9404039584685269
Wafer,local_mean,IG,knn,0.9457738481505515
Wafer,local_mean,random2020,knn,0.9625162232316679
Wafer,global_mean,lime_mrseql,MrSEQLClassifier,0.910634328358209
Wafer,global_mean,mrseql,MrSEQLClassifier,0.9024415963659962
Wafer,global_mean,GS,MrSEQLClassifier,0.9210334198572356
Wafer,global_mean,IG,MrSEQLClassifier,0.9159555483452305
Wafer,global_mean,random2020,MrSEQLClassifier,0.9012086307592473
Wafer,local_mean,lime_mrseql,MrSEQLClassifier,0.9077790395846854
Wafer,local_mean,mrseql,MrSEQLClassifier,0.9022144711226477
Wafer,local_mean,GS,MrSEQLClassifier,0.9217310188189489
Wafer,local_mean,IG,MrSEQLClassifier,0.9156473069435431
Wafer,local_mean,random2020,MrSEQLClassifier,0.9015979883192733
