dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
WormsTwoClass,global_mean,lime_mrseql,rocket,0.5766233766233766
WormsTwoClass,global_mean,mrseql,rocket,0.574025974025974
WormsTwoClass,global_mean,GS,rocket,0.5064935064935064
WormsTwoClass,global_mean,IG,rocket,0.5194805194805194
WormsTwoClass,global_mean,random2020,rocket,0.48051948051948046
WormsTwoClass,local_mean,lime_mrseql,rocket,0.6233766233766234
WormsTwoClass,local_mean,mrseql,rocket,0.6155844155844156
WormsTwoClass,local_mean,GS,rocket,0.5077922077922078
WormsTwoClass,local_mean,IG,rocket,0.5207792207792208
WormsTwoClass,local_mean,random2020,rocket,0.4844155844155843
WormsTwoClass,global_mean,lime_mrseql,resnet,0.6506493506493507
WormsTwoClass,global_mean,mrseql,resnet,0.6220779220779221
WormsTwoClass,global_mean,GS,resnet,0.5896103896103896
WormsTwoClass,global_mean,IG,resnet,0.5662337662337663
WormsTwoClass,global_mean,random2020,resnet,0.5558441558441558
WormsTwoClass,local_mean,lime_mrseql,resnet,0.6519480519480519
WormsTwoClass,local_mean,mrseql,resnet,0.625974025974026
WormsTwoClass,local_mean,GS,resnet,0.5844155844155844
WormsTwoClass,local_mean,IG,resnet,0.5688311688311689
WormsTwoClass,local_mean,random2020,resnet,0.5493506493506494
WormsTwoClass,global_mean,lime_mrseql,knn,0.577922077922078
WormsTwoClass,global_mean,mrseql,knn,0.57012987012987
WormsTwoClass,global_mean,GS,knn,0.4688311688311687
WormsTwoClass,global_mean,IG,knn,0.5116883116883116
WormsTwoClass,global_mean,random2020,knn,0.5857142857142856
WormsTwoClass,local_mean,lime_mrseql,knn,0.5844155844155845
WormsTwoClass,local_mean,mrseql,knn,0.5623376623376624
WormsTwoClass,local_mean,GS,knn,0.4662337662337661
WormsTwoClass,local_mean,IG,knn,0.5103896103896104
WormsTwoClass,local_mean,random2020,knn,0.5623376623376622
WormsTwoClass,global_mean,lime_mrseql,MrSEQLClassifier,0.6311688311688313
WormsTwoClass,global_mean,mrseql,MrSEQLClassifier,0.6389610389610391
WormsTwoClass,global_mean,GS,MrSEQLClassifier,0.6363636363636365
WormsTwoClass,global_mean,IG,MrSEQLClassifier,0.6597402597402597
WormsTwoClass,global_mean,random2020,MrSEQLClassifier,0.6701298701298701
WormsTwoClass,local_mean,lime_mrseql,MrSEQLClassifier,0.5798701298701299
WormsTwoClass,local_mean,mrseql,MrSEQLClassifier,0.6525974025974026
WormsTwoClass,local_mean,GS,MrSEQLClassifier,0.5266233766233765
WormsTwoClass,local_mean,IG,MrSEQLClassifier,0.5720779220779221
WormsTwoClass,local_mean,random2020,MrSEQLClassifier,0.6772727272727272
