dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Beef,global_mean,lime_mrseql,rocket,0,0.8333333333333334
Beef,global_mean,lime_mrseql,rocket,10,0.4
Beef,global_mean,lime_mrseql,rocket,20,0.4
Beef,global_mean,lime_mrseql,rocket,30,0.26666666666666666
Beef,global_mean,lime_mrseql,rocket,40,0.3
Beef,global_mean,lime_mrseql,rocket,50,0.16666666666666666
Beef,global_mean,lime_mrseql,rocket,60,0.13333333333333333
Beef,global_mean,lime_mrseql,rocket,70,0.16666666666666666
Beef,global_mean,lime_mrseql,rocket,80,0.13333333333333333
Beef,global_mean,lime_mrseql,rocket,90,0.1
Beef,global_mean,lime_mrseql,rocket,100,0.2
Beef,global_mean,mrseql,rocket,0,0.8333333333333334
Beef,global_mean,mrseql,rocket,10,0.4
Beef,global_mean,mrseql,rocket,20,0.36666666666666664
Beef,global_mean,mrseql,rocket,30,0.3333333333333333
Beef,global_mean,mrseql,rocket,40,0.3333333333333333
Beef,global_mean,mrseql,rocket,50,0.4
Beef,global_mean,mrseql,rocket,60,0.3
Beef,global_mean,mrseql,rocket,70,0.26666666666666666
Beef,global_mean,mrseql,rocket,80,0.2
Beef,global_mean,mrseql,rocket,90,0.2
Beef,global_mean,mrseql,rocket,100,0.2
Beef,global_mean,GS,rocket,0,0.8333333333333334
Beef,global_mean,GS,rocket,10,0.2
Beef,global_mean,GS,rocket,20,0.2
Beef,global_mean,GS,rocket,30,0.2
Beef,global_mean,GS,rocket,40,0.2
Beef,global_mean,GS,rocket,50,0.2
Beef,global_mean,GS,rocket,60,0.2
Beef,global_mean,GS,rocket,70,0.2
Beef,global_mean,GS,rocket,80,0.2
Beef,global_mean,GS,rocket,90,0.2
Beef,global_mean,GS,rocket,100,0.2
Beef,global_mean,IG,rocket,0,0.8333333333333334
Beef,global_mean,IG,rocket,10,0.3333333333333333
Beef,global_mean,IG,rocket,20,0.26666666666666666
Beef,global_mean,IG,rocket,30,0.2
Beef,global_mean,IG,rocket,40,0.2
