dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CBF,global_mean,lime_mrseql,rocket,0,1.0
CBF,global_mean,lime_mrseql,rocket,10,0.8811111111111111
CBF,global_mean,lime_mrseql,rocket,20,0.8166666666666667
CBF,global_mean,lime_mrseql,rocket,30,0.6511111111111111
CBF,global_mean,lime_mrseql,rocket,40,0.4222222222222222
CBF,global_mean,lime_mrseql,rocket,50,0.33444444444444443
CBF,global_mean,lime_mrseql,rocket,60,0.31555555555555553
CBF,global_mean,lime_mrseql,rocket,70,0.3333333333333333
CBF,global_mean,lime_mrseql,rocket,80,0.3333333333333333
CBF,global_mean,lime_mrseql,rocket,90,0.3333333333333333
CBF,global_mean,lime_mrseql,rocket,100,0.3333333333333333
CBF,global_mean,mrseql,rocket,0,1.0
CBF,global_mean,mrseql,rocket,10,0.9666666666666667
CBF,global_mean,mrseql,rocket,20,0.9311111111111111
CBF,global_mean,mrseql,rocket,30,0.8688888888888889
CBF,global_mean,mrseql,rocket,40,0.5077777777777778
CBF,global_mean,mrseql,rocket,50,0.3388888888888889
CBF,global_mean,mrseql,rocket,60,0.3333333333333333
CBF,global_mean,mrseql,rocket,70,0.3333333333333333
CBF,global_mean,mrseql,rocket,80,0.3333333333333333
CBF,global_mean,mrseql,rocket,90,0.3333333333333333
CBF,global_mean,mrseql,rocket,100,0.3333333333333333
CBF,global_mean,cam,rocket,0,1.0
CBF,global_mean,cam,rocket,10,0.88
CBF,global_mean,cam,rocket,20,0.7177777777777777
CBF,global_mean,cam,rocket,30,0.7
CBF,global_mean,cam,rocket,40,0.6455555555555555
CBF,global_mean,cam,rocket,50,0.41
CBF,global_mean,cam,rocket,60,0.37
CBF,global_mean,cam,rocket,70,0.37222222222222223
CBF,global_mean,cam,rocket,80,0.3511111111111111
CBF,global_mean,cam,rocket,90,0.3333333333333333
CBF,global_mean,cam,rocket,100,0.3333333333333333
CBF,global_mean,GS,rocket,0,1.0
CBF,global_mean,GS,rocket,10,0.83
CBF,global_mean,GS,rocket,20,0.47444444444444445
CBF,global_mean,GS,rocket,30,0.34555555555555556
CBF,global_mean,GS,rocket,40,0.26
CBF,global_mean,GS,rocket,50,0.20444444444444446
CBF,global_mean,GS,rocket,60,0.14222222222222222
CBF,global_mean,GS,rocket,70,0.11666666666666667
CBF,global_mean,GS,rocket,80,0.18888888888888888
CBF,global_mean,GS,rocket,90,0.3333333333333333
CBF,global_mean,GS,rocket,100,0.3333333333333333
CBF,global_mean,IG,rocket,0,1.0
CBF,global_mean,IG,rocket,10,0.7911111111111111
CBF,global_mean,IG,rocket,20,0.4488888888888889
CBF,global_mean,IG,rocket,30,0.3377777777777778
CBF,global_mean,IG,rocket,40,0.25333333333333335
CBF,global_mean,IG,rocket,50,0.18444444444444444
CBF,global_mean,IG,rocket,60,0.1511111111111111
CBF,global_mean,IG,rocket,70,0.10555555555555556
CBF,global_mean,IG,rocket,80,0.1711111111111111
CBF,global_mean,IG,rocket,90,0.3322222222222222
CBF,global_mean,IG,rocket,100,0.3333333333333333
CBF,global_mean,random2020,rocket,0,1.0
CBF,global_mean,random2020,rocket,10,0.9466666666666667
CBF,global_mean,random2020,rocket,20,0.7311111111111112
CBF,global_mean,random2020,rocket,30,0.6955555555555556
CBF,global_mean,random2020,rocket,40,0.6833333333333333
CBF,global_mean,random2020,rocket,50,0.6788888888888889
CBF,global_mean,random2020,rocket,60,0.6711111111111111
CBF,global_mean,random2020,rocket,70,0.65
CBF,global_mean,random2020,rocket,80,0.6066666666666667
CBF,global_mean,random2020,rocket,90,0.35444444444444445
CBF,global_mean,random2020,rocket,100,0.3333333333333333
CBF,local_mean,lime_mrseql,rocket,0,1.0
CBF,local_mean,lime_mrseql,rocket,10,0.9433333333333334
CBF,local_mean,lime_mrseql,rocket,20,0.8166666666666667
CBF,local_mean,lime_mrseql,rocket,30,0.6011111111111112
CBF,local_mean,lime_mrseql,rocket,40,0.40444444444444444
CBF,local_mean,lime_mrseql,rocket,50,0.3488888888888889
CBF,local_mean,lime_mrseql,rocket,60,0.33444444444444443
CBF,local_mean,lime_mrseql,rocket,70,0.3333333333333333
CBF,local_mean,lime_mrseql,rocket,80,0.3333333333333333
CBF,local_mean,lime_mrseql,rocket,90,0.3333333333333333
CBF,local_mean,lime_mrseql,rocket,100,0.3333333333333333
CBF,local_mean,mrseql,rocket,0,1.0
CBF,local_mean,mrseql,rocket,10,0.9955555555555555
CBF,local_mean,mrseql,rocket,20,0.9477777777777778
CBF,local_mean,mrseql,rocket,30,0.6388888888888888
CBF,local_mean,mrseql,rocket,40,0.36
CBF,local_mean,mrseql,rocket,50,0.3333333333333333
CBF,local_mean,mrseql,rocket,60,0.3333333333333333
CBF,local_mean,mrseql,rocket,70,0.3333333333333333
CBF,local_mean,mrseql,rocket,80,0.3333333333333333
CBF,local_mean,mrseql,rocket,90,0.3333333333333333
CBF,local_mean,mrseql,rocket,100,0.3333333333333333
CBF,local_mean,cam,rocket,0,1.0
CBF,local_mean,cam,rocket,10,0.9733333333333334
CBF,local_mean,cam,rocket,20,0.88
CBF,local_mean,cam,rocket,30,0.6988888888888889
CBF,local_mean,cam,rocket,40,0.43777777777777777
CBF,local_mean,cam,rocket,50,0.33666666666666667
CBF,local_mean,cam,rocket,60,0.3333333333333333
CBF,local_mean,cam,rocket,70,0.3333333333333333
CBF,local_mean,cam,rocket,80,0.3333333333333333
CBF,local_mean,cam,rocket,90,0.3333333333333333
CBF,local_mean,cam,rocket,100,0.3333333333333333
CBF,local_mean,GS,rocket,0,1.0
CBF,local_mean,GS,rocket,10,0.9077777777777778
CBF,local_mean,GS,rocket,20,0.7511111111111111
CBF,local_mean,GS,rocket,30,0.6166666666666667
CBF,local_mean,GS,rocket,40,0.5366666666666666
CBF,local_mean,GS,rocket,50,0.4577777777777778
