dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Car,global_mean,lime_mrseql,rocket,0,0.9166666666666666
Car,global_mean,lime_mrseql,rocket,10,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,20,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,30,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,40,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,50,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,60,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,70,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,80,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,90,0.21666666666666667
Car,global_mean,lime_mrseql,rocket,100,0.21666666666666667
Car,global_mean,mrseql,rocket,0,0.9166666666666666
Car,global_mean,mrseql,rocket,10,0.21666666666666667
Car,global_mean,mrseql,rocket,20,0.21666666666666667
Car,global_mean,mrseql,rocket,30,0.21666666666666667
Car,global_mean,mrseql,rocket,40,0.21666666666666667
Car,global_mean,mrseql,rocket,50,0.21666666666666667
Car,global_mean,mrseql,rocket,60,0.21666666666666667
Car,global_mean,mrseql,rocket,70,0.21666666666666667
Car,global_mean,mrseql,rocket,80,0.21666666666666667
Car,global_mean,mrseql,rocket,90,0.21666666666666667
Car,global_mean,mrseql,rocket,100,0.21666666666666667
Car,global_mean,GS,rocket,0,0.9166666666666666
Car,global_mean,GS,rocket,10,0.21666666666666667
Car,global_mean,GS,rocket,20,0.21666666666666667
Car,global_mean,GS,rocket,30,0.21666666666666667
Car,global_mean,GS,rocket,40,0.21666666666666667
Car,global_mean,GS,rocket,50,0.21666666666666667
Car,global_mean,GS,rocket,60,0.21666666666666667
Car,global_mean,GS,rocket,70,0.21666666666666667
Car,global_mean,GS,rocket,80,0.21666666666666667
Car,global_mean,GS,rocket,90,0.21666666666666667
Car,global_mean,GS,rocket,100,0.21666666666666667
Car,global_mean,IG,rocket,0,0.9166666666666666
Car,global_mean,IG,rocket,10,0.21666666666666667
Car,global_mean,IG,rocket,20,0.21666666666666667
Car,global_mean,IG,rocket,30,0.21666666666666667
Car,global_mean,IG,rocket,40,0.21666666666666667
Car,global_mean,IG,rocket,50,0.21666666666666667
Car,global_mean,IG,rocket,60,0.21666666666666667
Car,global_mean,IG,rocket,70,0.21666666666666667
Car,global_mean,IG,rocket,80,0.21666666666666667
Car,global_mean,IG,rocket,90,0.21666666666666667
Car,global_mean,IG,rocket,100,0.21666666666666667
Car,global_mean,random2020,rocket,0,0.9166666666666666
Car,global_mean,random2020,rocket,10,0.21666666666666667
Car,global_mean,random2020,rocket,20,0.21666666666666667
Car,global_mean,random2020,rocket,30,0.21666666666666667
Car,global_mean,random2020,rocket,40,0.21666666666666667
