dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CinCECGTorso,global_mean,lime_mrseql,rocket,0,0.8289855072463768
CinCECGTorso,global_mean,lime_mrseql,rocket,10,0.4557971014492754
CinCECGTorso,global_mean,lime_mrseql,rocket,20,0.43333333333333335
CinCECGTorso,global_mean,lime_mrseql,rocket,30,0.4166666666666667
CinCECGTorso,global_mean,lime_mrseql,rocket,40,0.3978260869565217
CinCECGTorso,global_mean,lime_mrseql,rocket,50,0.3739130434782609
CinCECGTorso,global_mean,lime_mrseql,rocket,60,0.3572463768115942
CinCECGTorso,global_mean,lime_mrseql,rocket,70,0.3347826086956522
CinCECGTorso,global_mean,lime_mrseql,rocket,80,0.30217391304347824
CinCECGTorso,global_mean,lime_mrseql,rocket,90,0.2565217391304348
CinCECGTorso,global_mean,lime_mrseql,rocket,100,0.24782608695652175
CinCECGTorso,global_mean,mrseql,rocket,0,0.8289855072463768
CinCECGTorso,global_mean,mrseql,rocket,10,0.6869565217391305
CinCECGTorso,global_mean,mrseql,rocket,20,0.5623188405797102
CinCECGTorso,global_mean,mrseql,rocket,30,0.4731884057971015
CinCECGTorso,global_mean,mrseql,rocket,40,0.4
CinCECGTorso,global_mean,mrseql,rocket,50,0.3239130434782609
CinCECGTorso,global_mean,mrseql,rocket,60,0.3007246376811594
CinCECGTorso,global_mean,mrseql,rocket,70,0.29130434782608694
CinCECGTorso,global_mean,mrseql,rocket,80,0.2898550724637681
CinCECGTorso,global_mean,mrseql,rocket,90,0.3094202898550725
CinCECGTorso,global_mean,mrseql,rocket,100,0.24782608695652175
CinCECGTorso,global_mean,GS,rocket,0,0.8289855072463768
CinCECGTorso,global_mean,GS,rocket,10,0.34130434782608693
CinCECGTorso,global_mean,GS,rocket,20,0.2847826086956522
CinCECGTorso,global_mean,GS,rocket,30,0.26811594202898553
CinCECGTorso,global_mean,GS,rocket,40,0.26521739130434785
CinCECGTorso,global_mean,GS,rocket,50,0.2572463768115942
CinCECGTorso,global_mean,GS,rocket,60,0.22826086956521738
CinCECGTorso,global_mean,GS,rocket,70,0.1934782608695652
CinCECGTorso,global_mean,GS,rocket,80,0.17608695652173914
CinCECGTorso,global_mean,GS,rocket,90,0.21014492753623187
CinCECGTorso,global_mean,GS,rocket,100,0.24782608695652175
CinCECGTorso,global_mean,IG,rocket,0,0.8289855072463768
CinCECGTorso,global_mean,IG,rocket,10,0.3471014492753623
CinCECGTorso,global_mean,IG,rocket,20,0.2985507246376812
CinCECGTorso,global_mean,IG,rocket,30,0.2688405797101449
CinCECGTorso,global_mean,IG,rocket,40,0.29057971014492756
CinCECGTorso,global_mean,IG,rocket,50,0.31376811594202897
CinCECGTorso,global_mean,IG,rocket,60,0.29637681159420287
CinCECGTorso,global_mean,IG,rocket,70,0.24130434782608695
CinCECGTorso,global_mean,IG,rocket,80,0.20579710144927535
CinCECGTorso,global_mean,IG,rocket,90,0.23768115942028986
CinCECGTorso,global_mean,IG,rocket,100,0.24782608695652175
CinCECGTorso,global_mean,random2020,rocket,0,0.8289855072463768
CinCECGTorso,global_mean,random2020,rocket,10,0.29130434782608694
CinCECGTorso,global_mean,random2020,rocket,20,0.2826086956521739
CinCECGTorso,global_mean,random2020,rocket,30,0.28695652173913044
CinCECGTorso,global_mean,random2020,rocket,40,0.2855072463768116
CinCECGTorso,global_mean,random2020,rocket,50,0.28840579710144926
CinCECGTorso,global_mean,random2020,rocket,60,0.2855072463768116
CinCECGTorso,global_mean,random2020,rocket,70,0.2811594202898551
CinCECGTorso,global_mean,random2020,rocket,80,0.2710144927536232
CinCECGTorso,global_mean,random2020,rocket,90,0.2572463768115942
CinCECGTorso,global_mean,random2020,rocket,100,0.24782608695652175
CinCECGTorso,local_mean,lime_mrseql,rocket,0,0.8289855072463768
CinCECGTorso,local_mean,lime_mrseql,rocket,10,0.45869565217391306
CinCECGTorso,local_mean,lime_mrseql,rocket,20,0.4246376811594203
CinCECGTorso,local_mean,lime_mrseql,rocket,30,0.4043478260869565
CinCECGTorso,local_mean,lime_mrseql,rocket,40,0.39420289855072466
CinCECGTorso,local_mean,lime_mrseql,rocket,50,0.37681159420289856
CinCECGTorso,local_mean,lime_mrseql,rocket,60,0.3681159420289855
CinCECGTorso,local_mean,lime_mrseql,rocket,70,0.35
CinCECGTorso,local_mean,lime_mrseql,rocket,80,0.336231884057971
CinCECGTorso,local_mean,lime_mrseql,rocket,90,0.3239130434782609
CinCECGTorso,local_mean,lime_mrseql,rocket,100,0.25
CinCECGTorso,local_mean,mrseql,rocket,0,0.8289855072463768
CinCECGTorso,local_mean,mrseql,rocket,10,0.6876811594202898
CinCECGTorso,local_mean,mrseql,rocket,20,0.5543478260869565
CinCECGTorso,local_mean,mrseql,rocket,30,0.45072463768115945
CinCECGTorso,local_mean,mrseql,rocket,40,0.40217391304347827
CinCECGTorso,local_mean,mrseql,rocket,50,0.3217391304347826
CinCECGTorso,local_mean,mrseql,rocket,60,0.30869565217391304
CinCECGTorso,local_mean,mrseql,rocket,70,0.2971014492753623
CinCECGTorso,local_mean,mrseql,rocket,80,0.2847826086956522
CinCECGTorso,local_mean,mrseql,rocket,90,0.2702898550724638
CinCECGTorso,local_mean,mrseql,rocket,100,0.25
CinCECGTorso,local_mean,GS,rocket,0,0.8289855072463768
CinCECGTorso,local_mean,GS,rocket,10,0.34057971014492755
CinCECGTorso,local_mean,GS,rocket,20,0.2876811594202899
CinCECGTorso,local_mean,GS,rocket,30,0.26956521739130435
