dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CricketX,global_mean,lime_rocket,rocket,0,0.8102564102564103
CricketX,global_mean,lime_rocket,rocket,10,0.7307692307692307
CricketX,global_mean,lime_rocket,rocket,20,0.5769230769230769
CricketX,global_mean,lime_rocket,rocket,30,0.4282051282051282
CricketX,global_mean,lime_rocket,rocket,40,0.36923076923076925
CricketX,global_mean,lime_rocket,rocket,50,0.28974358974358977
CricketX,global_mean,lime_rocket,rocket,60,0.2153846153846154
CricketX,global_mean,lime_rocket,rocket,70,0.16153846153846155
CricketX,global_mean,lime_rocket,rocket,80,0.14358974358974358
CricketX,global_mean,lime_rocket,rocket,90,0.10512820512820513
CricketX,global_mean,lime_rocket,rocket,100,0.08461538461538462
CricketX,local_mean,lime_rocket,rocket,0,0.8102564102564103
CricketX,local_mean,lime_rocket,rocket,10,0.7230769230769231
CricketX,local_mean,lime_rocket,rocket,20,0.5666666666666667
CricketX,local_mean,lime_rocket,rocket,30,0.44358974358974357
CricketX,local_mean,lime_rocket,rocket,40,0.37435897435897436
CricketX,local_mean,lime_rocket,rocket,50,0.3128205128205128
CricketX,local_mean,lime_rocket,rocket,60,0.2153846153846154
CricketX,local_mean,lime_rocket,rocket,70,0.16923076923076924
CricketX,local_mean,lime_rocket,rocket,80,0.16153846153846155
CricketX,local_mean,lime_rocket,rocket,90,0.12051282051282051
CricketX,local_mean,lime_rocket,rocket,100,0.08717948717948718
CricketX,global_mean,lime_rocket,resnet,0,0.717948717948718
CricketX,global_mean,lime_rocket,resnet,10,0.5153846153846153
CricketX,global_mean,lime_rocket,resnet,20,0.38461538461538464
CricketX,global_mean,lime_rocket,resnet,30,0.24102564102564103
CricketX,global_mean,lime_rocket,resnet,40,0.19487179487179487
CricketX,global_mean,lime_rocket,resnet,50,0.14358974358974358
CricketX,global_mean,lime_rocket,resnet,60,0.11282051282051282
CricketX,global_mean,lime_rocket,resnet,70,0.09487179487179487
CricketX,global_mean,lime_rocket,resnet,80,0.08717948717948718
CricketX,global_mean,lime_rocket,resnet,90,0.07435897435897436
CricketX,global_mean,lime_rocket,resnet,100,0.06923076923076923
CricketX,local_mean,lime_rocket,resnet,0,0.717948717948718
CricketX,local_mean,lime_rocket,resnet,10,0.5128205128205128
CricketX,local_mean,lime_rocket,resnet,20,0.38461538461538464
CricketX,local_mean,lime_rocket,resnet,30,0.23846153846153847
CricketX,local_mean,lime_rocket,resnet,40,0.20512820512820512
CricketX,local_mean,lime_rocket,resnet,50,0.14358974358974358
CricketX,local_mean,lime_rocket,resnet,60,0.11025641025641025
CricketX,local_mean,lime_rocket,resnet,70,0.10256410256410256
CricketX,local_mean,lime_rocket,resnet,80,0.08717948717948718
CricketX,local_mean,lime_rocket,resnet,90,0.07435897435897436
CricketX,local_mean,lime_rocket,resnet,100,0.06923076923076923
CricketX,global_mean,lime_rocket,knn,0,0.5769230769230769
CricketX,global_mean,lime_rocket,knn,10,0.5538461538461539
CricketX,global_mean,lime_rocket,knn,20,0.4717948717948718
CricketX,global_mean,lime_rocket,knn,30,0.38974358974358975
CricketX,global_mean,lime_rocket,knn,40,0.3282051282051282
CricketX,global_mean,lime_rocket,knn,50,0.2794871794871795
CricketX,global_mean,lime_rocket,knn,60,0.2153846153846154
CricketX,global_mean,lime_rocket,knn,70,0.16153846153846155
CricketX,global_mean,lime_rocket,knn,80,0.12564102564102564
CricketX,global_mean,lime_rocket,knn,90,0.12564102564102564
CricketX,global_mean,lime_rocket,knn,100,0.09743589743589744
CricketX,local_mean,lime_rocket,knn,0,0.5769230769230769
CricketX,local_mean,lime_rocket,knn,10,0.5538461538461539
CricketX,local_mean,lime_rocket,knn,20,0.47435897435897434
CricketX,local_mean,lime_rocket,knn,30,0.41025641025641024
CricketX,local_mean,lime_rocket,knn,40,0.3435897435897436
CricketX,local_mean,lime_rocket,knn,50,0.30512820512820515
CricketX,local_mean,lime_rocket,knn,60,0.23333333333333334
CricketX,local_mean,lime_rocket,knn,70,0.18974358974358974
CricketX,local_mean,lime_rocket,knn,80,0.14358974358974358
CricketX,local_mean,lime_rocket,knn,90,0.12307692307692308
CricketX,local_mean,lime_rocket,knn,100,0.09487179487179487
CricketX,global_mean,lime_rocket,MrSEQLClassifier,0,0.7692307692307693
CricketX,global_mean,lime_rocket,MrSEQLClassifier,10,0.6615384615384615
CricketX,global_mean,lime_rocket,MrSEQLClassifier,20,0.47435897435897434
CricketX,global_mean,lime_rocket,MrSEQLClassifier,30,0.382051282051282
CricketX,global_mean,lime_rocket,MrSEQLClassifier,40,0.3282051282051282
CricketX,global_mean,lime_rocket,MrSEQLClassifier,50,0.2794871794871795
CricketX,global_mean,lime_rocket,MrSEQLClassifier,60,0.1794871794871795
CricketX,global_mean,lime_rocket,MrSEQLClassifier,70,0.14615384615384616
CricketX,global_mean,lime_rocket,MrSEQLClassifier,80,0.1282051282051282
CricketX,global_mean,lime_rocket,MrSEQLClassifier,90,0.1076923076923077
CricketX,global_mean,lime_rocket,MrSEQLClassifier,100,0.09743589743589744
CricketX,local_mean,lime_rocket,MrSEQLClassifier,0,0.7692307692307693
CricketX,local_mean,lime_rocket,MrSEQLClassifier,10,0.6333333333333333
CricketX,local_mean,lime_rocket,MrSEQLClassifier,20,0.46923076923076923
CricketX,local_mean,lime_rocket,MrSEQLClassifier,30,0.36923076923076925
CricketX,local_mean,lime_rocket,MrSEQLClassifier,40,0.30256410256410254
CricketX,local_mean,lime_rocket,MrSEQLClassifier,50,0.2358974358974359
CricketX,local_mean,lime_rocket,MrSEQLClassifier,60,0.16153846153846155
CricketX,local_mean,lime_rocket,MrSEQLClassifier,70,0.13076923076923078
CricketX,local_mean,lime_rocket,MrSEQLClassifier,80,0.11025641025641025
