dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
ECG200,global_gaussian,lime_mrseql,rocket,0,0.9
ECG200,global_gaussian,lime_mrseql,rocket,10,0.67
ECG200,global_gaussian,lime_mrseql,rocket,20,0.64
ECG200,global_gaussian,lime_mrseql,rocket,30,0.64
ECG200,global_gaussian,lime_mrseql,rocket,40,0.64
ECG200,global_gaussian,lime_mrseql,rocket,50,0.64
ECG200,global_gaussian,lime_mrseql,rocket,60,0.64
ECG200,global_gaussian,lime_mrseql,rocket,70,0.64
ECG200,global_gaussian,lime_mrseql,rocket,80,0.64
ECG200,global_gaussian,lime_mrseql,rocket,90,0.64
ECG200,global_gaussian,lime_mrseql,rocket,100,0.64
ECG200,global_gaussian,mrseql,rocket,0,0.9
ECG200,global_gaussian,mrseql,rocket,10,0.74
ECG200,global_gaussian,mrseql,rocket,20,0.66
ECG200,global_gaussian,mrseql,rocket,30,0.66
ECG200,global_gaussian,mrseql,rocket,40,0.65
ECG200,global_gaussian,mrseql,rocket,50,0.65
ECG200,global_gaussian,mrseql,rocket,60,0.64
ECG200,global_gaussian,mrseql,rocket,70,0.64
ECG200,global_gaussian,mrseql,rocket,80,0.64
ECG200,global_gaussian,mrseql,rocket,90,0.64
ECG200,global_gaussian,mrseql,rocket,100,0.64
ECG200,global_gaussian,cam,rocket,0,0.9
ECG200,global_gaussian,cam,rocket,10,0.78
ECG200,global_gaussian,cam,rocket,20,0.72
ECG200,global_gaussian,cam,rocket,30,0.66
ECG200,global_gaussian,cam,rocket,40,0.64
ECG200,global_gaussian,cam,rocket,50,0.64
ECG200,global_gaussian,cam,rocket,60,0.64
ECG200,global_gaussian,cam,rocket,70,0.64
ECG200,global_gaussian,cam,rocket,80,0.64
ECG200,global_gaussian,cam,rocket,90,0.64
ECG200,global_gaussian,cam,rocket,100,0.64
ECG200,global_gaussian,GS,rocket,0,0.9
ECG200,global_gaussian,GS,rocket,10,0.7
ECG200,global_gaussian,GS,rocket,20,0.67
ECG200,global_gaussian,GS,rocket,30,0.65
ECG200,global_gaussian,GS,rocket,40,0.65
ECG200,global_gaussian,GS,rocket,50,0.65
ECG200,global_gaussian,GS,rocket,60,0.65
ECG200,global_gaussian,GS,rocket,70,0.64
ECG200,global_gaussian,GS,rocket,80,0.64
