dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
ECGFiveDays,global_mean,lime_rocket,rocket,0,1.0
ECGFiveDays,global_mean,lime_rocket,rocket,10,0.44018583042973286
ECGFiveDays,global_mean,lime_rocket,rocket,20,0.521486643437863
ECGFiveDays,global_mean,lime_rocket,rocket,30,0.4924506387921022
ECGFiveDays,global_mean,lime_rocket,rocket,40,0.45760743321718933
ECGFiveDays,global_mean,lime_rocket,rocket,50,0.44715447154471544
ECGFiveDays,global_mean,lime_rocket,rocket,60,0.44831591173054586
ECGFiveDays,global_mean,lime_rocket,rocket,70,0.44018583042973286
ECGFiveDays,global_mean,lime_rocket,rocket,80,0.4564459930313589
ECGFiveDays,global_mean,lime_rocket,rocket,90,0.4738675958188153
ECGFiveDays,global_mean,lime_rocket,rocket,100,0.502903600464576
ECGFiveDays,local_mean,lime_rocket,rocket,0,1.0
ECGFiveDays,local_mean,lime_rocket,rocket,10,0.7700348432055749
ECGFiveDays,local_mean,lime_rocket,rocket,20,0.6933797909407665
ECGFiveDays,local_mean,lime_rocket,rocket,30,0.6469221835075494
ECGFiveDays,local_mean,lime_rocket,rocket,40,0.6167247386759582
ECGFiveDays,local_mean,lime_rocket,rocket,50,0.5923344947735192
ECGFiveDays,local_mean,lime_rocket,rocket,60,0.5760743321718932
ECGFiveDays,local_mean,lime_rocket,rocket,70,0.554006968641115
ECGFiveDays,local_mean,lime_rocket,rocket,80,0.537746806039489
ECGFiveDays,local_mean,lime_rocket,rocket,90,0.5180023228803716
ECGFiveDays,local_mean,lime_rocket,rocket,100,0.502903600464576
ECGFiveDays,global_mean,lime_rocket,resnet,0,0.9233449477351916
ECGFiveDays,global_mean,lime_rocket,resnet,10,0.437862950058072
ECGFiveDays,global_mean,lime_rocket,resnet,20,0.47735191637630664
ECGFiveDays,global_mean,lime_rocket,resnet,30,0.4912891986062718
ECGFiveDays,global_mean,lime_rocket,resnet,40,0.48664343786295006
ECGFiveDays,global_mean,lime_rocket,resnet,50,0.47735191637630664
ECGFiveDays,global_mean,lime_rocket,resnet,60,0.4715447154471545
ECGFiveDays,global_mean,lime_rocket,resnet,70,0.4564459930313589
ECGFiveDays,global_mean,lime_rocket,resnet,80,0.4738675958188153
ECGFiveDays,global_mean,lime_rocket,resnet,90,0.48548199767711964
ECGFiveDays,global_mean,lime_rocket,resnet,100,0.49709639953542395
ECGFiveDays,local_mean,lime_rocket,resnet,0,0.9233449477351916
ECGFiveDays,local_mean,lime_rocket,resnet,10,0.586527293844367
ECGFiveDays,local_mean,lime_rocket,resnet,20,0.5830429732868757
ECGFiveDays,local_mean,lime_rocket,resnet,30,0.5760743321718932
ECGFiveDays,local_mean,lime_rocket,resnet,40,0.562137049941928
ECGFiveDays,local_mean,lime_rocket,resnet,50,0.5516840882694541
ECGFiveDays,local_mean,lime_rocket,resnet,60,0.5261324041811847
ECGFiveDays,local_mean,lime_rocket,resnet,70,0.5168408826945412
ECGFiveDays,local_mean,lime_rocket,resnet,80,0.5063879210220673
ECGFiveDays,local_mean,lime_rocket,resnet,90,0.5005807200929152
ECGFiveDays,local_mean,lime_rocket,resnet,100,0.49709639953542395
ECGFiveDays,global_mean,lime_rocket,knn,0,0.7967479674796748
ECGFiveDays,global_mean,lime_rocket,knn,10,0.48664343786295006
ECGFiveDays,global_mean,lime_rocket,knn,20,0.5331010452961672
ECGFiveDays,global_mean,lime_rocket,knn,30,0.5528455284552846
ECGFiveDays,global_mean,lime_rocket,knn,40,0.5447154471544715
ECGFiveDays,global_mean,lime_rocket,knn,50,0.5342624854819977
ECGFiveDays,global_mean,lime_rocket,knn,60,0.5284552845528455
ECGFiveDays,global_mean,lime_rocket,knn,70,0.5226480836236934
ECGFiveDays,global_mean,lime_rocket,knn,80,0.49361207897793263
ECGFiveDays,global_mean,lime_rocket,knn,90,0.5644599303135889
ECGFiveDays,global_mean,lime_rocket,knn,100,0.49709639953542395
ECGFiveDays,local_mean,lime_rocket,knn,0,0.7967479674796748
ECGFiveDays,local_mean,lime_rocket,knn,10,0.6016260162601627
ECGFiveDays,local_mean,lime_rocket,knn,20,0.6004645760743321
ECGFiveDays,local_mean,lime_rocket,knn,30,0.578397212543554
ECGFiveDays,local_mean,lime_rocket,knn,40,0.5586527293844367
ECGFiveDays,local_mean,lime_rocket,knn,50,0.5470383275261324
ECGFiveDays,local_mean,lime_rocket,knn,60,0.5354239256678281
ECGFiveDays,local_mean,lime_rocket,knn,70,0.5180023228803716
ECGFiveDays,local_mean,lime_rocket,knn,80,0.5005807200929152
ECGFiveDays,local_mean,lime_rocket,knn,90,0.49709639953542395
ECGFiveDays,local_mean,lime_rocket,knn,100,0.49709639953542395
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,0,0.9953542392566783
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,10,0.5063879210220673
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,20,0.5040650406504065
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,30,0.502903600464576
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,40,0.502903600464576
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,50,0.502903600464576
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,60,0.502903600464576
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,70,0.502903600464576
ECGFiveDays,global_mean,lime_rocket,MrSEQLClassifier,80,0.502903600464576
