dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
GunPointAgeSpan,global_mean,lime_rocket,rocket,0,0.9968354430379747
GunPointAgeSpan,global_mean,lime_rocket,rocket,10,0.740506329113924
GunPointAgeSpan,global_mean,lime_rocket,rocket,20,0.5537974683544303
GunPointAgeSpan,global_mean,lime_rocket,rocket,30,0.5316455696202531
GunPointAgeSpan,global_mean,lime_rocket,rocket,40,0.5189873417721519
GunPointAgeSpan,global_mean,lime_rocket,rocket,50,0.49683544303797467
GunPointAgeSpan,global_mean,lime_rocket,rocket,60,0.49050632911392406
GunPointAgeSpan,global_mean,lime_rocket,rocket,70,0.49683544303797467
GunPointAgeSpan,global_mean,lime_rocket,rocket,80,0.49683544303797467
GunPointAgeSpan,global_mean,lime_rocket,rocket,90,0.509493670886076
GunPointAgeSpan,global_mean,lime_rocket,rocket,100,0.5063291139240507
GunPointAgeSpan,local_mean,lime_rocket,rocket,0,0.9968354430379747
GunPointAgeSpan,local_mean,lime_rocket,rocket,10,0.8354430379746836
GunPointAgeSpan,local_mean,lime_rocket,rocket,20,0.6772151898734177
GunPointAgeSpan,local_mean,lime_rocket,rocket,30,0.560126582278481
GunPointAgeSpan,local_mean,lime_rocket,rocket,40,0.4873417721518987
GunPointAgeSpan,local_mean,lime_rocket,rocket,50,0.49683544303797467
GunPointAgeSpan,local_mean,lime_rocket,rocket,60,0.4272151898734177
GunPointAgeSpan,local_mean,lime_rocket,rocket,70,0.4525316455696203
GunPointAgeSpan,local_mean,lime_rocket,rocket,80,0.47151898734177217
GunPointAgeSpan,local_mean,lime_rocket,rocket,90,0.48417721518987344
GunPointAgeSpan,local_mean,lime_rocket,rocket,100,0.5063291139240507
GunPointAgeSpan,global_mean,lime_rocket,resnet,0,0.9556962025316456
GunPointAgeSpan,global_mean,lime_rocket,resnet,10,0.6170886075949367
GunPointAgeSpan,global_mean,lime_rocket,resnet,20,0.5126582278481012
GunPointAgeSpan,global_mean,lime_rocket,resnet,30,0.4810126582278481
GunPointAgeSpan,global_mean,lime_rocket,resnet,40,0.4620253164556962
GunPointAgeSpan,global_mean,lime_rocket,resnet,50,0.47468354430379744
GunPointAgeSpan,global_mean,lime_rocket,resnet,60,0.4651898734177215
GunPointAgeSpan,global_mean,lime_rocket,resnet,70,0.48417721518987344
GunPointAgeSpan,global_mean,lime_rocket,resnet,80,0.49683544303797467
GunPointAgeSpan,global_mean,lime_rocket,resnet,90,0.4936708860759494
GunPointAgeSpan,global_mean,lime_rocket,resnet,100,0.4936708860759494
GunPointAgeSpan,local_mean,lime_rocket,resnet,0,0.9556962025316456
GunPointAgeSpan,local_mean,lime_rocket,resnet,10,0.6645569620253164
GunPointAgeSpan,local_mean,lime_rocket,resnet,20,0.5791139240506329
GunPointAgeSpan,local_mean,lime_rocket,resnet,30,0.5348101265822784
GunPointAgeSpan,local_mean,lime_rocket,resnet,40,0.5063291139240507
GunPointAgeSpan,local_mean,lime_rocket,resnet,50,0.5
GunPointAgeSpan,local_mean,lime_rocket,resnet,60,0.49683544303797467
GunPointAgeSpan,local_mean,lime_rocket,resnet,70,0.49683544303797467
GunPointAgeSpan,local_mean,lime_rocket,resnet,80,0.49683544303797467
GunPointAgeSpan,local_mean,lime_rocket,resnet,90,0.4936708860759494
GunPointAgeSpan,local_mean,lime_rocket,resnet,100,0.4936708860759494
GunPointAgeSpan,global_mean,lime_rocket,knn,0,0.9683544303797469
GunPointAgeSpan,global_mean,lime_rocket,knn,10,0.8386075949367089
GunPointAgeSpan,global_mean,lime_rocket,knn,20,0.7310126582278481
GunPointAgeSpan,global_mean,lime_rocket,knn,30,0.6867088607594937
GunPointAgeSpan,global_mean,lime_rocket,knn,40,0.6613924050632911
GunPointAgeSpan,global_mean,lime_rocket,knn,50,0.5949367088607594
GunPointAgeSpan,global_mean,lime_rocket,knn,60,0.5569620253164557
GunPointAgeSpan,global_mean,lime_rocket,knn,70,0.5
GunPointAgeSpan,global_mean,lime_rocket,knn,80,0.46835443037974683
GunPointAgeSpan,global_mean,lime_rocket,knn,90,0.45569620253164556
GunPointAgeSpan,global_mean,lime_rocket,knn,100,0.4936708860759494
GunPointAgeSpan,local_mean,lime_rocket,knn,0,0.9683544303797469
GunPointAgeSpan,local_mean,lime_rocket,knn,10,0.8734177215189873
GunPointAgeSpan,local_mean,lime_rocket,knn,20,0.7658227848101266
GunPointAgeSpan,local_mean,lime_rocket,knn,30,0.7183544303797469
GunPointAgeSpan,local_mean,lime_rocket,knn,40,0.6740506329113924
GunPointAgeSpan,local_mean,lime_rocket,knn,50,0.5727848101265823
GunPointAgeSpan,local_mean,lime_rocket,knn,60,0.5158227848101266
GunPointAgeSpan,local_mean,lime_rocket,knn,70,0.49683544303797467
GunPointAgeSpan,local_mean,lime_rocket,knn,80,0.46835443037974683
GunPointAgeSpan,local_mean,lime_rocket,knn,90,0.4873417721518987
GunPointAgeSpan,local_mean,lime_rocket,knn,100,0.4936708860759494
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,0,0.990506329113924
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,10,0.8291139240506329
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,20,0.6550632911392406
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,30,0.5348101265822784
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,40,0.49050632911392406
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,50,0.49050632911392406
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,60,0.47468354430379744
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,70,0.49050632911392406
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,80,0.4936708860759494
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,90,0.4936708860759494
GunPointAgeSpan,global_mean,lime_rocket,MrSEQLClassifier,100,0.4936708860759494
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,0,0.990506329113924
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,10,0.8006329113924051
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,20,0.680379746835443
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,30,0.6107594936708861
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,40,0.5537974683544303
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,50,0.5443037974683544
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,60,0.5348101265822784
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,70,0.5
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,80,0.49050632911392406
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,90,0.48417721518987344
GunPointAgeSpan,local_mean,lime_rocket,MrSEQLClassifier,100,0.4936708860759494
