dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,10,0.7816455696202531
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,20,0.5537974683544303
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,30,0.49050632911392406
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,40,0.45569620253164556
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,50,0.4462025316455696
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,60,0.44936708860759494
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,70,0.4778481012658228
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,80,0.4525316455696203
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,90,0.439873417721519
GunPointMaleVersusFemale,global_mean,lime_mrseql,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,mrseql,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,global_mean,mrseql,rocket,10,0.7025316455696202
GunPointMaleVersusFemale,global_mean,mrseql,rocket,20,0.6329113924050633
GunPointMaleVersusFemale,global_mean,mrseql,rocket,30,0.5854430379746836
GunPointMaleVersusFemale,global_mean,mrseql,rocket,40,0.5031645569620253
GunPointMaleVersusFemale,global_mean,mrseql,rocket,50,0.4177215189873418
GunPointMaleVersusFemale,global_mean,mrseql,rocket,60,0.379746835443038
GunPointMaleVersusFemale,global_mean,mrseql,rocket,70,0.37341772151898733
GunPointMaleVersusFemale,global_mean,mrseql,rocket,80,0.379746835443038
GunPointMaleVersusFemale,global_mean,mrseql,rocket,90,0.5506329113924051
GunPointMaleVersusFemale,global_mean,mrseql,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,GS,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,global_mean,GS,rocket,10,0.6772151898734177
GunPointMaleVersusFemale,global_mean,GS,rocket,20,0.5949367088607594
GunPointMaleVersusFemale,global_mean,GS,rocket,30,0.5537974683544303
GunPointMaleVersusFemale,global_mean,GS,rocket,40,0.5537974683544303
GunPointMaleVersusFemale,global_mean,GS,rocket,50,0.5727848101265823
GunPointMaleVersusFemale,global_mean,GS,rocket,60,0.5949367088607594
GunPointMaleVersusFemale,global_mean,GS,rocket,70,0.560126582278481
GunPointMaleVersusFemale,global_mean,GS,rocket,80,0.5506329113924051
GunPointMaleVersusFemale,global_mean,GS,rocket,90,0.5443037974683544
GunPointMaleVersusFemale,global_mean,GS,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,IG,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,global_mean,IG,rocket,10,0.7879746835443038
GunPointMaleVersusFemale,global_mean,IG,rocket,20,0.6550632911392406
GunPointMaleVersusFemale,global_mean,IG,rocket,30,0.680379746835443
GunPointMaleVersusFemale,global_mean,IG,rocket,40,0.6867088607594937
GunPointMaleVersusFemale,global_mean,IG,rocket,50,0.7626582278481012
GunPointMaleVersusFemale,global_mean,IG,rocket,60,0.6677215189873418
GunPointMaleVersusFemale,global_mean,IG,rocket,70,0.569620253164557
GunPointMaleVersusFemale,global_mean,IG,rocket,80,0.5537974683544303
GunPointMaleVersusFemale,global_mean,IG,rocket,90,0.5253164556962026
GunPointMaleVersusFemale,global_mean,IG,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,random2020,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,global_mean,random2020,rocket,10,0.5411392405063291
GunPointMaleVersusFemale,global_mean,random2020,rocket,20,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,30,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,40,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,50,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,60,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,70,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,80,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,90,0.5253164556962026
GunPointMaleVersusFemale,global_mean,random2020,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,10,0.8734177215189873
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,20,0.6772151898734177
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,30,0.6107594936708861
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,40,0.560126582278481
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,50,0.4873417721518987
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,60,0.509493670886076
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,70,0.5379746835443038
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,80,0.5158227848101266
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,90,0.5411392405063291
GunPointMaleVersusFemale,local_mean,lime_mrseql,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,local_mean,mrseql,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,local_mean,mrseql,rocket,10,0.8069620253164557
GunPointMaleVersusFemale,local_mean,mrseql,rocket,20,0.7753164556962026
GunPointMaleVersusFemale,local_mean,mrseql,rocket,30,0.6962025316455697
GunPointMaleVersusFemale,local_mean,mrseql,rocket,40,0.5981012658227848
GunPointMaleVersusFemale,local_mean,mrseql,rocket,50,0.5411392405063291
GunPointMaleVersusFemale,local_mean,mrseql,rocket,60,0.5537974683544303
GunPointMaleVersusFemale,local_mean,mrseql,rocket,70,0.5727848101265823
GunPointMaleVersusFemale,local_mean,mrseql,rocket,80,0.5949367088607594
GunPointMaleVersusFemale,local_mean,mrseql,rocket,90,0.5569620253164557
GunPointMaleVersusFemale,local_mean,mrseql,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,local_mean,GS,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,local_mean,GS,rocket,10,0.7246835443037974
GunPointMaleVersusFemale,local_mean,GS,rocket,20,0.6708860759493671
GunPointMaleVersusFemale,local_mean,GS,rocket,30,0.6360759493670886
GunPointMaleVersusFemale,local_mean,GS,rocket,40,0.6107594936708861
GunPointMaleVersusFemale,local_mean,GS,rocket,50,0.6360759493670886
GunPointMaleVersusFemale,local_mean,GS,rocket,60,0.629746835443038
GunPointMaleVersusFemale,local_mean,GS,rocket,70,0.6424050632911392
GunPointMaleVersusFemale,local_mean,GS,rocket,80,0.6677215189873418
GunPointMaleVersusFemale,local_mean,GS,rocket,90,0.7278481012658228
GunPointMaleVersusFemale,local_mean,GS,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,local_mean,IG,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,local_mean,IG,rocket,10,0.7088607594936709
GunPointMaleVersusFemale,local_mean,IG,rocket,20,0.6740506329113924
GunPointMaleVersusFemale,local_mean,IG,rocket,30,0.6613924050632911
GunPointMaleVersusFemale,local_mean,IG,rocket,40,0.6645569620253164
GunPointMaleVersusFemale,local_mean,IG,rocket,50,0.75
GunPointMaleVersusFemale,local_mean,IG,rocket,60,0.7911392405063291
GunPointMaleVersusFemale,local_mean,IG,rocket,70,0.7848101265822784
GunPointMaleVersusFemale,local_mean,IG,rocket,80,0.7626582278481012
GunPointMaleVersusFemale,local_mean,IG,rocket,90,0.7088607594936709
GunPointMaleVersusFemale,local_mean,IG,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,local_mean,random2020,rocket,0,0.9968354430379747
GunPointMaleVersusFemale,local_mean,random2020,rocket,10,0.6550632911392406
GunPointMaleVersusFemale,local_mean,random2020,rocket,20,0.5443037974683544
GunPointMaleVersusFemale,local_mean,random2020,rocket,30,0.5253164556962026
GunPointMaleVersusFemale,local_mean,random2020,rocket,40,0.5253164556962026
GunPointMaleVersusFemale,local_mean,random2020,rocket,50,0.5253164556962026
GunPointMaleVersusFemale,local_mean,random2020,rocket,60,0.5253164556962026
GunPointMaleVersusFemale,local_mean,random2020,rocket,70,0.5253164556962026
GunPointMaleVersusFemale,local_mean,random2020,rocket,80,0.5284810126582279
GunPointMaleVersusFemale,local_mean,random2020,rocket,90,0.5727848101265823
GunPointMaleVersusFemale,local_mean,random2020,rocket,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,0,0.9367088607594937
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,10,0.8765822784810127
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,20,0.810126582278481
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,30,0.7658227848101266
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,40,0.7278481012658228
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,50,0.6392405063291139
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,60,0.5189873417721519
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,70,0.4778481012658228
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,80,0.47468354430379744
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,90,0.47468354430379744
GunPointMaleVersusFemale,global_mean,lime_mrseql,resnet,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,mrseql,resnet,0,0.9367088607594937
GunPointMaleVersusFemale,global_mean,mrseql,resnet,10,0.9082278481012658
GunPointMaleVersusFemale,global_mean,mrseql,resnet,20,0.879746835443038
GunPointMaleVersusFemale,global_mean,mrseql,resnet,30,0.8354430379746836
GunPointMaleVersusFemale,global_mean,mrseql,resnet,40,0.7816455696202531
GunPointMaleVersusFemale,global_mean,mrseql,resnet,50,0.7215189873417721
GunPointMaleVersusFemale,global_mean,mrseql,resnet,60,0.5664556962025317
GunPointMaleVersusFemale,global_mean,mrseql,resnet,70,0.4778481012658228
GunPointMaleVersusFemale,global_mean,mrseql,resnet,80,0.47468354430379744
GunPointMaleVersusFemale,global_mean,mrseql,resnet,90,0.47468354430379744
GunPointMaleVersusFemale,global_mean,mrseql,resnet,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,GS,resnet,0,0.9367088607594937
GunPointMaleVersusFemale,global_mean,GS,resnet,10,0.8860759493670886
GunPointMaleVersusFemale,global_mean,GS,resnet,20,0.8639240506329114
GunPointMaleVersusFemale,global_mean,GS,resnet,30,0.8417721518987342
GunPointMaleVersusFemale,global_mean,GS,resnet,40,0.8227848101265823
GunPointMaleVersusFemale,global_mean,GS,resnet,50,0.8164556962025317
GunPointMaleVersusFemale,global_mean,GS,resnet,60,0.7816455696202531
GunPointMaleVersusFemale,global_mean,GS,resnet,70,0.7310126582278481
GunPointMaleVersusFemale,global_mean,GS,resnet,80,0.6550632911392406
GunPointMaleVersusFemale,global_mean,GS,resnet,90,0.5158227848101266
GunPointMaleVersusFemale,global_mean,GS,resnet,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,IG,resnet,0,0.9367088607594937
GunPointMaleVersusFemale,global_mean,IG,resnet,10,0.9208860759493671
GunPointMaleVersusFemale,global_mean,IG,resnet,20,0.8955696202531646
GunPointMaleVersusFemale,global_mean,IG,resnet,30,0.8670886075949367
GunPointMaleVersusFemale,global_mean,IG,resnet,40,0.8765822784810127
GunPointMaleVersusFemale,global_mean,IG,resnet,50,0.879746835443038
GunPointMaleVersusFemale,global_mean,IG,resnet,60,0.8386075949367089
GunPointMaleVersusFemale,global_mean,IG,resnet,70,0.8132911392405063
GunPointMaleVersusFemale,global_mean,IG,resnet,80,0.75
GunPointMaleVersusFemale,global_mean,IG,resnet,90,0.7120253164556962
GunPointMaleVersusFemale,global_mean,IG,resnet,100,0.47468354430379744
GunPointMaleVersusFemale,global_mean,random2020,resnet,0,0.9367088607594937
GunPointMaleVersusFemale,global_mean,random2020,resnet,10,0.7436708860759493
GunPointMaleVersusFemale,global_mean,random2020,resnet,20,0.7531645569620253
GunPointMaleVersusFemale,global_mean,random2020,resnet,30,0.7911392405063291
GunPointMaleVersusFemale,global_mean,random2020,resnet,40,0.6582278481012658
GunPointMaleVersusFemale,global_mean,random2020,resnet,50,0.6329113924050633
GunPointMaleVersusFemale,global_mean,random2020,resnet,60,0.6392405063291139
GunPointMaleVersusFemale,global_mean,random2020,resnet,70,0.7784810126582279
GunPointMaleVersusFemale,global_mean,random2020,resnet,80,0.7816455696202531
GunPointMaleVersusFemale,global_mean,random2020,resnet,90,0.7310126582278481
GunPointMaleVersusFemale,global_mean,random2020,resnet,100,0.47468354430379744
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,0,0.9367088607594937
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,10,0.8892405063291139
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,20,0.8037974683544303
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,30,0.7784810126582279
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,40,0.759493670886076
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,50,0.7341772151898734
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,60,0.6487341772151899
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,70,0.5031645569620253
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,80,0.47468354430379744
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,90,0.47468354430379744
GunPointMaleVersusFemale,local_mean,lime_mrseql,resnet,100,0.47468354430379744
GunPointMaleVersusFemale,local_mean,mrseql,resnet,0,0.9367088607594937
