dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,0,0.9968253968253968
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,10,0.36507936507936506
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,20,0.4031746031746032
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,30,0.49206349206349204
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,40,0.49206349206349204
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,50,0.4984126984126984
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,60,0.47619047619047616
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,70,0.4634920634920635
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,80,0.33650793650793653
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,90,0.17142857142857143
GunPointOldVersusYoung,global_mean,lime_rocket,rocket,100,0.5238095238095238
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,0,0.9968253968253968
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,10,0.4634920634920635
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,20,0.37142857142857144
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,30,0.4380952380952381
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,40,0.4603174603174603
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,50,0.48253968253968255
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,60,0.5047619047619047
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,70,0.4984126984126984
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,80,0.45396825396825397
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,90,0.30793650793650795
GunPointOldVersusYoung,local_mean,lime_rocket,rocket,100,0.5238095238095238
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,0,1.0
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,10,1.0
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,20,0.9777777777777777
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,30,0.8793650793650793
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,40,0.5746031746031746
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,50,0.5238095238095238
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,60,0.5238095238095238
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,70,0.5238095238095238
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,80,0.5238095238095238
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,90,0.5238095238095238
GunPointOldVersusYoung,global_mean,lime_rocket,resnet,100,0.5238095238095238
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,0,1.0
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,10,1.0
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,20,0.9968253968253968
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,30,0.9301587301587302
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,40,0.8063492063492064
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,50,0.653968253968254
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,60,0.5365079365079365
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,70,0.5238095238095238
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,80,0.5238095238095238
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,90,0.5238095238095238
GunPointOldVersusYoung,local_mean,lime_rocket,resnet,100,0.5238095238095238
GunPointOldVersusYoung,global_mean,lime_rocket,knn,0,1.0
GunPointOldVersusYoung,global_mean,lime_rocket,knn,10,1.0
GunPointOldVersusYoung,global_mean,lime_rocket,knn,20,1.0
