dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
GunPoint,global_mean,lime_mrseql,rocket,0,1.0
GunPoint,global_mean,lime_mrseql,rocket,10,0.5466666666666666
GunPoint,global_mean,lime_mrseql,rocket,20,0.56
GunPoint,global_mean,lime_mrseql,rocket,30,0.5
GunPoint,global_mean,lime_mrseql,rocket,40,0.49333333333333335
GunPoint,global_mean,lime_mrseql,rocket,50,0.49333333333333335
GunPoint,global_mean,lime_mrseql,rocket,60,0.49333333333333335
GunPoint,global_mean,lime_mrseql,rocket,70,0.49333333333333335
GunPoint,global_mean,lime_mrseql,rocket,80,0.5066666666666667
GunPoint,global_mean,lime_mrseql,rocket,90,0.49333333333333335
GunPoint,global_mean,lime_mrseql,rocket,100,0.5066666666666667
GunPoint,global_mean,mrseql,rocket,0,1.0
GunPoint,global_mean,mrseql,rocket,10,0.6533333333333333
GunPoint,global_mean,mrseql,rocket,20,0.5733333333333334
GunPoint,global_mean,mrseql,rocket,30,0.5266666666666666
GunPoint,global_mean,mrseql,rocket,40,0.49333333333333335
GunPoint,global_mean,mrseql,rocket,50,0.49333333333333335
GunPoint,global_mean,mrseql,rocket,60,0.49333333333333335
GunPoint,global_mean,mrseql,rocket,70,0.49333333333333335
GunPoint,global_mean,mrseql,rocket,80,0.49333333333333335
GunPoint,global_mean,mrseql,rocket,90,0.49333333333333335
GunPoint,global_mean,mrseql,rocket,100,0.5066666666666667
GunPoint,global_mean,cam,rocket,0,1.0
GunPoint,global_mean,cam,rocket,10,0.5133333333333333
GunPoint,global_mean,cam,rocket,20,0.49333333333333335
GunPoint,global_mean,cam,rocket,30,0.49333333333333335
GunPoint,global_mean,cam,rocket,40,0.49333333333333335
GunPoint,global_mean,cam,rocket,50,0.49333333333333335
GunPoint,global_mean,cam,rocket,60,0.49333333333333335
GunPoint,global_mean,cam,rocket,70,0.49333333333333335
GunPoint,global_mean,cam,rocket,80,0.49333333333333335
GunPoint,global_mean,cam,rocket,90,0.49333333333333335
GunPoint,global_mean,cam,rocket,100,0.5066666666666667
GunPoint,global_mean,GS,rocket,0,1.0
GunPoint,global_mean,GS,rocket,10,0.5666666666666667
GunPoint,global_mean,GS,rocket,20,0.5133333333333333
GunPoint,global_mean,GS,rocket,30,0.49333333333333335
GunPoint,global_mean,GS,rocket,40,0.49333333333333335
GunPoint,global_mean,GS,rocket,50,0.49333333333333335
GunPoint,global_mean,GS,rocket,60,0.49333333333333335
GunPoint,global_mean,GS,rocket,70,0.49333333333333335
GunPoint,global_mean,GS,rocket,80,0.49333333333333335
GunPoint,global_mean,GS,rocket,90,0.49333333333333335
GunPoint,global_mean,GS,rocket,100,0.5066666666666667
GunPoint,global_mean,IG,rocket,0,1.0
GunPoint,global_mean,IG,rocket,10,0.5333333333333333
GunPoint,global_mean,IG,rocket,20,0.49333333333333335
GunPoint,global_mean,IG,rocket,30,0.49333333333333335
GunPoint,global_mean,IG,rocket,40,0.49333333333333335
GunPoint,global_mean,IG,rocket,50,0.49333333333333335
GunPoint,global_mean,IG,rocket,60,0.49333333333333335
GunPoint,global_mean,IG,rocket,70,0.49333333333333335
GunPoint,global_mean,IG,rocket,80,0.49333333333333335
GunPoint,global_mean,IG,rocket,90,0.49333333333333335
GunPoint,global_mean,IG,rocket,100,0.5066666666666667
GunPoint,global_mean,random2020,rocket,0,1.0
GunPoint,global_mean,random2020,rocket,10,0.49333333333333335
