dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Ham,global_mean,lime_mrseql,rocket,0,0.7238095238095238
Ham,global_mean,lime_mrseql,rocket,10,0.6857142857142857
Ham,global_mean,lime_mrseql,rocket,20,0.7238095238095238
Ham,global_mean,lime_mrseql,rocket,30,0.6571428571428571
Ham,global_mean,lime_mrseql,rocket,40,0.6476190476190476
Ham,global_mean,lime_mrseql,rocket,50,0.638095238095238
Ham,global_mean,lime_mrseql,rocket,60,0.6285714285714286
Ham,global_mean,lime_mrseql,rocket,70,0.5619047619047619
Ham,global_mean,lime_mrseql,rocket,80,0.49523809523809526
Ham,global_mean,lime_mrseql,rocket,90,0.5047619047619047
Ham,global_mean,lime_mrseql,rocket,100,0.5142857142857142
Ham,global_mean,mrseql,rocket,0,0.7238095238095238
Ham,global_mean,mrseql,rocket,10,0.7428571428571429
Ham,global_mean,mrseql,rocket,20,0.7238095238095238
Ham,global_mean,mrseql,rocket,30,0.6857142857142857
Ham,global_mean,mrseql,rocket,40,0.5904761904761905
Ham,global_mean,mrseql,rocket,50,0.6190476190476191
Ham,global_mean,mrseql,rocket,60,0.5428571428571428
Ham,global_mean,mrseql,rocket,70,0.5142857142857142
Ham,global_mean,mrseql,rocket,80,0.5238095238095238
Ham,global_mean,mrseql,rocket,90,0.5047619047619047
Ham,global_mean,mrseql,rocket,100,0.5142857142857142
Ham,global_mean,GS,rocket,0,0.7238095238095238
Ham,global_mean,GS,rocket,10,0.6476190476190476
Ham,global_mean,GS,rocket,20,0.5904761904761905
Ham,global_mean,GS,rocket,30,0.5523809523809524
Ham,global_mean,GS,rocket,40,0.5523809523809524
Ham,global_mean,GS,rocket,50,0.5333333333333333
Ham,global_mean,GS,rocket,60,0.5333333333333333
Ham,global_mean,GS,rocket,70,0.5619047619047619
Ham,global_mean,GS,rocket,80,0.5238095238095238
Ham,global_mean,GS,rocket,90,0.5047619047619047
Ham,global_mean,GS,rocket,100,0.5142857142857142
Ham,global_mean,IG,rocket,0,0.7238095238095238
Ham,global_mean,IG,rocket,10,0.6476190476190476
Ham,global_mean,IG,rocket,20,0.580952380952381
Ham,global_mean,IG,rocket,30,0.5238095238095238
Ham,global_mean,IG,rocket,40,0.5523809523809524
Ham,global_mean,IG,rocket,50,0.5619047619047619
Ham,global_mean,IG,rocket,60,0.5238095238095238
Ham,global_mean,IG,rocket,70,0.5047619047619047
Ham,global_mean,IG,rocket,80,0.44761904761904764
Ham,global_mean,IG,rocket,90,0.44761904761904764
Ham,global_mean,IG,rocket,100,0.5142857142857142
Ham,global_mean,random2020,rocket,0,0.7238095238095238
Ham,global_mean,random2020,rocket,10,0.7428571428571429
Ham,global_mean,random2020,rocket,20,0.6285714285714286
Ham,global_mean,random2020,rocket,30,0.5714285714285714
Ham,global_mean,random2020,rocket,40,0.5047619047619047
Ham,global_mean,random2020,rocket,50,0.49523809523809526
Ham,global_mean,random2020,rocket,60,0.5047619047619047
Ham,global_mean,random2020,rocket,70,0.49523809523809526
Ham,global_mean,random2020,rocket,80,0.5047619047619047
Ham,global_mean,random2020,rocket,90,0.5047619047619047
Ham,global_mean,random2020,rocket,100,0.5142857142857142
Ham,local_mean,lime_mrseql,rocket,0,0.7238095238095238
Ham,local_mean,lime_mrseql,rocket,10,0.7238095238095238
Ham,local_mean,lime_mrseql,rocket,20,0.7238095238095238
Ham,local_mean,lime_mrseql,rocket,30,0.6952380952380952
Ham,local_mean,lime_mrseql,rocket,40,0.7047619047619048
Ham,local_mean,lime_mrseql,rocket,50,0.638095238095238
Ham,local_mean,lime_mrseql,rocket,60,0.6857142857142857
Ham,local_mean,lime_mrseql,rocket,70,0.6857142857142857
Ham,local_mean,lime_mrseql,rocket,80,0.638095238095238
Ham,local_mean,lime_mrseql,rocket,90,0.5333333333333333
Ham,local_mean,lime_mrseql,rocket,100,0.4857142857142857
Ham,local_mean,mrseql,rocket,0,0.7238095238095238
Ham,local_mean,mrseql,rocket,10,0.7142857142857143
Ham,local_mean,mrseql,rocket,20,0.6666666666666666
Ham,local_mean,mrseql,rocket,30,0.7142857142857143
Ham,local_mean,mrseql,rocket,40,0.6952380952380952
Ham,local_mean,mrseql,rocket,50,0.6857142857142857
Ham,local_mean,mrseql,rocket,60,0.6952380952380952
Ham,local_mean,mrseql,rocket,70,0.638095238095238
Ham,local_mean,mrseql,rocket,80,0.5047619047619047
Ham,local_mean,mrseql,rocket,90,0.5047619047619047
Ham,local_mean,mrseql,rocket,100,0.4857142857142857
Ham,local_mean,GS,rocket,0,0.7238095238095238
Ham,local_mean,GS,rocket,10,0.7238095238095238
Ham,local_mean,GS,rocket,20,0.7142857142857143
Ham,local_mean,GS,rocket,30,0.7238095238095238
Ham,local_mean,GS,rocket,40,0.6952380952380952
Ham,local_mean,GS,rocket,50,0.6857142857142857
Ham,local_mean,GS,rocket,60,0.6571428571428571
Ham,local_mean,GS,rocket,70,0.638095238095238
Ham,local_mean,GS,rocket,80,0.6095238095238096
Ham,local_mean,GS,rocket,90,0.5714285714285714
Ham,local_mean,GS,rocket,100,0.4857142857142857
Ham,local_mean,IG,rocket,0,0.7238095238095238
Ham,local_mean,IG,rocket,10,0.7523809523809524
Ham,local_mean,IG,rocket,20,0.7619047619047619
Ham,local_mean,IG,rocket,30,0.780952380952381
Ham,local_mean,IG,rocket,40,0.7428571428571429
Ham,local_mean,IG,rocket,50,0.7047619047619048
Ham,local_mean,IG,rocket,60,0.7333333333333333
Ham,local_mean,IG,rocket,70,0.7047619047619048
Ham,local_mean,IG,rocket,80,0.6190476190476191
Ham,local_mean,IG,rocket,90,0.5904761904761905
Ham,local_mean,IG,rocket,100,0.4857142857142857
Ham,local_mean,random2020,rocket,0,0.7238095238095238
Ham,local_mean,random2020,rocket,10,0.7238095238095238
Ham,local_mean,random2020,rocket,20,0.7523809523809524
Ham,local_mean,random2020,rocket,30,0.7047619047619048
Ham,local_mean,random2020,rocket,40,0.6571428571428571
Ham,local_mean,random2020,rocket,50,0.6190476190476191
Ham,local_mean,random2020,rocket,60,0.638095238095238
Ham,local_mean,random2020,rocket,70,0.6095238095238096
Ham,local_mean,random2020,rocket,80,0.5428571428571428
Ham,local_mean,random2020,rocket,90,0.5047619047619047
Ham,local_mean,random2020,rocket,100,0.4857142857142857
Ham,global_mean,lime_mrseql,resnet,0,0.6476190476190476
Ham,global_mean,lime_mrseql,resnet,10,0.580952380952381
Ham,global_mean,lime_mrseql,resnet,20,0.638095238095238
Ham,global_mean,lime_mrseql,resnet,30,0.6095238095238096
Ham,global_mean,lime_mrseql,resnet,40,0.5714285714285714
Ham,global_mean,lime_mrseql,resnet,50,0.5523809523809524
Ham,global_mean,lime_mrseql,resnet,60,0.5523809523809524
Ham,global_mean,lime_mrseql,resnet,70,0.5142857142857142
Ham,global_mean,lime_mrseql,resnet,80,0.5238095238095238
Ham,global_mean,lime_mrseql,resnet,90,0.5142857142857142
Ham,global_mean,lime_mrseql,resnet,100,0.5142857142857142
Ham,global_mean,mrseql,resnet,0,0.6476190476190476
Ham,global_mean,mrseql,resnet,10,0.6095238095238096
Ham,global_mean,mrseql,resnet,20,0.5428571428571428
Ham,global_mean,mrseql,resnet,30,0.5619047619047619
Ham,global_mean,mrseql,resnet,40,0.5523809523809524
Ham,global_mean,mrseql,resnet,50,0.5523809523809524
Ham,global_mean,mrseql,resnet,60,0.44761904761904764
Ham,global_mean,mrseql,resnet,70,0.5142857142857142
Ham,global_mean,mrseql,resnet,80,0.5142857142857142
Ham,global_mean,mrseql,resnet,90,0.5238095238095238
Ham,global_mean,mrseql,resnet,100,0.5142857142857142
Ham,global_mean,GS,resnet,0,0.6476190476190476
Ham,global_mean,GS,resnet,10,0.5714285714285714
Ham,global_mean,GS,resnet,20,0.5904761904761905
Ham,global_mean,GS,resnet,30,0.6190476190476191
Ham,global_mean,GS,resnet,40,0.6571428571428571
Ham,global_mean,GS,resnet,50,0.6095238095238096
Ham,global_mean,GS,resnet,60,0.6190476190476191
Ham,global_mean,GS,resnet,70,0.5428571428571428
Ham,global_mean,GS,resnet,80,0.5142857142857142
Ham,global_mean,GS,resnet,90,0.5142857142857142
Ham,global_mean,GS,resnet,100,0.5142857142857142
Ham,global_mean,IG,resnet,0,0.6476190476190476
Ham,global_mean,IG,resnet,10,0.5523809523809524
Ham,global_mean,IG,resnet,20,0.5904761904761905
Ham,global_mean,IG,resnet,30,0.6190476190476191
Ham,global_mean,IG,resnet,40,0.6857142857142857
Ham,global_mean,IG,resnet,50,0.7142857142857143
Ham,global_mean,IG,resnet,60,0.6190476190476191
Ham,global_mean,IG,resnet,70,0.5333333333333333
Ham,global_mean,IG,resnet,80,0.5142857142857142
Ham,global_mean,IG,resnet,90,0.5142857142857142
Ham,global_mean,IG,resnet,100,0.5142857142857142
Ham,global_mean,random2020,resnet,0,0.6476190476190476
Ham,global_mean,random2020,resnet,10,0.5238095238095238
Ham,global_mean,random2020,resnet,20,0.5047619047619047
Ham,global_mean,random2020,resnet,30,0.45714285714285713
Ham,global_mean,random2020,resnet,40,0.4666666666666667
Ham,global_mean,random2020,resnet,50,0.5523809523809524
Ham,global_mean,random2020,resnet,60,0.49523809523809526
Ham,global_mean,random2020,resnet,70,0.5714285714285714
Ham,global_mean,random2020,resnet,80,0.6285714285714286
Ham,global_mean,random2020,resnet,90,0.5142857142857142
Ham,global_mean,random2020,resnet,100,0.5142857142857142
Ham,local_mean,lime_mrseql,resnet,0,0.6476190476190476
Ham,local_mean,lime_mrseql,resnet,10,0.6
Ham,local_mean,lime_mrseql,resnet,20,0.638095238095238
Ham,local_mean,lime_mrseql,resnet,30,0.6
Ham,local_mean,lime_mrseql,resnet,40,0.580952380952381
Ham,local_mean,lime_mrseql,resnet,50,0.5619047619047619
Ham,local_mean,lime_mrseql,resnet,60,0.5619047619047619
Ham,local_mean,lime_mrseql,resnet,70,0.5333333333333333
Ham,local_mean,lime_mrseql,resnet,80,0.5428571428571428
Ham,local_mean,lime_mrseql,resnet,90,0.5142857142857142
Ham,local_mean,lime_mrseql,resnet,100,0.5142857142857142
Ham,local_mean,mrseql,resnet,0,0.6476190476190476
Ham,local_mean,mrseql,resnet,10,0.6095238095238096
Ham,local_mean,mrseql,resnet,20,0.6095238095238096
Ham,local_mean,mrseql,resnet,30,0.5714285714285714
Ham,local_mean,mrseql,resnet,40,0.5714285714285714
Ham,local_mean,mrseql,resnet,50,0.5142857142857142
Ham,local_mean,mrseql,resnet,60,0.5333333333333333
Ham,local_mean,mrseql,resnet,70,0.5333333333333333
Ham,local_mean,mrseql,resnet,80,0.5047619047619047
Ham,local_mean,mrseql,resnet,90,0.49523809523809526
Ham,local_mean,mrseql,resnet,100,0.5142857142857142
Ham,local_mean,GS,resnet,0,0.6476190476190476
Ham,local_mean,GS,resnet,10,0.5333333333333333
Ham,local_mean,GS,resnet,20,0.45714285714285713
Ham,local_mean,GS,resnet,30,0.5047619047619047
Ham,local_mean,GS,resnet,40,0.5238095238095238
Ham,local_mean,GS,resnet,50,0.5619047619047619
Ham,local_mean,GS,resnet,60,0.5428571428571428
Ham,local_mean,GS,resnet,70,0.5428571428571428
Ham,local_mean,GS,resnet,80,0.5238095238095238
Ham,local_mean,GS,resnet,90,0.5142857142857142
Ham,local_mean,GS,resnet,100,0.5142857142857142
Ham,local_mean,IG,resnet,0,0.6476190476190476
Ham,local_mean,IG,resnet,10,0.4666666666666667
Ham,local_mean,IG,resnet,20,0.4857142857142857
Ham,local_mean,IG,resnet,30,0.47619047619047616
Ham,local_mean,IG,resnet,40,0.45714285714285713
Ham,local_mean,IG,resnet,50,0.45714285714285713
Ham,local_mean,IG,resnet,60,0.49523809523809526
Ham,local_mean,IG,resnet,70,0.5142857142857142
Ham,local_mean,IG,resnet,80,0.5047619047619047
Ham,local_mean,IG,resnet,90,0.5142857142857142
Ham,local_mean,IG,resnet,100,0.5142857142857142
Ham,local_mean,random2020,resnet,0,0.6476190476190476
Ham,local_mean,random2020,resnet,10,0.6095238095238096
Ham,local_mean,random2020,resnet,20,0.6095238095238096
Ham,local_mean,random2020,resnet,30,0.5523809523809524
Ham,local_mean,random2020,resnet,40,0.6
Ham,local_mean,random2020,resnet,50,0.5619047619047619
Ham,local_mean,random2020,resnet,60,0.5428571428571428
Ham,local_mean,random2020,resnet,70,0.5333333333333333
Ham,local_mean,random2020,resnet,80,0.5238095238095238
Ham,local_mean,random2020,resnet,90,0.5142857142857142
Ham,local_mean,random2020,resnet,100,0.5142857142857142
Ham,global_mean,lime_mrseql,knn,0,0.6
Ham,global_mean,lime_mrseql,knn,10,0.7047619047619048
Ham,global_mean,lime_mrseql,knn,20,0.6285714285714286
Ham,global_mean,lime_mrseql,knn,30,0.6190476190476191
Ham,global_mean,lime_mrseql,knn,40,0.6095238095238096
Ham,global_mean,lime_mrseql,knn,50,0.6285714285714286
Ham,global_mean,lime_mrseql,knn,60,0.5904761904761905
Ham,global_mean,lime_mrseql,knn,70,0.5904761904761905
Ham,global_mean,lime_mrseql,knn,80,0.6
Ham,global_mean,lime_mrseql,knn,90,0.5714285714285714
Ham,global_mean,lime_mrseql,knn,100,0.4857142857142857
Ham,global_mean,mrseql,knn,0,0.6
Ham,global_mean,mrseql,knn,10,0.6476190476190476
Ham,global_mean,mrseql,knn,20,0.6857142857142857
Ham,global_mean,mrseql,knn,30,0.6285714285714286
Ham,global_mean,mrseql,knn,40,0.6476190476190476
Ham,global_mean,mrseql,knn,50,0.580952380952381
Ham,global_mean,mrseql,knn,60,0.6190476190476191
Ham,global_mean,mrseql,knn,70,0.5904761904761905
Ham,global_mean,mrseql,knn,80,0.5428571428571428
Ham,global_mean,mrseql,knn,90,0.5714285714285714
Ham,global_mean,mrseql,knn,100,0.4857142857142857
Ham,global_mean,GS,knn,0,0.6
Ham,global_mean,GS,knn,10,0.5619047619047619
Ham,global_mean,GS,knn,20,0.5714285714285714
Ham,global_mean,GS,knn,30,0.5428571428571428
Ham,global_mean,GS,knn,40,0.5428571428571428
Ham,global_mean,GS,knn,50,0.5619047619047619
Ham,global_mean,GS,knn,60,0.5238095238095238
Ham,global_mean,GS,knn,70,0.5333333333333333
Ham,global_mean,GS,knn,80,0.5047619047619047
Ham,global_mean,GS,knn,90,0.4666666666666667
Ham,global_mean,GS,knn,100,0.4857142857142857
Ham,global_mean,IG,knn,0,0.6
Ham,global_mean,IG,knn,10,0.6666666666666666
Ham,global_mean,IG,knn,20,0.5428571428571428
Ham,global_mean,IG,knn,30,0.5238095238095238
Ham,global_mean,IG,knn,40,0.5333333333333333
Ham,global_mean,IG,knn,50,0.5523809523809524
Ham,global_mean,IG,knn,60,0.4666666666666667
Ham,global_mean,IG,knn,70,0.5142857142857142
Ham,global_mean,IG,knn,80,0.580952380952381
Ham,global_mean,IG,knn,90,0.5047619047619047
Ham,global_mean,IG,knn,100,0.4857142857142857
Ham,global_mean,random2020,knn,0,0.6
Ham,global_mean,random2020,knn,10,0.5904761904761905
Ham,global_mean,random2020,knn,20,0.6
Ham,global_mean,random2020,knn,30,0.580952380952381
Ham,global_mean,random2020,knn,40,0.6761904761904762
Ham,global_mean,random2020,knn,50,0.5523809523809524
Ham,global_mean,random2020,knn,60,0.5714285714285714
Ham,global_mean,random2020,knn,70,0.5142857142857142
Ham,global_mean,random2020,knn,80,0.5047619047619047
Ham,global_mean,random2020,knn,90,0.4666666666666667
Ham,global_mean,random2020,knn,100,0.4857142857142857
Ham,local_mean,lime_mrseql,knn,0,0.6
Ham,local_mean,lime_mrseql,knn,10,0.5904761904761905
Ham,local_mean,lime_mrseql,knn,20,0.5714285714285714
Ham,local_mean,lime_mrseql,knn,30,0.5619047619047619
Ham,local_mean,lime_mrseql,knn,40,0.49523809523809526
Ham,local_mean,lime_mrseql,knn,50,0.5047619047619047
Ham,local_mean,lime_mrseql,knn,60,0.5047619047619047
Ham,local_mean,lime_mrseql,knn,70,0.5047619047619047
Ham,local_mean,lime_mrseql,knn,80,0.45714285714285713
Ham,local_mean,lime_mrseql,knn,90,0.5047619047619047
Ham,local_mean,lime_mrseql,knn,100,0.5142857142857142
Ham,local_mean,mrseql,knn,0,0.6
Ham,local_mean,mrseql,knn,10,0.5333333333333333
Ham,local_mean,mrseql,knn,20,0.5333333333333333
Ham,local_mean,mrseql,knn,30,0.5238095238095238
Ham,local_mean,mrseql,knn,40,0.49523809523809526
Ham,local_mean,mrseql,knn,50,0.5428571428571428
Ham,local_mean,mrseql,knn,60,0.5047619047619047
Ham,local_mean,mrseql,knn,70,0.5714285714285714
Ham,local_mean,mrseql,knn,80,0.5428571428571428
Ham,local_mean,mrseql,knn,90,0.5142857142857142
Ham,local_mean,mrseql,knn,100,0.5142857142857142
Ham,local_mean,GS,knn,0,0.6
Ham,local_mean,GS,knn,10,0.580952380952381
Ham,local_mean,GS,knn,20,0.5904761904761905
Ham,local_mean,GS,knn,30,0.6190476190476191
Ham,local_mean,GS,knn,40,0.580952380952381
Ham,local_mean,GS,knn,50,0.6
Ham,local_mean,GS,knn,60,0.6095238095238096
Ham,local_mean,GS,knn,70,0.6
Ham,local_mean,GS,knn,80,0.5904761904761905
Ham,local_mean,GS,knn,90,0.5238095238095238
Ham,local_mean,GS,knn,100,0.5142857142857142
Ham,local_mean,IG,knn,0,0.6
Ham,local_mean,IG,knn,10,0.5619047619047619
Ham,local_mean,IG,knn,20,0.6095238095238096
Ham,local_mean,IG,knn,30,0.6095238095238096
Ham,local_mean,IG,knn,40,0.580952380952381
Ham,local_mean,IG,knn,50,0.580952380952381
Ham,local_mean,IG,knn,60,0.580952380952381
Ham,local_mean,IG,knn,70,0.5428571428571428
Ham,local_mean,IG,knn,80,0.5428571428571428
Ham,local_mean,IG,knn,90,0.5142857142857142
Ham,local_mean,IG,knn,100,0.5142857142857142
Ham,local_mean,random2020,knn,0,0.6
Ham,local_mean,random2020,knn,10,0.6190476190476191
Ham,local_mean,random2020,knn,20,0.5619047619047619
Ham,local_mean,random2020,knn,30,0.5428571428571428
Ham,local_mean,random2020,knn,40,0.5714285714285714
Ham,local_mean,random2020,knn,50,0.5523809523809524
Ham,local_mean,random2020,knn,60,0.6190476190476191
Ham,local_mean,random2020,knn,70,0.580952380952381
Ham,local_mean,random2020,knn,80,0.5523809523809524
Ham,local_mean,random2020,knn,90,0.5142857142857142
Ham,local_mean,random2020,knn,100,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,0,0.6761904761904762
Ham,global_mean,lime_mrseql,MrSEQLClassifier,10,0.5238095238095238
Ham,global_mean,lime_mrseql,MrSEQLClassifier,20,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,30,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,40,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,50,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,60,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,70,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,80,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,90,0.5142857142857142
Ham,global_mean,lime_mrseql,MrSEQLClassifier,100,0.5142857142857142
Ham,global_mean,mrseql,MrSEQLClassifier,0,0.6761904761904762
Ham,global_mean,mrseql,MrSEQLClassifier,10,0.580952380952381
Ham,global_mean,mrseql,MrSEQLClassifier,20,0.5428571428571428
Ham,global_mean,mrseql,MrSEQLClassifier,30,0.5238095238095238
Ham,global_mean,mrseql,MrSEQLClassifier,40,0.5142857142857142
Ham,global_mean,mrseql,MrSEQLClassifier,50,0.5142857142857142
Ham,global_mean,mrseql,MrSEQLClassifier,60,0.5142857142857142
Ham,global_mean,mrseql,MrSEQLClassifier,70,0.5142857142857142
Ham,global_mean,mrseql,MrSEQLClassifier,80,0.5142857142857142
Ham,global_mean,mrseql,MrSEQLClassifier,90,0.5142857142857142
Ham,global_mean,mrseql,MrSEQLClassifier,100,0.5142857142857142
Ham,global_mean,GS,MrSEQLClassifier,0,0.6761904761904762
Ham,global_mean,GS,MrSEQLClassifier,10,0.580952380952381
Ham,global_mean,GS,MrSEQLClassifier,20,0.5523809523809524
Ham,global_mean,GS,MrSEQLClassifier,30,0.5047619047619047
Ham,global_mean,GS,MrSEQLClassifier,40,0.5142857142857142
Ham,global_mean,GS,MrSEQLClassifier,50,0.5142857142857142
Ham,global_mean,GS,MrSEQLClassifier,60,0.5142857142857142
Ham,global_mean,GS,MrSEQLClassifier,70,0.5142857142857142
Ham,global_mean,GS,MrSEQLClassifier,80,0.5142857142857142
Ham,global_mean,GS,MrSEQLClassifier,90,0.5142857142857142
Ham,global_mean,GS,MrSEQLClassifier,100,0.5142857142857142
Ham,global_mean,IG,MrSEQLClassifier,0,0.6761904761904762
Ham,global_mean,IG,MrSEQLClassifier,10,0.5619047619047619
Ham,global_mean,IG,MrSEQLClassifier,20,0.5523809523809524
Ham,global_mean,IG,MrSEQLClassifier,30,0.5238095238095238
Ham,global_mean,IG,MrSEQLClassifier,40,0.5142857142857142
Ham,global_mean,IG,MrSEQLClassifier,50,0.5142857142857142
Ham,global_mean,IG,MrSEQLClassifier,60,0.5142857142857142
Ham,global_mean,IG,MrSEQLClassifier,70,0.5142857142857142
Ham,global_mean,IG,MrSEQLClassifier,80,0.5142857142857142
Ham,global_mean,IG,MrSEQLClassifier,90,0.5142857142857142
