dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Haptics,global_mean,lime_mrseql,rocket,0,0.5194805194805194
Haptics,global_mean,lime_mrseql,rocket,10,0.30194805194805197
Haptics,global_mean,lime_mrseql,rocket,20,0.25
Haptics,global_mean,lime_mrseql,rocket,30,0.2597402597402597
Haptics,global_mean,lime_mrseql,rocket,40,0.24025974025974026
Haptics,global_mean,lime_mrseql,rocket,50,0.24675324675324675
Haptics,global_mean,lime_mrseql,rocket,60,0.24025974025974026
Haptics,global_mean,lime_mrseql,rocket,70,0.22077922077922077
Haptics,global_mean,lime_mrseql,rocket,80,0.19480519480519481
Haptics,global_mean,lime_mrseql,rocket,90,0.19155844155844157
Haptics,global_mean,lime_mrseql,rocket,100,0.19480519480519481
Haptics,global_mean,mrseql,rocket,0,0.5194805194805194
Haptics,global_mean,mrseql,rocket,10,0.3344155844155844
Haptics,global_mean,mrseql,rocket,20,0.237012987012987
Haptics,global_mean,mrseql,rocket,30,0.21428571428571427
Haptics,global_mean,mrseql,rocket,40,0.20454545454545456
Haptics,global_mean,mrseql,rocket,50,0.19155844155844157
Haptics,global_mean,mrseql,rocket,60,0.18181818181818182
Haptics,global_mean,mrseql,rocket,70,0.18506493506493507
Haptics,global_mean,mrseql,rocket,80,0.18831168831168832
Haptics,global_mean,mrseql,rocket,90,0.18506493506493507
Haptics,global_mean,mrseql,rocket,100,0.19480519480519481
Haptics,global_mean,GS,rocket,0,0.5194805194805194
Haptics,global_mean,GS,rocket,10,0.20454545454545456
Haptics,global_mean,GS,rocket,20,0.19805194805194806
Haptics,global_mean,GS,rocket,30,0.19805194805194806
Haptics,global_mean,GS,rocket,40,0.18831168831168832
Haptics,global_mean,GS,rocket,50,0.16883116883116883
Haptics,global_mean,GS,rocket,60,0.19155844155844157
Haptics,global_mean,GS,rocket,70,0.19155844155844157
Haptics,global_mean,GS,rocket,80,0.16558441558441558
Haptics,global_mean,GS,rocket,90,0.18831168831168832
Haptics,global_mean,GS,rocket,100,0.19480519480519481
Haptics,global_mean,IG,rocket,0,0.5194805194805194
Haptics,global_mean,IG,rocket,10,0.2597402597402597
Haptics,global_mean,IG,rocket,20,0.22402597402597402
Haptics,global_mean,IG,rocket,30,0.19155844155844157
Haptics,global_mean,IG,rocket,40,0.18506493506493507
Haptics,global_mean,IG,rocket,50,0.19155844155844157
Haptics,global_mean,IG,rocket,60,0.19480519480519481
Haptics,global_mean,IG,rocket,70,0.18831168831168832
Haptics,global_mean,IG,rocket,80,0.17207792207792208
Haptics,global_mean,IG,rocket,90,0.19805194805194806
Haptics,global_mean,IG,rocket,100,0.19480519480519481
Haptics,global_mean,random2020,rocket,0,0.5194805194805194
Haptics,global_mean,random2020,rocket,10,0.19155844155844157
Haptics,global_mean,random2020,rocket,20,0.18831168831168832
Haptics,global_mean,random2020,rocket,30,0.18831168831168832
Haptics,global_mean,random2020,rocket,40,0.19155844155844157
Haptics,global_mean,random2020,rocket,50,0.19155844155844157
Haptics,global_mean,random2020,rocket,60,0.19155844155844157
Haptics,global_mean,random2020,rocket,70,0.19155844155844157
Haptics,global_mean,random2020,rocket,80,0.19155844155844157
Haptics,global_mean,random2020,rocket,90,0.19155844155844157
Haptics,global_mean,random2020,rocket,100,0.19480519480519481
Haptics,local_mean,lime_mrseql,rocket,0,0.5194805194805194
Haptics,local_mean,lime_mrseql,rocket,10,0.44155844155844154
Haptics,local_mean,lime_mrseql,rocket,20,0.4383116883116883
Haptics,local_mean,lime_mrseql,rocket,30,0.4090909090909091
Haptics,local_mean,lime_mrseql,rocket,40,0.39285714285714285
Haptics,local_mean,lime_mrseql,rocket,50,0.38636363636363635
Haptics,local_mean,lime_mrseql,rocket,60,0.36038961038961037
Haptics,local_mean,lime_mrseql,rocket,70,0.3116883116883117
Haptics,local_mean,lime_mrseql,rocket,80,0.2922077922077922
Haptics,local_mean,lime_mrseql,rocket,90,0.275974025974026
Haptics,local_mean,lime_mrseql,rocket,100,0.2077922077922078
Haptics,local_mean,mrseql,rocket,0,0.5194805194805194
