dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
ItalyPowerDemand,global_mean,lime_mrseql,rocket,0,0.967930029154519
ItalyPowerDemand,global_mean,lime_mrseql,rocket,10,0.9280855199222546
ItalyPowerDemand,global_mean,lime_mrseql,rocket,20,0.8901846452866861
ItalyPowerDemand,global_mean,lime_mrseql,rocket,30,0.8396501457725948
ItalyPowerDemand,global_mean,lime_mrseql,rocket,40,0.8124392614188533
ItalyPowerDemand,global_mean,lime_mrseql,rocket,50,0.749271137026239
ItalyPowerDemand,global_mean,lime_mrseql,rocket,60,0.7045675413022352
ItalyPowerDemand,global_mean,lime_mrseql,rocket,70,0.5364431486880467
ItalyPowerDemand,global_mean,lime_mrseql,rocket,80,0.478134110787172
ItalyPowerDemand,global_mean,lime_mrseql,rocket,90,0.47619047619047616
ItalyPowerDemand,global_mean,lime_mrseql,rocket,100,0.49854227405247814
ItalyPowerDemand,global_mean,mrseql,rocket,0,0.967930029154519
ItalyPowerDemand,global_mean,mrseql,rocket,10,0.892128279883382
ItalyPowerDemand,global_mean,mrseql,rocket,20,0.8299319727891157
ItalyPowerDemand,global_mean,mrseql,rocket,30,0.6890184645286687
ItalyPowerDemand,global_mean,mrseql,rocket,40,0.6336248785228377
ItalyPowerDemand,global_mean,mrseql,rocket,50,0.6345966958211856
ItalyPowerDemand,global_mean,mrseql,rocket,60,0.6491739552964043
ItalyPowerDemand,global_mean,mrseql,rocket,70,0.6472303206997084
ItalyPowerDemand,global_mean,mrseql,rocket,80,0.5908649173955296
ItalyPowerDemand,global_mean,mrseql,rocket,90,0.5276967930029155
ItalyPowerDemand,global_mean,mrseql,rocket,100,0.49854227405247814
ItalyPowerDemand,global_mean,GS,rocket,0,0.967930029154519
ItalyPowerDemand,global_mean,GS,rocket,10,0.5335276967930029
ItalyPowerDemand,global_mean,GS,rocket,20,0.5131195335276968
ItalyPowerDemand,global_mean,GS,rocket,30,0.5082604470359572
ItalyPowerDemand,global_mean,GS,rocket,40,0.48882410106899904
ItalyPowerDemand,global_mean,GS,rocket,50,0.49854227405247814
ItalyPowerDemand,global_mean,GS,rocket,60,0.49076773566569487
ItalyPowerDemand,global_mean,GS,rocket,70,0.4859086491739553
ItalyPowerDemand,global_mean,GS,rocket,80,0.4849368318756074
ItalyPowerDemand,global_mean,GS,rocket,90,0.4557823129251701
ItalyPowerDemand,global_mean,GS,rocket,100,0.49854227405247814
ItalyPowerDemand,global_mean,IG,rocket,0,0.967930029154519
ItalyPowerDemand,global_mean,IG,rocket,10,0.500485908649174
ItalyPowerDemand,global_mean,IG,rocket,20,0.4975704567541302
ItalyPowerDemand,global_mean,IG,rocket,30,0.5053449951409135
ItalyPowerDemand,global_mean,IG,rocket,40,0.4936831875607386
ItalyPowerDemand,global_mean,IG,rocket,50,0.49271137026239065
ItalyPowerDemand,global_mean,IG,rocket,60,0.49173955296404276
ItalyPowerDemand,global_mean,IG,rocket,70,0.48299319727891155
ItalyPowerDemand,global_mean,IG,rocket,80,0.4684159378036929
ItalyPowerDemand,global_mean,IG,rocket,90,0.42759961127308066
ItalyPowerDemand,global_mean,IG,rocket,100,0.49854227405247814
ItalyPowerDemand,global_mean,random2020,rocket,0,0.967930029154519
ItalyPowerDemand,global_mean,random2020,rocket,10,0.9222546161321672
ItalyPowerDemand,global_mean,random2020,rocket,20,0.8843537414965986
