dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Meat,global_mean,lime_rocket,rocket,0,0.95
Meat,global_mean,lime_rocket,rocket,10,0.3
Meat,global_mean,lime_rocket,rocket,20,0.31666666666666665
Meat,global_mean,lime_rocket,rocket,30,0.25
Meat,global_mean,lime_rocket,rocket,40,0.4166666666666667
Meat,global_mean,lime_rocket,rocket,50,0.36666666666666664
Meat,global_mean,lime_rocket,rocket,60,0.38333333333333336
Meat,global_mean,lime_rocket,rocket,70,0.38333333333333336
Meat,global_mean,lime_rocket,rocket,80,0.31666666666666665
Meat,global_mean,lime_rocket,rocket,90,0.3333333333333333
Meat,global_mean,lime_rocket,rocket,100,0.3333333333333333
Meat,local_mean,lime_rocket,rocket,0,0.95
Meat,local_mean,lime_rocket,rocket,10,0.7666666666666667
Meat,local_mean,lime_rocket,rocket,20,0.6166666666666667
Meat,local_mean,lime_rocket,rocket,30,0.5333333333333333
Meat,local_mean,lime_rocket,rocket,40,0.4666666666666667
Meat,local_mean,lime_rocket,rocket,50,0.36666666666666664
Meat,local_mean,lime_rocket,rocket,60,0.35
Meat,local_mean,lime_rocket,rocket,70,0.3333333333333333
Meat,local_mean,lime_rocket,rocket,80,0.3333333333333333
Meat,local_mean,lime_rocket,rocket,90,0.3333333333333333
Meat,local_mean,lime_rocket,rocket,100,0.3333333333333333
Meat,global_mean,lime_rocket,resnet,0,0.7
Meat,global_mean,lime_rocket,resnet,10,0.7
Meat,global_mean,lime_rocket,resnet,20,0.65
Meat,global_mean,lime_rocket,resnet,30,0.6333333333333333
Meat,global_mean,lime_rocket,resnet,40,0.6166666666666667
Meat,global_mean,lime_rocket,resnet,50,0.6166666666666667
Meat,global_mean,lime_rocket,resnet,60,0.6
Meat,global_mean,lime_rocket,resnet,70,0.5666666666666667
Meat,global_mean,lime_rocket,resnet,80,0.5166666666666667
Meat,global_mean,lime_rocket,resnet,90,0.36666666666666664
Meat,global_mean,lime_rocket,resnet,100,0.3333333333333333
Meat,local_mean,lime_rocket,resnet,0,0.7
Meat,local_mean,lime_rocket,resnet,10,0.7
Meat,local_mean,lime_rocket,resnet,20,0.7
Meat,local_mean,lime_rocket,resnet,30,0.6666666666666666
Meat,local_mean,lime_rocket,resnet,40,0.6833333333333333
Meat,local_mean,lime_rocket,resnet,50,0.65
Meat,local_mean,lime_rocket,resnet,60,0.6166666666666667
Meat,local_mean,lime_rocket,resnet,70,0.5
Meat,local_mean,lime_rocket,resnet,80,0.5166666666666667
Meat,local_mean,lime_rocket,resnet,90,0.4166666666666667
Meat,local_mean,lime_rocket,resnet,100,0.3333333333333333
Meat,global_mean,lime_rocket,knn,0,0.9333333333333333
Meat,global_mean,lime_rocket,knn,10,0.3333333333333333
Meat,global_mean,lime_rocket,knn,20,0.35
Meat,global_mean,lime_rocket,knn,30,0.35
Meat,global_mean,lime_rocket,knn,40,0.4166666666666667
Meat,global_mean,lime_rocket,knn,50,0.4
Meat,global_mean,lime_rocket,knn,60,0.36666666666666664
Meat,global_mean,lime_rocket,knn,70,0.38333333333333336
Meat,global_mean,lime_rocket,knn,80,0.4
Meat,global_mean,lime_rocket,knn,90,0.4
Meat,global_mean,lime_rocket,knn,100,0.3333333333333333
Meat,local_mean,lime_rocket,knn,0,0.9333333333333333
Meat,local_mean,lime_rocket,knn,10,0.6
Meat,local_mean,lime_rocket,knn,20,0.43333333333333335
Meat,local_mean,lime_rocket,knn,30,0.38333333333333336
Meat,local_mean,lime_rocket,knn,40,0.38333333333333336
Meat,local_mean,lime_rocket,knn,50,0.35
Meat,local_mean,lime_rocket,knn,60,0.3333333333333333
Meat,local_mean,lime_rocket,knn,70,0.3333333333333333
Meat,local_mean,lime_rocket,knn,80,0.35
Meat,local_mean,lime_rocket,knn,90,0.3333333333333333
Meat,local_mean,lime_rocket,knn,100,0.3333333333333333
Meat,global_mean,lime_rocket,MrSEQLClassifier,0,0.9166666666666666
Meat,global_mean,lime_rocket,MrSEQLClassifier,10,0.8333333333333334
Meat,global_mean,lime_rocket,MrSEQLClassifier,20,0.8166666666666667
Meat,global_mean,lime_rocket,MrSEQLClassifier,30,0.8
Meat,global_mean,lime_rocket,MrSEQLClassifier,40,0.6833333333333333
Meat,global_mean,lime_rocket,MrSEQLClassifier,50,0.7
Meat,global_mean,lime_rocket,MrSEQLClassifier,60,0.5666666666666667
Meat,global_mean,lime_rocket,MrSEQLClassifier,70,0.4
Meat,global_mean,lime_rocket,MrSEQLClassifier,80,0.4
Meat,global_mean,lime_rocket,MrSEQLClassifier,90,0.31666666666666665
Meat,global_mean,lime_rocket,MrSEQLClassifier,100,0.3333333333333333
Meat,local_mean,lime_rocket,MrSEQLClassifier,0,0.9166666666666666
Meat,local_mean,lime_rocket,MrSEQLClassifier,10,0.6
Meat,local_mean,lime_rocket,MrSEQLClassifier,20,0.5833333333333334
Meat,local_mean,lime_rocket,MrSEQLClassifier,30,0.5833333333333334
Meat,local_mean,lime_rocket,MrSEQLClassifier,40,0.5666666666666667
Meat,local_mean,lime_rocket,MrSEQLClassifier,50,0.5666666666666667
Meat,local_mean,lime_rocket,MrSEQLClassifier,60,0.5166666666666667
Meat,local_mean,lime_rocket,MrSEQLClassifier,70,0.4666666666666667
Meat,local_mean,lime_rocket,MrSEQLClassifier,80,0.43333333333333335
Meat,local_mean,lime_rocket,MrSEQLClassifier,90,0.38333333333333336
Meat,local_mean,lime_rocket,MrSEQLClassifier,100,0.3333333333333333
