dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
MoteStrain,global_mean,lime_rocket,rocket,0,0.9145367412140575
MoteStrain,global_mean,lime_rocket,rocket,10,0.7308306709265175
MoteStrain,global_mean,lime_rocket,rocket,20,0.6381789137380192
MoteStrain,global_mean,lime_rocket,rocket,30,0.5471246006389776
MoteStrain,global_mean,lime_rocket,rocket,40,0.48083067092651754
MoteStrain,global_mean,lime_rocket,rocket,50,0.4185303514376997
MoteStrain,global_mean,lime_rocket,rocket,60,0.39217252396166136
MoteStrain,global_mean,lime_rocket,rocket,70,0.36182108626198084
MoteStrain,global_mean,lime_rocket,rocket,80,0.34345047923322686
MoteStrain,global_mean,lime_rocket,rocket,90,0.4225239616613419
MoteStrain,global_mean,lime_rocket,rocket,100,0.46086261980830673
MoteStrain,local_mean,lime_rocket,rocket,0,0.9145367412140575
MoteStrain,local_mean,lime_rocket,rocket,10,0.8666134185303515
MoteStrain,local_mean,lime_rocket,rocket,20,0.8138977635782748
MoteStrain,local_mean,lime_rocket,rocket,30,0.7699680511182109
MoteStrain,local_mean,lime_rocket,rocket,40,0.7404153354632588
MoteStrain,local_mean,lime_rocket,rocket,50,0.6813099041533547
MoteStrain,local_mean,lime_rocket,rocket,60,0.6381789137380192
MoteStrain,local_mean,lime_rocket,rocket,70,0.5822683706070287
MoteStrain,local_mean,lime_rocket,rocket,80,0.5007987220447284
MoteStrain,local_mean,lime_rocket,rocket,90,0.4169329073482428
MoteStrain,local_mean,lime_rocket,rocket,100,0.46086261980830673
MoteStrain,global_mean,lime_rocket,resnet,0,0.8003194888178914
MoteStrain,global_mean,lime_rocket,resnet,10,0.7420127795527156
MoteStrain,global_mean,lime_rocket,resnet,20,0.689297124600639
MoteStrain,global_mean,lime_rocket,resnet,30,0.6405750798722045
MoteStrain,global_mean,lime_rocket,resnet,40,0.603035143769968
MoteStrain,global_mean,lime_rocket,resnet,50,0.5471246006389776
MoteStrain,global_mean,lime_rocket,resnet,60,0.5103833865814696
MoteStrain,global_mean,lime_rocket,resnet,70,0.4720447284345048
MoteStrain,global_mean,lime_rocket,resnet,80,0.4496805111821086
MoteStrain,global_mean,lime_rocket,resnet,90,0.4528753993610224
MoteStrain,global_mean,lime_rocket,resnet,100,0.46086261980830673
MoteStrain,local_mean,lime_rocket,resnet,0,0.8003194888178914
MoteStrain,local_mean,lime_rocket,resnet,10,0.7571884984025559
MoteStrain,local_mean,lime_rocket,resnet,20,0.7148562300319489
MoteStrain,local_mean,lime_rocket,resnet,30,0.6653354632587859
MoteStrain,local_mean,lime_rocket,resnet,40,0.6126198083067093
MoteStrain,local_mean,lime_rocket,resnet,50,0.5662939297124601
MoteStrain,local_mean,lime_rocket,resnet,60,0.5295527156549521
MoteStrain,local_mean,lime_rocket,resnet,70,0.4928115015974441
MoteStrain,local_mean,lime_rocket,resnet,80,0.4488817891373802
MoteStrain,local_mean,lime_rocket,resnet,90,0.4281150159744409
MoteStrain,local_mean,lime_rocket,resnet,100,0.46086261980830673
MoteStrain,global_mean,lime_rocket,knn,0,0.8785942492012779
MoteStrain,global_mean,lime_rocket,knn,10,0.8338658146964856
MoteStrain,global_mean,lime_rocket,knn,20,0.768370607028754
MoteStrain,global_mean,lime_rocket,knn,30,0.7276357827476039
MoteStrain,global_mean,lime_rocket,knn,40,0.6813099041533547
MoteStrain,global_mean,lime_rocket,knn,50,0.6206070287539937
MoteStrain,global_mean,lime_rocket,knn,60,0.5886581469648562
MoteStrain,global_mean,lime_rocket,knn,70,0.5327476038338658
MoteStrain,global_mean,lime_rocket,knn,80,0.46166134185303515
MoteStrain,global_mean,lime_rocket,knn,90,0.4185303514376997
MoteStrain,global_mean,lime_rocket,knn,100,0.5391373801916933
MoteStrain,local_mean,lime_rocket,knn,0,0.8785942492012779
MoteStrain,local_mean,lime_rocket,knn,10,0.8674121405750799
MoteStrain,local_mean,lime_rocket,knn,20,0.8618210862619808
MoteStrain,local_mean,lime_rocket,knn,30,0.8538338658146964
MoteStrain,local_mean,lime_rocket,knn,40,0.8394568690095847
MoteStrain,local_mean,lime_rocket,knn,50,0.8091054313099042
MoteStrain,local_mean,lime_rocket,knn,60,0.7827476038338658
MoteStrain,local_mean,lime_rocket,knn,70,0.75
MoteStrain,local_mean,lime_rocket,knn,80,0.7028753993610224
MoteStrain,local_mean,lime_rocket,knn,90,0.6118210862619808
MoteStrain,local_mean,lime_rocket,knn,100,0.5391373801916933
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,0,0.8937699680511182
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,10,0.8386581469648562
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,20,0.8123003194888179
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,30,0.7507987220447284
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,40,0.6589456869009584
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,50,0.5894568690095847
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,60,0.5295527156549521
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,70,0.48482428115015974
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,80,0.46166134185303515
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,90,0.46086261980830673
MoteStrain,global_mean,lime_rocket,MrSEQLClassifier,100,0.46086261980830673
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,0,0.8937699680511182
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,10,0.8674121405750799
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,20,0.8498402555910544
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,30,0.8067092651757188
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,40,0.7635782747603834
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,50,0.7164536741214057
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,60,0.6669329073482428
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,70,0.6126198083067093
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,80,0.5814696485623003
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,90,0.5487220447284346
MoteStrain,local_mean,lime_rocket,MrSEQLClassifier,100,0.5391373801916933
