dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,0,1.0
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,10,0.91
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,20,0.73
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,30,0.72
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,40,0.66
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,50,0.69
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,60,0.72
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,70,0.66
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,80,0.67
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,90,0.6
Moving_RareTime_CAR,global_mean,lime_mrseql,rocket,100,0.45
Moving_RareTime_CAR,global_mean,mrseql,rocket,0,1.0
Moving_RareTime_CAR,global_mean,mrseql,rocket,10,0.99
Moving_RareTime_CAR,global_mean,mrseql,rocket,20,0.89
Moving_RareTime_CAR,global_mean,mrseql,rocket,30,0.85
Moving_RareTime_CAR,global_mean,mrseql,rocket,40,0.87
Moving_RareTime_CAR,global_mean,mrseql,rocket,50,0.89
Moving_RareTime_CAR,global_mean,mrseql,rocket,60,0.82
Moving_RareTime_CAR,global_mean,mrseql,rocket,70,0.75
Moving_RareTime_CAR,global_mean,mrseql,rocket,80,0.64
Moving_RareTime_CAR,global_mean,mrseql,rocket,90,0.51
Moving_RareTime_CAR,global_mean,mrseql,rocket,100,0.45
Moving_RareTime_CAR,global_mean,GS,rocket,0,1.0
Moving_RareTime_CAR,global_mean,GS,rocket,10,0.55
Moving_RareTime_CAR,global_mean,GS,rocket,20,0.47
Moving_RareTime_CAR,global_mean,GS,rocket,30,0.4
Moving_RareTime_CAR,global_mean,GS,rocket,40,0.49
Moving_RareTime_CAR,global_mean,GS,rocket,50,0.43
Moving_RareTime_CAR,global_mean,GS,rocket,60,0.43
Moving_RareTime_CAR,global_mean,GS,rocket,70,0.43
Moving_RareTime_CAR,global_mean,GS,rocket,80,0.46
Moving_RareTime_CAR,global_mean,GS,rocket,90,0.45
Moving_RareTime_CAR,global_mean,GS,rocket,100,0.45
Moving_RareTime_CAR,global_mean,IG,rocket,0,1.0
Moving_RareTime_CAR,global_mean,IG,rocket,10,0.55
Moving_RareTime_CAR,global_mean,IG,rocket,20,0.47
Moving_RareTime_CAR,global_mean,IG,rocket,30,0.44
Moving_RareTime_CAR,global_mean,IG,rocket,40,0.5
Moving_RareTime_CAR,global_mean,IG,rocket,50,0.52
Moving_RareTime_CAR,global_mean,IG,rocket,60,0.43
Moving_RareTime_CAR,global_mean,IG,rocket,70,0.46
Moving_RareTime_CAR,global_mean,IG,rocket,80,0.44
Moving_RareTime_CAR,global_mean,IG,rocket,90,0.45
Moving_RareTime_CAR,global_mean,IG,rocket,100,0.45
Moving_RareTime_CAR,global_mean,random2020,rocket,0,1.0
Moving_RareTime_CAR,global_mean,random2020,rocket,10,1.0
Moving_RareTime_CAR,global_mean,random2020,rocket,20,1.0
Moving_RareTime_CAR,global_mean,random2020,rocket,30,0.99
Moving_RareTime_CAR,global_mean,random2020,rocket,40,0.99
Moving_RareTime_CAR,global_mean,random2020,rocket,50,0.98
Moving_RareTime_CAR,global_mean,random2020,rocket,60,0.96
Moving_RareTime_CAR,global_mean,random2020,rocket,70,0.93
Moving_RareTime_CAR,global_mean,random2020,rocket,80,0.82
Moving_RareTime_CAR,global_mean,random2020,rocket,90,0.66
Moving_RareTime_CAR,global_mean,random2020,rocket,100,0.45
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,0,1.0
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,10,0.92
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,20,0.74
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,30,0.7
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,40,0.67
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,50,0.7
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,60,0.75
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,70,0.7
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,80,0.69
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,90,0.6
Moving_RareTime_CAR,local_mean,lime_mrseql,rocket,100,0.45
Moving_RareTime_CAR,local_mean,mrseql,rocket,0,1.0
Moving_RareTime_CAR,local_mean,mrseql,rocket,10,0.97
Moving_RareTime_CAR,local_mean,mrseql,rocket,20,0.88
Moving_RareTime_CAR,local_mean,mrseql,rocket,30,0.82
Moving_RareTime_CAR,local_mean,mrseql,rocket,40,0.85
Moving_RareTime_CAR,local_mean,mrseql,rocket,50,0.86
Moving_RareTime_CAR,local_mean,mrseql,rocket,60,0.82
Moving_RareTime_CAR,local_mean,mrseql,rocket,70,0.73
Moving_RareTime_CAR,local_mean,mrseql,rocket,80,0.59
Moving_RareTime_CAR,local_mean,mrseql,rocket,90,0.53
Moving_RareTime_CAR,local_mean,mrseql,rocket,100,0.45
Moving_RareTime_CAR,local_mean,GS,rocket,0,1.0
Moving_RareTime_CAR,local_mean,GS,rocket,10,0.54
