dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Plane,global_mean,lime_rocket,rocket,0,1.0
Plane,global_mean,lime_rocket,rocket,10,0.780952380952381
Plane,global_mean,lime_rocket,rocket,20,0.6952380952380952
Plane,global_mean,lime_rocket,rocket,30,0.5047619047619047
Plane,global_mean,lime_rocket,rocket,40,0.3904761904761905
Plane,global_mean,lime_rocket,rocket,50,0.24761904761904763
Plane,global_mean,lime_rocket,rocket,60,0.22857142857142856
Plane,global_mean,lime_rocket,rocket,70,0.20952380952380953
Plane,global_mean,lime_rocket,rocket,80,0.2
Plane,global_mean,lime_rocket,rocket,90,0.23809523809523808
Plane,global_mean,lime_rocket,rocket,100,0.14285714285714285
Plane,local_mean,lime_rocket,rocket,0,1.0
Plane,local_mean,lime_rocket,rocket,10,0.8952380952380953
Plane,local_mean,lime_rocket,rocket,20,0.8380952380952381
Plane,local_mean,lime_rocket,rocket,30,0.7142857142857143
Plane,local_mean,lime_rocket,rocket,40,0.5904761904761905
Plane,local_mean,lime_rocket,rocket,50,0.4857142857142857
Plane,local_mean,lime_rocket,rocket,60,0.49523809523809526
Plane,local_mean,lime_rocket,rocket,70,0.3619047619047619
Plane,local_mean,lime_rocket,rocket,80,0.3142857142857143
Plane,local_mean,lime_rocket,rocket,90,0.24761904761904763
Plane,local_mean,lime_rocket,rocket,100,0.2
Plane,global_mean,lime_rocket,resnet,0,0.8666666666666667
Plane,global_mean,lime_rocket,resnet,10,0.6761904761904762
Plane,global_mean,lime_rocket,resnet,20,0.6
Plane,global_mean,lime_rocket,resnet,30,0.5238095238095238
Plane,global_mean,lime_rocket,resnet,40,0.44761904761904764
Plane,global_mean,lime_rocket,resnet,50,0.4095238095238095
Plane,global_mean,lime_rocket,resnet,60,0.3142857142857143
Plane,global_mean,lime_rocket,resnet,70,0.21904761904761905
Plane,global_mean,lime_rocket,resnet,80,0.17142857142857143
Plane,global_mean,lime_rocket,resnet,90,0.09523809523809523
Plane,global_mean,lime_rocket,resnet,100,0.2
Plane,local_mean,lime_rocket,resnet,0,0.8666666666666667
Plane,local_mean,lime_rocket,resnet,10,0.7238095238095238
Plane,local_mean,lime_rocket,resnet,20,0.6571428571428571
Plane,local_mean,lime_rocket,resnet,30,0.6285714285714286
Plane,local_mean,lime_rocket,resnet,40,0.5523809523809524
Plane,local_mean,lime_rocket,resnet,50,0.49523809523809526
Plane,local_mean,lime_rocket,resnet,60,0.41904761904761906
Plane,local_mean,lime_rocket,resnet,70,0.3333333333333333
Plane,local_mean,lime_rocket,resnet,80,0.2761904761904762
Plane,local_mean,lime_rocket,resnet,90,0.21904761904761905
Plane,local_mean,lime_rocket,resnet,100,0.2
Plane,global_mean,lime_rocket,knn,0,0.9619047619047619
Plane,global_mean,lime_rocket,knn,10,0.8666666666666667
Plane,global_mean,lime_rocket,knn,20,0.8285714285714286
Plane,global_mean,lime_rocket,knn,30,0.8
Plane,global_mean,lime_rocket,knn,40,0.7142857142857143
Plane,global_mean,lime_rocket,knn,50,0.7238095238095238
Plane,global_mean,lime_rocket,knn,60,0.6476190476190476
Plane,global_mean,lime_rocket,knn,70,0.5714285714285714
Plane,global_mean,lime_rocket,knn,80,0.4666666666666667
Plane,global_mean,lime_rocket,knn,90,0.3047619047619048
Plane,global_mean,lime_rocket,knn,100,0.11428571428571428
Plane,local_mean,lime_rocket,knn,0,0.9619047619047619
Plane,local_mean,lime_rocket,knn,10,0.9047619047619048
Plane,local_mean,lime_rocket,knn,20,0.8952380952380953
Plane,local_mean,lime_rocket,knn,30,0.819047619047619
Plane,local_mean,lime_rocket,knn,40,0.7142857142857143
Plane,local_mean,lime_rocket,knn,50,0.6285714285714286
Plane,local_mean,lime_rocket,knn,60,0.4857142857142857
Plane,local_mean,lime_rocket,knn,70,0.3619047619047619
Plane,local_mean,lime_rocket,knn,80,0.22857142857142856
Plane,local_mean,lime_rocket,knn,90,0.17142857142857143
Plane,local_mean,lime_rocket,knn,100,0.11428571428571428
Plane,global_mean,lime_rocket,MrSEQLClassifier,0,1.0
Plane,global_mean,lime_rocket,MrSEQLClassifier,10,0.9523809523809523
Plane,global_mean,lime_rocket,MrSEQLClassifier,20,0.8952380952380953
Plane,global_mean,lime_rocket,MrSEQLClassifier,30,0.8380952380952381
Plane,global_mean,lime_rocket,MrSEQLClassifier,40,0.6476190476190476
Plane,global_mean,lime_rocket,MrSEQLClassifier,50,0.5142857142857142
Plane,global_mean,lime_rocket,MrSEQLClassifier,60,0.4095238095238095
Plane,global_mean,lime_rocket,MrSEQLClassifier,70,0.3047619047619048
Plane,global_mean,lime_rocket,MrSEQLClassifier,80,0.24761904761904763
Plane,global_mean,lime_rocket,MrSEQLClassifier,90,0.20952380952380953
Plane,global_mean,lime_rocket,MrSEQLClassifier,100,0.1619047619047619
Plane,local_mean,lime_rocket,MrSEQLClassifier,0,1.0
Plane,local_mean,lime_rocket,MrSEQLClassifier,10,1.0
Plane,local_mean,lime_rocket,MrSEQLClassifier,20,0.9333333333333333
Plane,local_mean,lime_rocket,MrSEQLClassifier,30,0.8380952380952381
Plane,local_mean,lime_rocket,MrSEQLClassifier,40,0.7333333333333333
Plane,local_mean,lime_rocket,MrSEQLClassifier,50,0.6
Plane,local_mean,lime_rocket,MrSEQLClassifier,60,0.49523809523809526
Plane,local_mean,lime_rocket,MrSEQLClassifier,70,0.3142857142857143
Plane,local_mean,lime_rocket,MrSEQLClassifier,80,0.21904761904761905
