dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,0,1.0
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,10,1.0
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,20,0.96
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,30,0.91
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,40,0.9
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,50,0.83
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,60,0.79
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,70,0.71
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,80,0.65
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,90,0.59
PostionalFeature_PseudoPeriodic,global_mean,lime_mrseql,rocket,100,0.51
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,0,1.0
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,10,1.0
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,20,0.97
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,30,0.88
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,40,0.86
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,50,0.95
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,60,0.95
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,70,0.92
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,80,0.87
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,90,0.7
PostionalFeature_PseudoPeriodic,global_mean,mrseql,rocket,100,0.51
PostionalFeature_PseudoPeriodic,global_mean,GS,rocket,0,1.0
PostionalFeature_PseudoPeriodic,global_mean,GS,rocket,10,0.97
PostionalFeature_PseudoPeriodic,global_mean,GS,rocket,20,0.81
PostionalFeature_PseudoPeriodic,global_mean,GS,rocket,30,0.64
PostionalFeature_PseudoPeriodic,global_mean,GS,rocket,40,0.54
