dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
PowerCons,global_mean,lime_mrseql,rocket,0,0.9555555555555556
PowerCons,global_mean,lime_mrseql,rocket,10,0.8333333333333334
PowerCons,global_mean,lime_mrseql,rocket,20,0.7166666666666667
PowerCons,global_mean,lime_mrseql,rocket,30,0.65
PowerCons,global_mean,lime_mrseql,rocket,40,0.5222222222222223
PowerCons,global_mean,lime_mrseql,rocket,50,0.48333333333333334
PowerCons,global_mean,lime_mrseql,rocket,60,0.4444444444444444
PowerCons,global_mean,lime_mrseql,rocket,70,0.4722222222222222
PowerCons,global_mean,lime_mrseql,rocket,80,0.4722222222222222
PowerCons,global_mean,lime_mrseql,rocket,90,0.46111111111111114
PowerCons,global_mean,lime_mrseql,rocket,100,0.5
PowerCons,global_mean,mrseql,rocket,0,0.9555555555555556
PowerCons,global_mean,mrseql,rocket,10,0.9222222222222223
PowerCons,global_mean,mrseql,rocket,20,0.9166666666666666
PowerCons,global_mean,mrseql,rocket,30,0.8
PowerCons,global_mean,mrseql,rocket,40,0.6666666666666666
PowerCons,global_mean,mrseql,rocket,50,0.6055555555555555
PowerCons,global_mean,mrseql,rocket,60,0.5444444444444444
PowerCons,global_mean,mrseql,rocket,70,0.4666666666666667
PowerCons,global_mean,mrseql,rocket,80,0.4777777777777778
PowerCons,global_mean,mrseql,rocket,90,0.5166666666666667
PowerCons,global_mean,mrseql,rocket,100,0.5
PowerCons,global_mean,GS,rocket,0,0.9555555555555556
PowerCons,global_mean,GS,rocket,10,0.8333333333333334
PowerCons,global_mean,GS,rocket,20,0.7722222222222223
PowerCons,global_mean,GS,rocket,30,0.7555555555555555
PowerCons,global_mean,GS,rocket,40,0.7055555555555556
PowerCons,global_mean,GS,rocket,50,0.6333333333333333
PowerCons,global_mean,GS,rocket,60,0.5333333333333333
PowerCons,global_mean,GS,rocket,70,0.4888888888888889
PowerCons,global_mean,GS,rocket,80,0.4777777777777778
PowerCons,global_mean,GS,rocket,90,0.4888888888888889
PowerCons,global_mean,GS,rocket,100,0.5
PowerCons,global_mean,IG,rocket,0,0.9555555555555556
PowerCons,global_mean,IG,rocket,10,0.8166666666666667
PowerCons,global_mean,IG,rocket,20,0.7555555555555555
PowerCons,global_mean,IG,rocket,30,0.7777777777777778
PowerCons,global_mean,IG,rocket,40,0.6777777777777778
PowerCons,global_mean,IG,rocket,50,0.6
PowerCons,global_mean,IG,rocket,60,0.5333333333333333
PowerCons,global_mean,IG,rocket,70,0.4777777777777778
PowerCons,global_mean,IG,rocket,80,0.4777777777777778
PowerCons,global_mean,IG,rocket,90,0.48333333333333334
PowerCons,global_mean,IG,rocket,100,0.5
PowerCons,global_mean,random2020,rocket,0,0.9555555555555556
PowerCons,global_mean,random2020,rocket,10,0.9277777777777778
PowerCons,global_mean,random2020,rocket,20,0.8833333333333333
PowerCons,global_mean,random2020,rocket,30,0.8444444444444444
PowerCons,global_mean,random2020,rocket,40,0.8
PowerCons,global_mean,random2020,rocket,50,0.7166666666666667
PowerCons,global_mean,random2020,rocket,60,0.6611111111111111
PowerCons,global_mean,random2020,rocket,70,0.48333333333333334
PowerCons,global_mean,random2020,rocket,80,0.4388888888888889
PowerCons,global_mean,random2020,rocket,90,0.43333333333333335
PowerCons,global_mean,random2020,rocket,100,0.5
PowerCons,local_mean,lime_mrseql,rocket,0,0.9555555555555556
PowerCons,local_mean,lime_mrseql,rocket,10,0.8555555555555555
PowerCons,local_mean,lime_mrseql,rocket,20,0.7777777777777778
PowerCons,local_mean,lime_mrseql,rocket,30,0.7111111111111111
PowerCons,local_mean,lime_mrseql,rocket,40,0.6611111111111111
PowerCons,local_mean,lime_mrseql,rocket,50,0.5944444444444444
PowerCons,local_mean,lime_mrseql,rocket,60,0.5611111111111111
PowerCons,local_mean,lime_mrseql,rocket,70,0.5222222222222223
PowerCons,local_mean,lime_mrseql,rocket,80,0.5333333333333333
PowerCons,local_mean,lime_mrseql,rocket,90,0.5388888888888889
PowerCons,local_mean,lime_mrseql,rocket,100,0.5
PowerCons,local_mean,mrseql,rocket,0,0.9555555555555556
PowerCons,local_mean,mrseql,rocket,10,0.9611111111111111
PowerCons,local_mean,mrseql,rocket,20,0.9222222222222223
PowerCons,local_mean,mrseql,rocket,30,0.8222222222222222
PowerCons,local_mean,mrseql,rocket,40,0.7222222222222222
PowerCons,local_mean,mrseql,rocket,50,0.7222222222222222
PowerCons,local_mean,mrseql,rocket,60,0.6111111111111112
PowerCons,local_mean,mrseql,rocket,70,0.5611111111111111
PowerCons,local_mean,mrseql,rocket,80,0.5055555555555555
PowerCons,local_mean,mrseql,rocket,90,0.48333333333333334
PowerCons,local_mean,mrseql,rocket,100,0.5
PowerCons,local_mean,GS,rocket,0,0.9555555555555556
PowerCons,local_mean,GS,rocket,10,0.9
PowerCons,local_mean,GS,rocket,20,0.8777777777777778
