dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
RareTime_CAR,global_mean,lime_mrseql,rocket,0,1.0
RareTime_CAR,global_mean,lime_mrseql,rocket,10,1.0
RareTime_CAR,global_mean,lime_mrseql,rocket,20,0.57
RareTime_CAR,global_mean,lime_mrseql,rocket,30,0.45
RareTime_CAR,global_mean,lime_mrseql,rocket,40,0.4
RareTime_CAR,global_mean,lime_mrseql,rocket,50,0.41
RareTime_CAR,global_mean,lime_mrseql,rocket,60,0.39
RareTime_CAR,global_mean,lime_mrseql,rocket,70,0.39
RareTime_CAR,global_mean,lime_mrseql,rocket,80,0.49
RareTime_CAR,global_mean,lime_mrseql,rocket,90,0.47
RareTime_CAR,global_mean,lime_mrseql,rocket,100,0.43
RareTime_CAR,global_mean,mrseql,rocket,0,1.0
RareTime_CAR,global_mean,mrseql,rocket,10,0.99
RareTime_CAR,global_mean,mrseql,rocket,20,0.95
RareTime_CAR,global_mean,mrseql,rocket,30,0.94
RareTime_CAR,global_mean,mrseql,rocket,40,0.93
RareTime_CAR,global_mean,mrseql,rocket,50,0.89
RareTime_CAR,global_mean,mrseql,rocket,60,0.83
RareTime_CAR,global_mean,mrseql,rocket,70,0.68
RareTime_CAR,global_mean,mrseql,rocket,80,0.55
RareTime_CAR,global_mean,mrseql,rocket,90,0.59
RareTime_CAR,global_mean,mrseql,rocket,100,0.43
RareTime_CAR,global_mean,GS,rocket,0,1.0
RareTime_CAR,global_mean,GS,rocket,10,0.83
RareTime_CAR,global_mean,GS,rocket,20,0.49
RareTime_CAR,global_mean,GS,rocket,30,0.44
RareTime_CAR,global_mean,GS,rocket,40,0.43
RareTime_CAR,global_mean,GS,rocket,50,0.43
RareTime_CAR,global_mean,GS,rocket,60,0.49
RareTime_CAR,global_mean,GS,rocket,70,0.44
RareTime_CAR,global_mean,GS,rocket,80,0.49
RareTime_CAR,global_mean,GS,rocket,90,0.45
RareTime_CAR,global_mean,GS,rocket,100,0.43
RareTime_CAR,global_mean,IG,rocket,0,1.0
RareTime_CAR,global_mean,IG,rocket,10,0.83
RareTime_CAR,global_mean,IG,rocket,20,0.52
RareTime_CAR,global_mean,IG,rocket,30,0.45
RareTime_CAR,global_mean,IG,rocket,40,0.44
RareTime_CAR,global_mean,IG,rocket,50,0.43
RareTime_CAR,global_mean,IG,rocket,60,0.51
RareTime_CAR,global_mean,IG,rocket,70,0.47
RareTime_CAR,global_mean,IG,rocket,80,0.54
RareTime_CAR,global_mean,IG,rocket,90,0.44
RareTime_CAR,global_mean,IG,rocket,100,0.43
RareTime_CAR,global_mean,random2020,rocket,0,1.0
RareTime_CAR,global_mean,random2020,rocket,10,1.0
RareTime_CAR,global_mean,random2020,rocket,20,1.0
RareTime_CAR,global_mean,random2020,rocket,30,1.0
RareTime_CAR,global_mean,random2020,rocket,40,1.0
RareTime_CAR,global_mean,random2020,rocket,50,1.0
RareTime_CAR,global_mean,random2020,rocket,60,0.98
RareTime_CAR,global_mean,random2020,rocket,70,0.94
RareTime_CAR,global_mean,random2020,rocket,80,0.9
RareTime_CAR,global_mean,random2020,rocket,90,0.75
RareTime_CAR,global_mean,random2020,rocket,100,0.43
RareTime_CAR,local_mean,lime_mrseql,rocket,0,1.0
RareTime_CAR,local_mean,lime_mrseql,rocket,10,1.0
RareTime_CAR,local_mean,lime_mrseql,rocket,20,0.65
RareTime_CAR,local_mean,lime_mrseql,rocket,30,0.61
