dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,0,0.9108079748163693
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,10,0.8677859391395593
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,20,0.8216159496327388
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,30,0.7376705141657922
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,40,0.6379853095487933
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,50,0.5110178384050367
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,60,0.41657922350472193
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,70,0.38929695697796435
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,80,0.38405036726128017
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,90,0.3830010493179433
SonyAIBORobotSurface2,global_mean,lime_rocket,rocket,100,0.3830010493179433
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,0,0.9108079748163693
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,10,0.8772298006295908
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,20,0.8719832109129066
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,30,0.8625393494228751
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,40,0.8467995802728226
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,50,0.844700944386149
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,60,0.8342077649527807
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,70,0.8037775445960126
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,80,0.7555089192025184
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,90,0.7040923399790137
SonyAIBORobotSurface2,local_mean,lime_rocket,rocket,100,0.6169989506820567
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,0,0.8751311647429171
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,10,0.6484784889821616
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,20,0.6547743966421826
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,30,0.657922350472193
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,40,0.6558237145855194
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,50,0.6358866736621196
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,60,0.5823714585519413
SonyAIBORobotSurface2,global_mean,lime_rocket,resnet,70,0.527806925498426
