dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Strawberry,global_mean,lime_mrseql,rocket,0,0.981081081081081
Strawberry,global_mean,lime_mrseql,rocket,10,0.6081081081081081
Strawberry,global_mean,lime_mrseql,rocket,20,0.6297297297297297
Strawberry,global_mean,lime_mrseql,rocket,30,0.6270270270270271
Strawberry,global_mean,lime_mrseql,rocket,40,0.6189189189189189
Strawberry,global_mean,lime_mrseql,rocket,50,0.6270270270270271
Strawberry,global_mean,lime_mrseql,rocket,60,0.6351351351351351
Strawberry,global_mean,lime_mrseql,rocket,70,0.6378378378378379
Strawberry,global_mean,lime_mrseql,rocket,80,0.6243243243243243
Strawberry,global_mean,lime_mrseql,rocket,90,0.5918918918918918
Strawberry,global_mean,lime_mrseql,rocket,100,0.6432432432432432
Strawberry,global_mean,mrseql,rocket,0,0.981081081081081
Strawberry,global_mean,mrseql,rocket,10,0.7351351351351352
Strawberry,global_mean,mrseql,rocket,20,0.6432432432432432
Strawberry,global_mean,mrseql,rocket,30,0.6405405405405405
Strawberry,global_mean,mrseql,rocket,40,0.6432432432432432
Strawberry,global_mean,mrseql,rocket,50,0.6432432432432432
Strawberry,global_mean,mrseql,rocket,60,0.6432432432432432
Strawberry,global_mean,mrseql,rocket,70,0.6405405405405405
Strawberry,global_mean,mrseql,rocket,80,0.6270270270270271
Strawberry,global_mean,mrseql,rocket,90,0.6027027027027027
Strawberry,global_mean,mrseql,rocket,100,0.6432432432432432
Strawberry,global_mean,GS,rocket,0,0.981081081081081
Strawberry,global_mean,GS,rocket,10,0.6432432432432432
Strawberry,global_mean,GS,rocket,20,0.6189189189189189
Strawberry,global_mean,GS,rocket,30,0.6351351351351351
Strawberry,global_mean,GS,rocket,40,0.6459459459459459
Strawberry,global_mean,GS,rocket,50,0.6324324324324324
Strawberry,global_mean,GS,rocket,60,0.6297297297297297
Strawberry,global_mean,GS,rocket,70,0.6243243243243243
Strawberry,global_mean,GS,rocket,80,0.6108108108108108
Strawberry,global_mean,GS,rocket,90,0.6027027027027027
Strawberry,global_mean,GS,rocket,100,0.6432432432432432
Strawberry,global_mean,IG,rocket,0,0.981081081081081
Strawberry,global_mean,IG,rocket,10,0.6432432432432432
