dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Trace,global_mean,lime_mrseql,rocket,0,1.0
Trace,global_mean,lime_mrseql,rocket,10,0.3
Trace,global_mean,lime_mrseql,rocket,20,0.28
Trace,global_mean,lime_mrseql,rocket,30,0.28
Trace,global_mean,lime_mrseql,rocket,40,0.28
Trace,global_mean,lime_mrseql,rocket,50,0.28
Trace,global_mean,lime_mrseql,rocket,60,0.28
Trace,global_mean,lime_mrseql,rocket,70,0.28
Trace,global_mean,lime_mrseql,rocket,80,0.28
Trace,global_mean,lime_mrseql,rocket,90,0.27
Trace,global_mean,lime_mrseql,rocket,100,0.19
Trace,global_mean,mrseql,rocket,0,1.0
Trace,global_mean,mrseql,rocket,10,0.65
Trace,global_mean,mrseql,rocket,20,0.29
Trace,global_mean,mrseql,rocket,30,0.28
Trace,global_mean,mrseql,rocket,40,0.29
Trace,global_mean,mrseql,rocket,50,0.29
Trace,global_mean,mrseql,rocket,60,0.21
Trace,global_mean,mrseql,rocket,70,0.15
Trace,global_mean,mrseql,rocket,80,0.27
Trace,global_mean,mrseql,rocket,90,0.3
Trace,global_mean,mrseql,rocket,100,0.19
Trace,global_mean,GS,rocket,0,1.0
Trace,global_mean,GS,rocket,10,0.3
Trace,global_mean,GS,rocket,20,0.29
Trace,global_mean,GS,rocket,30,0.29
Trace,global_mean,GS,rocket,40,0.29
Trace,global_mean,GS,rocket,50,0.29
Trace,global_mean,GS,rocket,60,0.29
Trace,global_mean,GS,rocket,70,0.28
Trace,global_mean,GS,rocket,80,0.32
Trace,global_mean,GS,rocket,90,0.34
Trace,global_mean,GS,rocket,100,0.19
Trace,global_mean,IG,rocket,0,1.0
Trace,global_mean,IG,rocket,10,0.28
Trace,global_mean,IG,rocket,20,0.28
Trace,global_mean,IG,rocket,30,0.28
Trace,global_mean,IG,rocket,40,0.28
Trace,global_mean,IG,rocket,50,0.28
Trace,global_mean,IG,rocket,60,0.28
Trace,global_mean,IG,rocket,70,0.28
Trace,global_mean,IG,rocket,80,0.28
Trace,global_mean,IG,rocket,90,0.36
Trace,global_mean,IG,rocket,100,0.19
Trace,global_mean,random2020,rocket,0,1.0
Trace,global_mean,random2020,rocket,10,0.28
Trace,global_mean,random2020,rocket,20,0.28
Trace,global_mean,random2020,rocket,30,0.28
Trace,global_mean,random2020,rocket,40,0.28
Trace,global_mean,random2020,rocket,50,0.28
Trace,global_mean,random2020,rocket,60,0.28
Trace,global_mean,random2020,rocket,70,0.28
Trace,global_mean,random2020,rocket,80,0.28
Trace,global_mean,random2020,rocket,90,0.28
Trace,global_mean,random2020,rocket,100,0.19
Trace,local_mean,lime_mrseql,rocket,0,1.0
Trace,local_mean,lime_mrseql,rocket,10,0.32
Trace,local_mean,lime_mrseql,rocket,20,0.29
Trace,local_mean,lime_mrseql,rocket,30,0.3
Trace,local_mean,lime_mrseql,rocket,40,0.29
Trace,local_mean,lime_mrseql,rocket,50,0.28
Trace,local_mean,lime_mrseql,rocket,60,0.28
Trace,local_mean,lime_mrseql,rocket,70,0.28
Trace,local_mean,lime_mrseql,rocket,80,0.29
Trace,local_mean,lime_mrseql,rocket,90,0.28
Trace,local_mean,lime_mrseql,rocket,100,0.28
Trace,local_mean,mrseql,rocket,0,1.0
Trace,local_mean,mrseql,rocket,10,0.63
Trace,local_mean,mrseql,rocket,20,0.28
Trace,local_mean,mrseql,rocket,30,0.28
Trace,local_mean,mrseql,rocket,40,0.28
Trace,local_mean,mrseql,rocket,50,0.44
Trace,local_mean,mrseql,rocket,60,0.29
Trace,local_mean,mrseql,rocket,70,0.27
Trace,local_mean,mrseql,rocket,80,0.33
Trace,local_mean,mrseql,rocket,90,0.28
Trace,local_mean,mrseql,rocket,100,0.28
Trace,local_mean,GS,rocket,0,1.0
Trace,local_mean,GS,rocket,10,0.29
Trace,local_mean,GS,rocket,20,0.28
Trace,local_mean,GS,rocket,30,0.28
Trace,local_mean,GS,rocket,40,0.28
Trace,local_mean,GS,rocket,50,0.28
Trace,local_mean,GS,rocket,60,0.28
Trace,local_mean,GS,rocket,70,0.28
Trace,local_mean,GS,rocket,80,0.28
Trace,local_mean,GS,rocket,90,0.28
Trace,local_mean,GS,rocket,100,0.28
Trace,local_mean,IG,rocket,0,1.0
Trace,local_mean,IG,rocket,10,0.28
Trace,local_mean,IG,rocket,20,0.28
Trace,local_mean,IG,rocket,30,0.28
Trace,local_mean,IG,rocket,40,0.28
Trace,local_mean,IG,rocket,50,0.28
Trace,local_mean,IG,rocket,60,0.28
Trace,local_mean,IG,rocket,70,0.28
Trace,local_mean,IG,rocket,80,0.28
Trace,local_mean,IG,rocket,90,0.28
Trace,local_mean,IG,rocket,100,0.28
Trace,local_mean,random2020,rocket,0,1.0
Trace,local_mean,random2020,rocket,10,0.28
Trace,local_mean,random2020,rocket,20,0.28
Trace,local_mean,random2020,rocket,30,0.28
Trace,local_mean,random2020,rocket,40,0.28
Trace,local_mean,random2020,rocket,50,0.28
Trace,local_mean,random2020,rocket,60,0.28
Trace,local_mean,random2020,rocket,70,0.28
Trace,local_mean,random2020,rocket,80,0.28
Trace,local_mean,random2020,rocket,90,0.29
Trace,local_mean,random2020,rocket,100,0.28
Trace,global_mean,lime_mrseql,resnet,0,0.75
Trace,global_mean,lime_mrseql,resnet,10,0.44
Trace,global_mean,lime_mrseql,resnet,20,0.4
Trace,global_mean,lime_mrseql,resnet,30,0.37
Trace,global_mean,lime_mrseql,resnet,40,0.32
Trace,global_mean,lime_mrseql,resnet,50,0.29
Trace,global_mean,lime_mrseql,resnet,60,0.28
Trace,global_mean,lime_mrseql,resnet,70,0.22
Trace,global_mean,lime_mrseql,resnet,80,0.19
Trace,global_mean,lime_mrseql,resnet,90,0.19
Trace,global_mean,lime_mrseql,resnet,100,0.19
Trace,global_mean,mrseql,resnet,0,0.75
Trace,global_mean,mrseql,resnet,10,0.19
Trace,global_mean,mrseql,resnet,20,0.2
Trace,global_mean,mrseql,resnet,30,0.2
Trace,global_mean,mrseql,resnet,40,0.19
Trace,global_mean,mrseql,resnet,50,0.19
Trace,global_mean,mrseql,resnet,60,0.19
Trace,global_mean,mrseql,resnet,70,0.19
Trace,global_mean,mrseql,resnet,80,0.19
Trace,global_mean,mrseql,resnet,90,0.19
Trace,global_mean,mrseql,resnet,100,0.19
Trace,global_mean,GS,resnet,0,0.75
Trace,global_mean,GS,resnet,10,0.24
Trace,global_mean,GS,resnet,20,0.2
Trace,global_mean,GS,resnet,30,0.19
Trace,global_mean,GS,resnet,40,0.19
Trace,global_mean,GS,resnet,50,0.19
Trace,global_mean,GS,resnet,60,0.19
Trace,global_mean,GS,resnet,70,0.19
Trace,global_mean,GS,resnet,80,0.19
Trace,global_mean,GS,resnet,90,0.19
Trace,global_mean,GS,resnet,100,0.19
Trace,global_mean,IG,resnet,0,0.75
Trace,global_mean,IG,resnet,10,0.2
Trace,global_mean,IG,resnet,20,0.19
Trace,global_mean,IG,resnet,30,0.19
Trace,global_mean,IG,resnet,40,0.19
Trace,global_mean,IG,resnet,50,0.19
Trace,global_mean,IG,resnet,60,0.19
Trace,global_mean,IG,resnet,70,0.19
Trace,global_mean,IG,resnet,80,0.19
Trace,global_mean,IG,resnet,90,0.19
Trace,global_mean,IG,resnet,100,0.19
Trace,global_mean,random2020,resnet,0,0.75
Trace,global_mean,random2020,resnet,10,0.72
Trace,global_mean,random2020,resnet,20,0.71
Trace,global_mean,random2020,resnet,30,0.7
Trace,global_mean,random2020,resnet,40,0.59
Trace,global_mean,random2020,resnet,50,0.5
Trace,global_mean,random2020,resnet,60,0.43
Trace,global_mean,random2020,resnet,70,0.34
Trace,global_mean,random2020,resnet,80,0.29
Trace,global_mean,random2020,resnet,90,0.24
Trace,global_mean,random2020,resnet,100,0.19
Trace,local_mean,lime_mrseql,resnet,0,0.75
Trace,local_mean,lime_mrseql,resnet,10,0.46
Trace,local_mean,lime_mrseql,resnet,20,0.42
Trace,local_mean,lime_mrseql,resnet,30,0.42
Trace,local_mean,lime_mrseql,resnet,40,0.39
Trace,local_mean,lime_mrseql,resnet,50,0.34
Trace,local_mean,lime_mrseql,resnet,60,0.3
Trace,local_mean,lime_mrseql,resnet,70,0.25
Trace,local_mean,lime_mrseql,resnet,80,0.21
Trace,local_mean,lime_mrseql,resnet,90,0.19
Trace,local_mean,lime_mrseql,resnet,100,0.19
Trace,local_mean,mrseql,resnet,0,0.75
Trace,local_mean,mrseql,resnet,10,0.18
Trace,local_mean,mrseql,resnet,20,0.17
Trace,local_mean,mrseql,resnet,30,0.13
Trace,local_mean,mrseql,resnet,40,0.18
Trace,local_mean,mrseql,resnet,50,0.22
Trace,local_mean,mrseql,resnet,60,0.19
Trace,local_mean,mrseql,resnet,70,0.19
Trace,local_mean,mrseql,resnet,80,0.2
Trace,local_mean,mrseql,resnet,90,0.26
Trace,local_mean,mrseql,resnet,100,0.19
Trace,local_mean,GS,resnet,0,0.75
Trace,local_mean,GS,resnet,10,0.24
Trace,local_mean,GS,resnet,20,0.23
Trace,local_mean,GS,resnet,30,0.23
Trace,local_mean,GS,resnet,40,0.19
Trace,local_mean,GS,resnet,50,0.18
Trace,local_mean,GS,resnet,60,0.2
Trace,local_mean,GS,resnet,70,0.19
Trace,local_mean,GS,resnet,80,0.19
Trace,local_mean,GS,resnet,90,0.19
Trace,local_mean,GS,resnet,100,0.19
Trace,local_mean,IG,resnet,0,0.75
Trace,local_mean,IG,resnet,10,0.19
Trace,local_mean,IG,resnet,20,0.22
Trace,local_mean,IG,resnet,30,0.23
Trace,local_mean,IG,resnet,40,0.21
Trace,local_mean,IG,resnet,50,0.2
Trace,local_mean,IG,resnet,60,0.19
Trace,local_mean,IG,resnet,70,0.19
Trace,local_mean,IG,resnet,80,0.19
Trace,local_mean,IG,resnet,90,0.19
Trace,local_mean,IG,resnet,100,0.19
