dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
TwoLeadECG,global_mean,lime_rocket,rocket,0,0.9991220368744512
TwoLeadECG,global_mean,lime_rocket,rocket,10,0.5267778753292361
TwoLeadECG,global_mean,lime_rocket,rocket,20,0.5118525021949079
TwoLeadECG,global_mean,lime_rocket,rocket,30,0.4978050921861282
TwoLeadECG,global_mean,lime_rocket,rocket,40,0.5065847234416154
TwoLeadECG,global_mean,lime_rocket,rocket,50,0.5021949078138718
TwoLeadECG,global_mean,lime_rocket,rocket,60,0.4995610184372256
TwoLeadECG,global_mean,lime_rocket,rocket,70,0.5004389815627743
TwoLeadECG,global_mean,lime_rocket,rocket,80,0.5004389815627743
TwoLeadECG,global_mean,lime_rocket,rocket,90,0.5004389815627743
TwoLeadECG,global_mean,lime_rocket,rocket,100,0.5004389815627743
TwoLeadECG,local_mean,lime_rocket,rocket,0,0.9991220368744512
TwoLeadECG,local_mean,lime_rocket,rocket,10,0.8050921861281826
TwoLeadECG,local_mean,lime_rocket,rocket,20,0.7892888498683055
TwoLeadECG,local_mean,lime_rocket,rocket,30,0.7743634767339772
TwoLeadECG,local_mean,lime_rocket,rocket,40,0.7682177348551361
TwoLeadECG,local_mean,lime_rocket,rocket,50,0.7506584723441615
TwoLeadECG,local_mean,lime_rocket,rocket,60,0.7120280948200176
TwoLeadECG,local_mean,lime_rocket,rocket,70,0.6909569798068481
TwoLeadECG,local_mean,lime_rocket,rocket,80,0.6575943810359964
TwoLeadECG,local_mean,lime_rocket,rocket,90,0.6514486391571555
TwoLeadECG,local_mean,lime_rocket,rocket,100,0.4995610184372256
TwoLeadECG,global_mean,lime_rocket,resnet,0,0.9394205443371378
TwoLeadECG,global_mean,lime_rocket,resnet,10,0.6093064091308165
TwoLeadECG,global_mean,lime_rocket,resnet,20,0.5671641791044776
TwoLeadECG,global_mean,lime_rocket,resnet,30,0.5294117647058824
TwoLeadECG,global_mean,lime_rocket,resnet,40,0.5197541703248464
TwoLeadECG,global_mean,lime_rocket,resnet,50,0.5039508340649693
TwoLeadECG,global_mean,lime_rocket,resnet,60,0.5004389815627743
TwoLeadECG,global_mean,lime_rocket,resnet,70,0.5004389815627743
TwoLeadECG,global_mean,lime_rocket,resnet,80,0.5004389815627743
TwoLeadECG,global_mean,lime_rocket,resnet,90,0.5004389815627743
TwoLeadECG,global_mean,lime_rocket,resnet,100,0.5004389815627743
TwoLeadECG,local_mean,lime_rocket,resnet,0,0.9394205443371378
TwoLeadECG,local_mean,lime_rocket,resnet,10,0.8261633011413521
TwoLeadECG,local_mean,lime_rocket,resnet,20,0.7489025460930641
