dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
TwoPatterns,global_mean,lime_mrseql,rocket,0,1.0
TwoPatterns,global_mean,lime_mrseql,rocket,10,0.58825
TwoPatterns,global_mean,lime_mrseql,rocket,20,0.5045
TwoPatterns,global_mean,lime_mrseql,rocket,30,0.427
TwoPatterns,global_mean,lime_mrseql,rocket,40,0.3765
TwoPatterns,global_mean,lime_mrseql,rocket,50,0.33875
TwoPatterns,global_mean,lime_mrseql,rocket,60,0.312
TwoPatterns,global_mean,lime_mrseql,rocket,70,0.29525
TwoPatterns,global_mean,lime_mrseql,rocket,80,0.27575
TwoPatterns,global_mean,lime_mrseql,rocket,90,0.25275
TwoPatterns,global_mean,lime_mrseql,rocket,100,0.23975
TwoPatterns,global_mean,mrseql,rocket,0,1.0
TwoPatterns,global_mean,mrseql,rocket,10,0.92825
TwoPatterns,global_mean,mrseql,rocket,20,0.708
TwoPatterns,global_mean,mrseql,rocket,30,0.5455
TwoPatterns,global_mean,mrseql,rocket,40,0.45275
TwoPatterns,global_mean,mrseql,rocket,50,0.401
TwoPatterns,global_mean,mrseql,rocket,60,0.35825
TwoPatterns,global_mean,mrseql,rocket,70,0.32325
TwoPatterns,global_mean,mrseql,rocket,80,0.29475
TwoPatterns,global_mean,mrseql,rocket,90,0.275
TwoPatterns,global_mean,mrseql,rocket,100,0.23975
TwoPatterns,global_mean,GS,rocket,0,1.0
TwoPatterns,global_mean,GS,rocket,10,0.91775
TwoPatterns,global_mean,GS,rocket,20,0.71925
TwoPatterns,global_mean,GS,rocket,30,0.53025
TwoPatterns,global_mean,GS,rocket,40,0.41125
TwoPatterns,global_mean,GS,rocket,50,0.361
TwoPatterns,global_mean,GS,rocket,60,0.32925
TwoPatterns,global_mean,GS,rocket,70,0.308
TwoPatterns,global_mean,GS,rocket,80,0.291
TwoPatterns,global_mean,GS,rocket,90,0.27625
TwoPatterns,global_mean,GS,rocket,100,0.23975
TwoPatterns,global_mean,IG,rocket,0,1.0
TwoPatterns,global_mean,IG,rocket,10,0.94125
TwoPatterns,global_mean,IG,rocket,20,0.742
TwoPatterns,global_mean,IG,rocket,30,0.55775
TwoPatterns,global_mean,IG,rocket,40,0.43825
TwoPatterns,global_mean,IG,rocket,50,0.377
TwoPatterns,global_mean,IG,rocket,60,0.349
TwoPatterns,global_mean,IG,rocket,70,0.3185
TwoPatterns,global_mean,IG,rocket,80,0.29775
TwoPatterns,global_mean,IG,rocket,90,0.28475
TwoPatterns,global_mean,IG,rocket,100,0.23975
TwoPatterns,global_mean,random2020,rocket,0,1.0
TwoPatterns,global_mean,random2020,rocket,10,0.9995
TwoPatterns,global_mean,random2020,rocket,20,0.99725
TwoPatterns,global_mean,random2020,rocket,30,0.98175
TwoPatterns,global_mean,random2020,rocket,40,0.934
TwoPatterns,global_mean,random2020,rocket,50,0.821
TwoPatterns,global_mean,random2020,rocket,60,0.68625
TwoPatterns,global_mean,random2020,rocket,70,0.57275
TwoPatterns,global_mean,random2020,rocket,80,0.46525
TwoPatterns,global_mean,random2020,rocket,90,0.32
TwoPatterns,global_mean,random2020,rocket,100,0.23975
TwoPatterns,local_mean,lime_mrseql,rocket,0,1.0
TwoPatterns,local_mean,lime_mrseql,rocket,10,0.59025
TwoPatterns,local_mean,lime_mrseql,rocket,20,0.508
TwoPatterns,local_mean,lime_mrseql,rocket,30,0.43275
TwoPatterns,local_mean,lime_mrseql,rocket,40,0.3835
TwoPatterns,local_mean,lime_mrseql,rocket,50,0.34125
TwoPatterns,local_mean,lime_mrseql,rocket,60,0.315
TwoPatterns,local_mean,lime_mrseql,rocket,70,0.28625
TwoPatterns,local_mean,lime_mrseql,rocket,80,0.26875
TwoPatterns,local_mean,lime_mrseql,rocket,90,0.26475
TwoPatterns,local_mean,lime_mrseql,rocket,100,0.25875
TwoPatterns,local_mean,mrseql,rocket,0,1.0
TwoPatterns,local_mean,mrseql,rocket,10,0.9285
TwoPatterns,local_mean,mrseql,rocket,20,0.71
TwoPatterns,local_mean,mrseql,rocket,30,0.54575
TwoPatterns,local_mean,mrseql,rocket,40,0.45475
TwoPatterns,local_mean,mrseql,rocket,50,0.404
TwoPatterns,local_mean,mrseql,rocket,60,0.371
TwoPatterns,local_mean,mrseql,rocket,70,0.3325
TwoPatterns,local_mean,mrseql,rocket,80,0.3095
TwoPatterns,local_mean,mrseql,rocket,90,0.28975
TwoPatterns,local_mean,mrseql,rocket,100,0.25875
TwoPatterns,local_mean,GS,rocket,0,1.0
TwoPatterns,local_mean,GS,rocket,10,0.92075
TwoPatterns,local_mean,GS,rocket,20,0.7215
TwoPatterns,local_mean,GS,rocket,30,0.52975
TwoPatterns,local_mean,GS,rocket,40,0.4195
TwoPatterns,local_mean,GS,rocket,50,0.37125
TwoPatterns,local_mean,GS,rocket,60,0.34275
TwoPatterns,local_mean,GS,rocket,70,0.31075
TwoPatterns,local_mean,GS,rocket,80,0.2865
TwoPatterns,local_mean,GS,rocket,90,0.27125
TwoPatterns,local_mean,GS,rocket,100,0.25875
TwoPatterns,local_mean,IG,rocket,0,1.0
TwoPatterns,local_mean,IG,rocket,10,0.94125
TwoPatterns,local_mean,IG,rocket,20,0.74125
TwoPatterns,local_mean,IG,rocket,30,0.555
TwoPatterns,local_mean,IG,rocket,40,0.44375
TwoPatterns,local_mean,IG,rocket,50,0.38875
TwoPatterns,local_mean,IG,rocket,60,0.36
TwoPatterns,local_mean,IG,rocket,70,0.3315
TwoPatterns,local_mean,IG,rocket,80,0.291
TwoPatterns,local_mean,IG,rocket,90,0.27425
TwoPatterns,local_mean,IG,rocket,100,0.25875
TwoPatterns,local_mean,random2020,rocket,0,1.0
TwoPatterns,local_mean,random2020,rocket,10,0.9995
TwoPatterns,local_mean,random2020,rocket,20,0.99725
TwoPatterns,local_mean,random2020,rocket,30,0.98175
TwoPatterns,local_mean,random2020,rocket,40,0.9325
TwoPatterns,local_mean,random2020,rocket,50,0.8215
TwoPatterns,local_mean,random2020,rocket,60,0.68725
TwoPatterns,local_mean,random2020,rocket,70,0.57025
TwoPatterns,local_mean,random2020,rocket,80,0.47175
TwoPatterns,local_mean,random2020,rocket,90,0.37425
TwoPatterns,local_mean,random2020,rocket,100,0.25875
TwoPatterns,global_mean,lime_mrseql,resnet,0,0.99375
TwoPatterns,global_mean,lime_mrseql,resnet,10,0.48125
TwoPatterns,global_mean,lime_mrseql,resnet,20,0.36675
TwoPatterns,global_mean,lime_mrseql,resnet,30,0.313
TwoPatterns,global_mean,lime_mrseql,resnet,40,0.281
TwoPatterns,global_mean,lime_mrseql,resnet,50,0.26275
TwoPatterns,global_mean,lime_mrseql,resnet,60,0.2585
TwoPatterns,global_mean,lime_mrseql,resnet,70,0.24375
TwoPatterns,global_mean,lime_mrseql,resnet,80,0.246
TwoPatterns,global_mean,lime_mrseql,resnet,90,0.24225
TwoPatterns,global_mean,lime_mrseql,resnet,100,0.23975
TwoPatterns,global_mean,mrseql,resnet,0,0.99375
TwoPatterns,global_mean,mrseql,resnet,10,0.7275
TwoPatterns,global_mean,mrseql,resnet,20,0.51975
TwoPatterns,global_mean,mrseql,resnet,30,0.34625
TwoPatterns,global_mean,mrseql,resnet,40,0.1965
TwoPatterns,global_mean,mrseql,resnet,50,0.127
TwoPatterns,global_mean,mrseql,resnet,60,0.124
TwoPatterns,global_mean,mrseql,resnet,70,0.1505
TwoPatterns,global_mean,mrseql,resnet,80,0.18575
TwoPatterns,global_mean,mrseql,resnet,90,0.22625
TwoPatterns,global_mean,mrseql,resnet,100,0.23975
TwoPatterns,global_mean,GS,resnet,0,0.99375
TwoPatterns,global_mean,GS,resnet,10,0.56
TwoPatterns,global_mean,GS,resnet,20,0.12925
TwoPatterns,global_mean,GS,resnet,30,0.086
TwoPatterns,global_mean,GS,resnet,40,0.11475
TwoPatterns,global_mean,GS,resnet,50,0.1745
TwoPatterns,global_mean,GS,resnet,60,0.209
TwoPatterns,global_mean,GS,resnet,70,0.23325
TwoPatterns,global_mean,GS,resnet,80,0.238
TwoPatterns,global_mean,GS,resnet,90,0.2395
TwoPatterns,global_mean,GS,resnet,100,0.23975
TwoPatterns,global_mean,IG,resnet,0,0.99375
TwoPatterns,global_mean,IG,resnet,10,0.559
TwoPatterns,global_mean,IG,resnet,20,0.07125
TwoPatterns,global_mean,IG,resnet,30,0.0455
TwoPatterns,global_mean,IG,resnet,40,0.08925
TwoPatterns,global_mean,IG,resnet,50,0.1415
TwoPatterns,global_mean,IG,resnet,60,0.18525
TwoPatterns,global_mean,IG,resnet,70,0.21975
TwoPatterns,global_mean,IG,resnet,80,0.23625
TwoPatterns,global_mean,IG,resnet,90,0.2395
TwoPatterns,global_mean,IG,resnet,100,0.23975
TwoPatterns,global_mean,random2020,resnet,0,0.99375
TwoPatterns,global_mean,random2020,resnet,10,0.98975
TwoPatterns,global_mean,random2020,resnet,20,0.979
TwoPatterns,global_mean,random2020,resnet,30,0.95975
TwoPatterns,global_mean,random2020,resnet,40,0.929
TwoPatterns,global_mean,random2020,resnet,50,0.87375
