dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,10,0.5787269681742043
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,20,0.4553322166387493
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,30,0.3394751535455053
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,40,0.26521496370742603
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,50,0.21328866554997208
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,60,0.18146286990508095
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,70,0.16806253489670575
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,80,0.152428810720268
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,90,0.1420993858179788
UWaveGestureLibraryZ,global_mean,lime_mrseql,rocket,100,0.1208821887213847
UWaveGestureLibraryZ,global_mean,mrseql,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,global_mean,mrseql,rocket,10,0.6619207146845337
UWaveGestureLibraryZ,global_mean,mrseql,rocket,20,0.5187046342825238
UWaveGestureLibraryZ,global_mean,mrseql,rocket,30,0.37632607481853714
UWaveGestureLibraryZ,global_mean,mrseql,rocket,40,0.2677275265214964
UWaveGestureLibraryZ,global_mean,mrseql,rocket,50,0.18983807928531546
UWaveGestureLibraryZ,global_mean,mrseql,rocket,60,0.14879955332216638
UWaveGestureLibraryZ,global_mean,mrseql,rocket,70,0.12171970965940815
UWaveGestureLibraryZ,global_mean,mrseql,rocket,80,0.11892797319932999
UWaveGestureLibraryZ,global_mean,mrseql,rocket,90,0.13539921831379118
UWaveGestureLibraryZ,global_mean,mrseql,rocket,100,0.1208821887213847
UWaveGestureLibraryZ,global_mean,GS,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,global_mean,GS,rocket,10,0.3478503629257398
UWaveGestureLibraryZ,global_mean,GS,rocket,20,0.2448352875488554
UWaveGestureLibraryZ,global_mean,GS,rocket,30,0.208821887213847
UWaveGestureLibraryZ,global_mean,GS,rocket,40,0.172250139586823
UWaveGestureLibraryZ,global_mean,GS,rocket,50,0.1507537688442211
UWaveGestureLibraryZ,global_mean,GS,rocket,60,0.13791178112786154
UWaveGestureLibraryZ,global_mean,GS,rocket,70,0.13512004466778335
UWaveGestureLibraryZ,global_mean,GS,rocket,80,0.13623673925181462
UWaveGestureLibraryZ,global_mean,GS,rocket,90,0.14126186487995535
UWaveGestureLibraryZ,global_mean,GS,rocket,100,0.1208821887213847
UWaveGestureLibraryZ,global_mean,IG,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,global_mean,IG,rocket,10,0.31518704634282524
UWaveGestureLibraryZ,global_mean,IG,rocket,20,0.23869346733668342
UWaveGestureLibraryZ,global_mean,IG,rocket,30,0.2037967615857063
UWaveGestureLibraryZ,global_mean,IG,rocket,40,0.16973757677275264
UWaveGestureLibraryZ,global_mean,IG,rocket,50,0.15187046342825236
UWaveGestureLibraryZ,global_mean,IG,rocket,60,0.14126186487995535
UWaveGestureLibraryZ,global_mean,IG,rocket,70,0.1376326074818537
UWaveGestureLibraryZ,global_mean,IG,rocket,80,0.1342825237297599
UWaveGestureLibraryZ,global_mean,IG,rocket,90,0.14126186487995535
UWaveGestureLibraryZ,global_mean,IG,rocket,100,0.1208821887213847
UWaveGestureLibraryZ,global_mean,random2020,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,global_mean,random2020,rocket,10,0.2657733109994416
UWaveGestureLibraryZ,global_mean,random2020,rocket,20,0.23646007816862089
UWaveGestureLibraryZ,global_mean,random2020,rocket,30,0.1658291457286432
UWaveGestureLibraryZ,global_mean,random2020,rocket,40,0.1390284757118928
UWaveGestureLibraryZ,global_mean,random2020,rocket,50,0.12981574539363483
UWaveGestureLibraryZ,global_mean,random2020,rocket,60,0.1273031825795645
UWaveGestureLibraryZ,global_mean,random2020,rocket,70,0.12646566164154105
UWaveGestureLibraryZ,global_mean,random2020,rocket,80,0.12618648799553323
UWaveGestureLibraryZ,global_mean,random2020,rocket,90,0.12367392518146288
UWaveGestureLibraryZ,global_mean,random2020,rocket,100,0.1208821887213847
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,10,0.6206030150753769
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,20,0.5371300949190396
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,30,0.4631490787269682
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,40,0.3852596314907873
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,50,0.30597431602456726
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,60,0.2400893355667225
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,70,0.19932998324958123
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,80,0.17755443886097153
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,90,0.155499720826354
UWaveGestureLibraryZ,local_mean,lime_mrseql,rocket,100,0.12479061976549413
UWaveGestureLibraryZ,local_mean,mrseql,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,local_mean,mrseql,rocket,10,0.6613623673925182
UWaveGestureLibraryZ,local_mean,mrseql,rocket,20,0.5446677833612507
UWaveGestureLibraryZ,local_mean,mrseql,rocket,30,0.41987716359575655
UWaveGestureLibraryZ,local_mean,mrseql,rocket,40,0.32635399218313793
UWaveGestureLibraryZ,local_mean,mrseql,rocket,50,0.2618648799553322
UWaveGestureLibraryZ,local_mean,mrseql,rocket,60,0.21245114461194864
UWaveGestureLibraryZ,local_mean,mrseql,rocket,70,0.17643774427694026
UWaveGestureLibraryZ,local_mean,mrseql,rocket,80,0.1490787269681742
UWaveGestureLibraryZ,local_mean,mrseql,rocket,90,0.13651591289782244
UWaveGestureLibraryZ,local_mean,mrseql,rocket,100,0.12479061976549413
UWaveGestureLibraryZ,local_mean,GS,rocket,0,0.7922948073701842
UWaveGestureLibraryZ,local_mean,GS,rocket,10,0.36543830262423227
UWaveGestureLibraryZ,local_mean,GS,rocket,20,0.2501395868230039
UWaveGestureLibraryZ,local_mean,GS,rocket,30,0.1954215522054718
UWaveGestureLibraryZ,local_mean,GS,rocket,40,0.16136236739251814
UWaveGestureLibraryZ,local_mean,GS,rocket,50,0.14879955332216638
