dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Wafer,global_mean,lime_rocket,rocket,0,0.9978909798831928
Wafer,global_mean,lime_rocket,rocket,10,0.9110966904607398
Wafer,global_mean,lime_rocket,rocket,20,0.8992537313432836
Wafer,global_mean,lime_rocket,rocket,30,0.8856262167423751
Wafer,global_mean,lime_rocket,rocket,40,0.8820571057754705
Wafer,global_mean,lime_rocket,rocket,50,0.8750811161583387
Wafer,global_mean,lime_rocket,rocket,60,0.8405256327060351
Wafer,global_mean,lime_rocket,rocket,70,0.7379948085658663
Wafer,global_mean,lime_rocket,rocket,80,0.5105451005840363
Wafer,global_mean,lime_rocket,rocket,90,0.26119402985074625
Wafer,global_mean,lime_rocket,rocket,100,0.10788449059052563
Wafer,local_mean,lime_rocket,rocket,0,0.9978909798831928
Wafer,local_mean,lime_rocket,rocket,10,0.9250486696950032
Wafer,local_mean,lime_rocket,rocket,20,0.90914990266061
Wafer,local_mean,lime_rocket,rocket,30,0.905094094743673
Wafer,local_mean,lime_rocket,rocket,40,0.9010382868267359
Wafer,local_mean,lime_rocket,rocket,50,0.8976314081765088
Wafer,local_mean,lime_rocket,rocket,60,0.8942245295262816
Wafer,local_mean,lime_rocket,rocket,70,0.8887086307592472
Wafer,local_mean,lime_rocket,rocket,80,0.8890330953926022
Wafer,local_mean,lime_rocket,rocket,90,0.8643737832576249
Wafer,local_mean,lime_rocket,rocket,100,0.8921155094094744
Wafer,global_mean,lime_rocket,resnet,0,0.8921155094094744
Wafer,global_mean,lime_rocket,resnet,10,0.8921155094094744
Wafer,global_mean,lime_rocket,resnet,20,0.8921155094094744
Wafer,global_mean,lime_rocket,resnet,30,0.8921155094094744
Wafer,global_mean,lime_rocket,resnet,40,0.8921155094094744
Wafer,global_mean,lime_rocket,resnet,50,0.8921155094094744
Wafer,global_mean,lime_rocket,resnet,60,0.8919532770927969
Wafer,global_mean,lime_rocket,resnet,70,0.8917910447761194
Wafer,global_mean,lime_rocket,resnet,80,0.8900064892926671
Wafer,global_mean,lime_rocket,resnet,90,0.7777417261518494
Wafer,global_mean,lime_rocket,resnet,100,0.10788449059052563
Wafer,local_mean,lime_rocket,resnet,0,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,10,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,20,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,30,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,40,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,50,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,60,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,70,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,80,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,90,0.8921155094094744
Wafer,local_mean,lime_rocket,resnet,100,0.8921155094094744
Wafer,global_mean,lime_rocket,knn,0,0.9954574951330305
Wafer,global_mean,lime_rocket,knn,10,0.9935107073329007
